# Created by M.D. Woods -- 2025-03-11 22:57:19.988399 -- NUM TARGETS: 58
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2008go, CSP, NORM, SALT, 332.68679, -20.78811, 0.0623, 0.06071935029480737, 54764.54, 54776.58, 37.278317501793765, 0.01936090434522458, 10.908950503065558, 0.0017321529641886853, 54766.195809982244, 0.08536905192522681, -0.28651601441318897, 0.10725961052738792, 0.0899167655801065, 0.0032584861340221784, 0.0009161306953959028, 2.8292898033395875e-06, 18.461103448275864, 0.028586206896551718
2006hx, CSP, NORM, SALT, 18.48879, 0.37167, 0.0455, 0.043686906440237296, 54012.66, 54080.59, 36.513222404565646, 0.024463162632742893, 10.307434104151445, 0.0019476582498743804, 54022.41361864867, 0.043424104016594356, -0.10299785844926079, 0.05388803917185159, 0.17849116226787942, 0.006952411928037607, 0.0014915784626068085, 1.3821844334642486e-05, nan, nan
2004gc, CSP, NORM, SALT, 80.45812, 6.67603, 0.0321, 0.031225951967474352, 53329.83, 53397.66, 35.79795397750975, 0.009777196623682352, 12.062701043577428, 0.013400455258840153, 53325.8567748903, 0.07625315271070576, -0.6231062431575574, 0.018499409042910253, 0.34042837784800406, 0.002509789040512554, 0.0017174878780816156, 8.898513430663162e-06, 17.4727, 0.012599999999999997
2008gl, CSP, NORM, SALT, 20.22842, 4.80531, 0.034, 0.0327425449641292, 54765.7, 54844.55, 35.94992430741408, 0.005358006595228593, 11.359976556285138, 0.0066667387890840925, 54768.506588694094, 0.027576255990425125, -1.2225594322573186, 0.014319045527687146, 0.06197967077408426, 0.0015246050354596025, 0.002946658944887871, 4.905302815559413e-06, 17.297520833333333, 0.03352083333333333
2009al, CSP, NORM, SALT, 162.84196, 8.57853, 0.0221, 0.023294362182977906, 54891.71, 54973.54, 34.97887188402204, 0.00887350073582937, 10.676596531095123, 0.0005467162453691708, 54896.99799795559, 0.07213045968819642, -0.48745596510673117, 0.022410175801129417, 0.21158698581087684, 0.002410546801796983, 0.005301603621408048, 1.9150273169568093e-05, 16.522230769230767, 0.02184615384615385
2008O, CSP, NORM, SALT, 104.39358, -45.81231, 0.0389, 0.03982266996046462, 54489.71, 54571.48, 36.26298067540438, 0.013546385665196545, 11.476554549097061, 0.12607025065414917, 54490.90932037274, 0.07280428471131017, -2.0627570622315785, 0.03989343875482643, 0.4367748010995793, 0.003681196882554056, 0.000701344563226984, 3.288023088184151e-06, 18.377454545454547, 0.03212121212121211
2005mc, CSP, NORM, SALT, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, 35.34398013877136, 0.013320409993716371, 13.004227849812548, 0.0005277710097430307, 53730.68518790658, 0.07945567665592534, -2.183100301645763, 0.01592746673976686, 0.27776524846074047, 0.003318995647181239, 0.002487173202588506, 1.9662067011142823e-05, nan, nan
2007A, CSP, NORM, SALT, 6.31942, 12.88681, 0.0177, 0.01599141887525847, 54107.53, 54133.53, 34.6781236273538, 0.011204140644656389, 6.774565304332999, 0.07187074108120962, 54113.68349201694, 0.028109013797802618, 0.523855061680486, 0.04587694162254019, 0.27462772480779357, 0.0026809965463163105, 0.006783506271670489, 2.2031024402557807e-05, 15.972217391304342, 0.02347826086956522
2006ej, CSP, NORM, SALT, 9.74904, -9.01572, 0.0205, 0.018069132857789685, 53979.74, 54046.74, 34.98338590987164, 0.01121138526715483, 10.279706103453293, 0.0008070475039513622, 53976.0370103058, 0.07659775852152961, -1.4058483076684398, 0.016784958393109006, 0.004723381072445761, 0.003028597463173016, 0.00818422290688924, 4.624973319899709e-05, 16.416666666666664, 0.0295
2008hu, CSP, NORM, SALT, 122.3115, -18.65364, 0.0497, 0.05062355274683058, 54804.74, 54844.84, 37.05528912757908, 0.01179139957979274, 10.107881298730984, 0.007118355222168162, 54806.52587914862, 0.06575811126822373, -1.7416648994686146, 0.028832568807199976, 0.09448831641457077, 0.003292877725738894, 0.0009050329351607568, 4.022441473110364e-06, 18.38605882352941, 0.019529411764705882
