objname,ra,dec
2021xfm,318.75354999999996,21.910097808471455
2019cp,163.70850884070268,-7.381001932161755
2018efn,221.29055084876538,9.273519320987655
2019be,195.06051126364426,27.9568287916317
2018lph,250.9022414968312,33.53359999999999
2021bls,250.83637079999968,61.594866800000034
2022bsi,228.61520392495393,50.31702790669122
2022fjx,160.87567958821236,19.083001372625553
