index,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa,NED_name,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,hasSimbad,sourceClass
0,78948051,,,,78948051,,,,,,,,,,,,,,0,,,,,139.928788,-30.889573,,,,,,,,,,258.26675,13.078093,,,17,4,4,4,5,1,,1,1,,,,139.9287827,-30.8895682,34,34,,17.9779,0.037,,,18.0,0.0536,,,,,,,,,,,,,,,,1.106,,,,,,23282.44,69.26742,,,,,22638.5,277.9687,3.5,,,,,,0.5,,,,139.928788,-30.8895795,34,34,,17.6142,0.0415,,,17.6002,0.012,,,,,,,,,,,,,,,,1.482,,,,,,28808.35,,,,,,27486.46,92.04047,3.5,,,,,,0.5,,,,139.9287675,-30.8895632,34,34,,17.3311,0.0331,,,17.3348,0.0829,,,,,,,,,,,,,,,,1.191,,,,,,,,,,,,19111.95,85.0307,3.5,,,,,,0.5,,,,139.928788,-30.8895715,34,34,,17.2088,0.0146,,,17.2495,0.0334,,,,,,,,,,,,,,,,0.5396,,,,,,,50.45826,,,,,11549.44,271.2492,3.5,,,,,,0.5,,,,139.928788,-30.889573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,52.14,0.983,1.167,2.957,2.534,-74.94,1.154,2.641,2.289,-68.35,1.15,2.433,2.115,-83.15,1.04,1.901,1.828,-64.47,WISEA J091942.92-305321.8,IrS,,,,,,,,,,,,,,,,,,,0,1.0
1,78948055,,,,78948055,,,,,,,,,,,,,,0,,,,,139.920371,-30.87952,,,,,,,,,,258.25415,13.079706,,,15,3,2,5,5,1,,1,1,,,,139.9203911,-30.8795101,21,28,,18.096,0.018,,,18.1151,0.0402,,,,,,,,,,,,,,,,0.7899,,,,,,21029.57,56.58706,,,,,20590.01,283.5045,3.5,,,,,,0.5,,,,139.9203813,-30.8795197,21,28,,17.7494,0.0074,,,17.7672,0.0135,,,,,,,,,,,,,,,,0.4689,,,,,,23970.44,,,,,,23261.23,52.04867,3.5,,,,,,0.5,,,,139.9203763,-30.8795088,21,28,,17.5343,0.0128,,,17.5614,0.0224,,,,,,,,,,,,,,,,0.1019,,,,,,,,,,,,15715.35,24.08306,4.02,,,,,,0.5,,,,139.9203678,-30.8795201,21,28,,17.4357,0.0117,,,17.5126,0.034,,,,,,,,,,,,,,,,0.3503,,,,,,,39.02697,,,,,9246.44,287.739,4.02,,,,,,0.5,,,,139.920371,-30.87952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,57.58,0.983,1.144,3.03,2.648,-82.44,1.156,2.561,2.216,-87.1,1.124,2.377,2.115,-74.04,1.013,1.813,1.789,61.79,2MASS J09194087-3052463,IrS,,,,,,,,,,,,,,,,,,,0,1.0
4,78948060,,,,78948060,,,,,,,,,,,,,,0,,,,,139.928771,-30.885994,,,,,,,,,,258.26404,13.080531,,,15,3,4,4,3,1,,1,1,,,,139.9287631,-30.885982,35,21,,18.1686,0.0164,,,18.1338,0.0257,,,,,,,,,,,,,,,,1.295,,,,,,19924.27,71.45423,,,,,19831.83,276.2762,3.5,,,,,,0.5,,,,139.9287521,-30.8860017,35,21,,18.195,0.0428,,,18.1928,0.03,,,,,,,,,,,,,,,,2.59,,,,,,16502.3,,,,,,15954.76,102.7108,3.68,,,,,,0.5,,,,139.9287388,-30.8859924,35,21,,18.3463,0.0159,,,18.2524,0.0823,,,,,,,,,,,,,,,,2.185,,,,,,,,,,,,7692.348,98.63272,5.24,,,,,,0.5,,,,139.9287413,-30.8859875,35,21,,18.3539,0.0112,,,18.4735,0.0813,,,,,,,,,,,,,,,,1.674,,,,,,,75.94017,,,,,4106.547,210.183,5.24,,,,,,0.5,,,,139.928771,-30.885994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,42.59,0.982,1.125,2.93,2.604,-74.06,1.134,2.478,2.184,-65.73,1.1,2.095,1.906,-56.76,1.134,1.532,1.351,-89.48,GALEXASC J091942.85-305309.2,UvS,,,,,,,,,,,,,,,,,,,0,1.0
6,78948062,,,,78948062,,,,,,,,,,,,,,0,,,,,139.941616,-30.887023,,,,,,,,,,258.27258,13.087863,,,13,2,3,4,4,1,,1,1,,,,139.9416146,-30.8870249,31,29,,18.644,0.0102,,,18.6878,0.0292,,,,,,,,,,,,,,,,0.2437,,,,,,12686.41,26.98791,,,,,12318.6,247.9894,3.5,,,,,,0.5,,,,139.9416219,-30.887022,31,29,,18.1087,0.0104,,,18.1466,0.0214,,,,,,,,,,,,,,,,1.047,,,,,,17206.1,,,,,,16207.39,66.2158,3.5,,,,,,0.5,,,,139.9416147,-30.887018,31,29,,17.7218,0.0434,,,17.7875,0.0643,,,,,,,,,,,,,,,,0.946,,,,,,,,,,,,12924.12,70.72253,4.21,,,,,,0.5,,,,139.9416085,-30.8870093,31,29,,17.5636,0.0074,,,17.6105,0.0376,,,,,,,,,,,,,,,,0.5084,,,,,,,46.1077,,,,,8372.442,277.3761,4.21,,,,,,0.5,,,,139.941616,-30.887023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,33.57,0.983,1.177,2.788,2.369,-82.27,1.142,2.451,2.145,-73.83,1.113,2.304,2.07,-73.39,1.093,1.829,1.673,81.04,WISEA J091945.97-305313.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
7,78948063,,,,78948063,,,,,,,,,,,,,,0,,,,,139.926404,-30.878449,,,,,,,,,,258.257,13.084214,,,19,3,3,6,7,1,,1,1,,,,139.9263711,-30.8784567,29,22,,16.661,0.0073,,,16.5817,0.0181,,,,,,,,,,,,,,,,20.13,,,,,,79152.05,470.4407,,,,,85288.86,424.0231,3.5,,,,,,0.5,,,,139.9264013,-30.8784772,29,22,,16.0601,0.0074,,,16.015,0.0191,,,,,,,,,,,,,,,,4.434,,,,,,116462.3,,,,,,121141.8,269.5585,3.5,,,,,,0.5,,,,139.926412,-30.8784661,29,22,,15.6635,0.0061,,,15.6435,0.0181,,,,,,,,,,,,,,,,6.905,,,,,,,,,,,,88698.19,324.5834,3.5,,,,,,0.5,,,,139.9264594,-30.878456,29,22,,15.5104,0.0052,,,15.5267,0.0209,,,,,,,,,,,,,,,,1.024,,,,,,,106.3492,,,,,56321.28,398.5494,3.5,,,,,,0.5,,,,139.926404,-30.878449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,38.71,0.958,1.321,4.103,3.106,89.84,1.34,3.85,2.874,-87.18,1.314,3.649,2.777,-87.27,1.279,2.819,2.204,-56.01,WISEA J091942.33-305242.4,IrS,,,,,,,,,,,,,,,,,,,0,1.0
8,78948064,,,,78948064,,,,,,,,,,,,,,0,,,,,139.930611,-30.876006,,,,,,,,,,258.2577,13.088519,,,24,4,3,4,6,1,,1,1,,,,139.9306112,-30.875995,17,21,,15.7795,0.0088,,,15.7917,0.0087,,,,,,,,,,,,,,,,0.3882,,,,,,176313.3,92.45178,,,,,174086.5,496.0665,3.5,,,,,,0.5,,,,139.9306102,-30.876015,17,21,,15.5333,0.0065,,,15.5535,0.0156,,,,,,,,,,,,,,,,6.074,,,,,,187585.4,,,,,,182806.5,388.3002,3.5,,,,,,0.5,,,,139.9306049,-30.8760086,17,21,,15.3624,0.0055,,,15.4068,0.0151,,,,,,,,,,,,,,,,1.241,,,,,,,,,,,,116716.8,152.2331,3.5,,,,,,0.5,,,,139.9306112,-30.876009,17,21,,15.3236,0.007,,,15.3774,0.0067,,,,,,,,,,,,,,,,0.9234,,,,,,,106.6461,,,,,65581.83,379.6475,3.5,,,,,,0.5,,,,139.930611,-30.876006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,26.65,0.984,1.125,3.326,2.956,-72.86,1.099,2.967,2.699,-71.78,1.085,2.854,2.63,-79.97,1.044,2.289,2.193,-81.83,WISEA J091943.33-305233.5,UvS,,,,,,,,,,,,,,,,,,,0,1.0
12,78948078,,,,78948078,,,,,,,,,,,,,,0,,,,,139.947378,-30.891605,,,,,,,,,,258.27948,13.08833,,,7,1,2,1,3,1,,1,1,,,,139.9473129,-30.8915934,113,25,,21.0455,0.0126,,,21.0328,0.1371,,,,,,,,,,,,,,,,0.06992,,,,,,1391.378,9.847883,,,,,1171.035,127.0667,7.53,,,,,,0.5,,,,139.9473296,-30.891614,113,25,,20.2972,0.0351,,,20.4336,0.0868,,,,,,,,,,,,,,,,1.16,,,,,,2401.561,,,,,,2099.262,54.16925,4.09,,,,,,0.5,,,,139.9474479,-30.8916047,113,25,,19.2968,0.0385,,,19.7028,0.3038,,,,,,,,,,,,,,,,0.9951,,,,,,,,,,,,2717.188,93.03312,5.75,,,,,,0.5,,,,139.9473528,-30.8916056,113,25,,18.6011,0.0457,,,18.6355,0.0848,,,,,,,,,,,,,,,,1.874,,,,,,,78.22423,,,,,3039.48,267.3144,5.75,,,,,,0.5,,,,139.947378,-30.891605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,55.54,0.792,1.349,0.774,0.573,45.27,1.247,1.528,1.226,-74.21,1.355,0.943,0.696,-22.21,1.123,1.552,1.382,-41.31,WISEA J091947.36-305329.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
13,78948079,,,,78948079,,,,,,,,,,,,,,0,,,,,139.948542,-30.889691,,,,,,,,,,258.27875,13.090369,,,3,0,2,0,1,1,,1,1,,,,,,49,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,139.9485277,-30.8897158,49,69,,20.3533,0.0158,,,20.4908,0.1064,,,,,,,,,,,,,,,,0.8918,,,,,,2185.957,,,,,,1870.849,42.29884,4.93,,,,,,0.5,,,,,,49,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,139.9485502,-30.8896818,49,69,,19.536,0.0583,,,19.933,0.2772,,,,,,,,,,,,,,,,1.731,,,,,,,71.66587,,,,,1356.326,168.373,,,,,,,0.5,,,,139.948542,-30.889691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,51.56,0.732,,,,,1.203,1.5,1.247,-79.12,,,,,1.384,1.036,0.748,15.9,,,,,,,,,,,,,,,,,,,,,0,1.0
14,78948080,,,,78948080,,,,,,,,,,,,,,0,,,,,139.949056,-30.884471,,,,,,,,,,258.27515,13.094264,,,27,5,4,6,7,1,,1,1,,,,139.9490481,-30.8844649,20,23,,15.6193,0.0079,,,15.6193,0.0085,,,,,,,,,,,,,,,,1.921,,,,,,207162.5,221.4509,,,,,204327.0,525.73,3.5,,,,,,0.5,,,,139.9490436,-30.8844738,20,23,,15.0727,0.0056,,,15.0814,0.008,,,,,,,,,,,,,,,,0.2536,,,,,,283987.3,,,,,,278807.0,97.78422,3.5,,,,,,0.5,,,,139.9490349,-30.8844704,20,23,,14.6567,0.0051,,,14.684,0.0081,,,,,,,,,,,,,,,,8.476,,,,,,,,,,,,225961.1,516.0749,3.5,,,,,,0.5,,,,139.9490504,-30.8844646,20,23,,14.475,0.004,,,14.5144,0.0077,,,,,,,,,,,,,,,,1.638,,,,,,,190.9032,,,,,143790.7,499.1959,3.5,,,,,,0.5,,,,139.949056,-30.884471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,39.05,0.985,1.119,3.338,2.982,-74.48,1.107,3.006,2.715,85.6,1.059,3.056,2.887,88.18,1.04,2.615,2.515,79.13,WISEA J091947.76-305304.0,IrS,,,,,,,,,,,,,,,,,,,0,1.0
15,78948081,,,,78948081,,,,,,,,,,,,,,0,,,,,139.951882,-30.883013,,,,,,,,,,258.27576,13.09703,,,13,1,2,3,7,1,,1,1,,,,139.9518902,-30.8830277,36,35,,19.8891,0.0192,,,19.9217,0.0795,,,,,,,,,,,,,,,,2.026,,,,,,4036.985,60.85027,,,,,3892.429,212.4046,3.86,,,,,,0.5,,,,139.9519222,-30.8830382,36,35,,19.0182,0.0211,,,18.8248,0.0359,,,,,,,,,,,,,,,,13.97,,,,,,7383.954,,,,,,8658.956,198.3586,4.23,,,,,,0.5,,,,139.9518278,-30.8830086,36,35,,18.1963,0.035,,,17.943,0.0604,,,,,,,,,,,,,,,,18.24,,,,,,,,,,,,8738.735,291.2654,3.84,,,,,,0.5,,,,139.951821,-30.8829729,36,35,,17.9028,0.0217,,,17.6763,0.0801,,,,,,,,,,,,,,,,38.36,,,,,,,384.1777,,,,,6355.391,309.827,3.84,,,,,,0.5,,,,139.951882,-30.883013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,43.94,0.924,1.199,2.322,1.937,-69.32,1.217,2.493,2.049,-58.94,1.378,2.579,1.872,-64.68,1.449,2.456,1.695,-63.62,2MASS J09194847-3052595,IrS,,,,,,,,,,,,,,,,,,,0,1.0
