# Data from 'ATLAS' for 'SN ATLAS2021zsz'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
92.6388, -14.53888, o, 59447.606494, -19.798, 0.544, -44, 24, nan, ATLAS
92.6388, -14.53888, o, 59447.611605, -20.748, 1.569, -18, 29, nan, ATLAS
92.6388, -14.53888, o, 59447.629138, 20.153, 0.68, 32, 21, 20.137125054200233, ATLAS
92.6388, -14.53888, o, 59452.601614, -22.116, 6.077, -5, 31, nan, ATLAS
92.6388, -14.53888, o, 59452.602996, 20.562, 0.935, 22, 20, 20.543943297944484, ATLAS
92.6388, -14.53888, o, 59452.620268, 24.002, 15.727, 1, 14, 23.9, ATLAS
92.6388, -14.53888, o, 59452.629385, 23.668, 21.083, 1, 26, 23.9, ATLAS
92.6388, -14.53888, o, 59452.631111, -21.011, 1.474, -14, 21, nan, ATLAS
92.6388, -14.53888, o, 59452.637149, -18.986, 0.564, -92, 52, nan, ATLAS
92.6388, -14.53888, o, 59454.60084, -21.208, 1.459, -12, 17, nan, ATLAS
92.6388, -14.53888, o, 59454.604983, 21.27, 1.814, 11, 20, 21.296518287104437, ATLAS
92.6388, -14.53888, o, 59454.622023, 21.666, 1.794, 8, 14, 21.64227503252014, ATLAS
92.6388, -14.53888, o, 59454.63168, -22.953, 8.381, -2, 20, nan, ATLAS
92.6388, -14.53888, c, 59466.603742, 20.794, 0.621, 18, 11, 20.761818737241732, ATLAS
92.6388, -14.53888, c, 59466.607865, -21.674, 1.115, -8, 9, nan, ATLAS
92.6388, -14.53888, c, 59466.611979, 22.211, 1.8, 5, 8, 22.15257498915995, ATLAS
92.6388, -14.53888, c, 59466.621752, 21.017, 0.709, 14, 10, 21.034679910804403, ATLAS
92.6388, -14.53888, c, 59466.628203, -21.556, 1.056, -9, 9, nan, ATLAS
92.6388, -14.53888, c, 59466.634166, -21.132, 1.039, -13, 13, nan, ATLAS
92.6388, -14.53888, c, 59466.638857, 20.861, 1.58, 16, 26, 20.889700043360186, ATLAS
92.6388, -14.53888, c, 59466.639314, -20.989, 2.709, -15, 40, nan, ATLAS
92.6388, -14.53888, c, 59470.605166, 22.477, 2.548, 4, 10, 22.394850021680092, ATLAS
92.6388, -14.53888, c, 59470.608825, 20.909, 0.694, 16, 11, 20.889700043360186, ATLAS
92.6388, -14.53888, c, 59470.616716, 21.028, 0.82, 14, 12, 21.034679910804403, ATLAS
92.6388, -14.53888, c, 59470.62268, -21.02, 0.568, -14, 8, nan, ATLAS
92.6388, -14.53888, c, 59470.633711, 20.533, 0.48, 22, 11, 20.543943297944484, ATLAS
92.6388, -14.53888, c, 59470.637411, 21.618, 2.4, 8, 20, 21.64227503252014, ATLAS
92.6388, -14.53888, c, 59470.638798, 21.536, 2.643, 9, 23, 21.514393726401686, ATLAS
92.6388, -14.53888, o, 59471.605702, -21.015, 1.139, -14, 16, nan, ATLAS
92.6388, -14.53888, o, 59471.62322, -20.327, 0.573, -27, 15, nan, ATLAS
92.6388, -14.53888, o, 59471.633838, 23.712, 16.429, 1, 20, 23.9, ATLAS
92.6388, -14.53888, o, 59477.602132, 15.988, 0.68, 1461, 993, 15.988374460164257, ATLAS
92.6388, -14.53888, o, 59477.612196, 19.845, 0.512, 42, 21, 19.841876774005247, ATLAS
92.6388, -14.53888, o, 59477.622768, 19.866, 0.523, 41, 22, 19.86804035820066, ATLAS
92.6388, -14.53888, o, 59478.54307, 20.099, 1.303, 33, 43, 20.10371515030528, ATLAS
92.6388, -14.53888, o, 59478.545844, 19.456, 0.514, 60, 31, 19.45462187404089, ATLAS
92.6388, -14.53888, o, 59478.552731, -20.581, 1.393, -21, 30, nan, ATLAS
92.6388, -14.53888, o, 59478.565564, 20.019, 0.807, 36, 29, 20.00924374808178, ATLAS
92.6388, -14.53888, o, 59479.604935, 19.334, 0.392, 67, 26, 19.334812993247933, ATLAS
92.6388, -14.53888, o, 59479.607697, 19.194, 0.429, 76, 33, 19.197966019298022, ATLAS
92.6388, -14.53888, o, 59479.615096, 19.266, 0.363, 71, 26, 19.27185412820231, ATLAS
92.6388, -14.53888, o, 59479.624339, 19.204, 0.411, 76, 31, 19.197966019298022, ATLAS
92.6388, -14.53888, o, 59479.628033, 21.482, 2.655, 9, 25, 21.514393726401686, ATLAS
92.6388, -14.53888, o, 59479.629876, 19.836, 3.943, 42, 166, 19.841876774005247, ATLAS
92.6388, -14.53888, o, 59479.633104, 19.919, 0.732, 39, 29, 19.92233848243375, ATLAS
92.6388, -14.53888, o, 59480.601076, 16.997, 0.846, 577, 488, 16.99706046711067, ATLAS
92.6388, -14.53888, o, 59480.630713, 19.198, 0.784, 76, 60, 19.197966019298022, ATLAS
92.6388, -14.53888, o, 59481.571668, 18.85, 0.16, 105, 17, 18.847026752325153, ATLAS
92.6388, -14.53888, o, 59481.574472, 19.862, 0.571, 41, 24, 19.86804035820066, ATLAS
92.6388, -14.53888, o, 59481.580467, 19.348, 0.31, 66, 20, 19.351140161145327, ATLAS
92.6388, -14.53888, o, 59481.591466, 18.92, 0.215, 98, 21, 18.92193481076876, ATLAS
92.6388, -14.53888, o, 59484.610657, 18.683, 0.188, 122, 23, 18.684100423313126, ATLAS
92.6388, -14.53888, o, 59484.615563, 18.585, 0.166, 134, 22, 18.58223800408798, ATLAS
92.6388, -14.53888, o, 59484.63361, 18.992, 0.246, 92, 23, 18.99053043163611, ATLAS
92.6388, -14.53888, o, 59484.639245, 18.167, 0.17, 196, 33, 18.169359821608808, ATLAS
92.6388, -14.53888, o, 59485.60322, 18.788, 0.145, 111, 16, 18.786692553033355, ATLAS
92.6388, -14.53888, o, 59485.606876, 18.45, 0.137, 151, 21, 18.452557631767075, ATLAS
92.6388, -14.53888, o, 59485.623373, 18.496, 0.118, 145, 17, 18.496579994412564, ATLAS
92.6388, -14.53888, o, 59485.635294, 18.634, 0.127, 128, 16, 18.631975075880327, ATLAS
92.6388, -14.53888, o, 59486.602607, 18.581, 0.104, 134, 14, 18.58223800408798, ATLAS
92.6388, -14.53888, o, 59486.610526, 18.435, 0.09, 153, 14, 18.438271422956, ATLAS
92.6388, -14.53888, o, 59486.628616, 18.63, 0.128, 128, 16, 18.631975075880327, ATLAS
92.6388, -14.53888, o, 59486.640268, 18.592, 0.16, 133, 21, 18.590370897582282, ATLAS
92.6388, -14.53888, o, 59488.60304, 18.324, 0.096, 170, 16, 18.323877696554312, ATLAS
92.6388, -14.53888, o, 59488.608192, 18.637, 0.124, 127, 16, 18.640490697610105, ATLAS
92.6388, -14.53888, o, 59488.627102, 18.494, 0.132, 145, 19, 18.496579994412564, ATLAS
92.6388, -14.53888, o, 59488.632672, 18.533, 0.111, 140, 16, 18.534679910804403, ATLAS
92.6388, -14.53888, o, 59489.571919, 18.579, 0.096, 134, 13, 18.58223800408798, ATLAS
92.6388, -14.53888, o, 59489.57512, 18.346, 0.089, 167, 15, 18.34320882213104, ATLAS
92.6388, -14.53888, o, 59489.581089, 18.222, 0.083, 187, 16, 18.22039598365875, ATLAS
92.6388, -14.53888, o, 59489.591186, 18.514, 0.095, 143, 14, 18.511659906337343, ATLAS
92.6388, -14.53888, o, 59490.580692, 18.468, 0.099, 149, 15, 18.467034328969312, ATLAS
92.6388, -14.53888, o, 59490.583896, 18.486, 0.079, 146, 12, 18.489117860538904, ATLAS
92.6388, -14.53888, o, 59490.589421, 18.377, 0.073, 162, 12, 18.37621246364342, ATLAS
92.6388, -14.53888, o, 59490.604394, 18.54, 0.108, 139, 15, 18.542462999364762, ATLAS
92.6388, -14.53888, o, 59491.560713, 18.329, 0.116, 169, 20, 18.330283238465814, ATLAS
92.6388, -14.53888, o, 59491.564437, 18.533, 0.109, 140, 15, 18.534679910804403, ATLAS
92.6388, -14.53888, o, 59491.569968, 18.374, 0.099, 162, 16, 18.37621246364342, ATLAS
92.6388, -14.53888, o, 59491.581034, 18.334, 0.078, 168, 13, 18.33672679568534, ATLAS
92.6388, -14.53888, o, 59492.604727, -21.327, 7.889, -11, 84, nan, ATLAS
92.6388, -14.53888, o, 59492.612055, 19.193, 1.614, 76, 123, 19.197966019298022, ATLAS
92.6388, -14.53888, o, 59492.630394, 18.333, 0.361, 168, 61, 18.33672679568534, ATLAS
92.6388, -14.53888, o, 59492.636044, 17.385, 0.198, 404, 80, 17.384046587223487, ATLAS
92.6388, -14.53888, o, 59493.601925, 18.428, 0.078, 154, 12, 18.43119819790884, ATLAS
92.6388, -14.53888, o, 59493.605125, 18.493, 0.091, 146, 13, 18.489117860538904, ATLAS
92.6388, -14.53888, o, 59493.612914, 18.459, 0.095, 150, 14, 18.459771852360795, ATLAS
92.6388, -14.53888, o, 59493.628861, 18.664, 0.093, 124, 12, 18.66644578709441, ATLAS
92.6388, -14.53888, o, 59494.562206, 18.665, 0.092, 124, 11, 18.66644578709441, ATLAS
92.6388, -14.53888, o, 59494.564035, 18.688, 0.112, 122, 14, 18.684100423313126, ATLAS
92.6388, -14.53888, o, 59494.566778, 18.71, 0.118, 119, 14, 18.711132596518674, ATLAS
92.6388, -14.53888, o, 59494.577388, 18.594, 0.102, 133, 14, 18.590370897582282, ATLAS
92.6388, -14.53888, o, 59495.504391, 18.692, 0.216, 121, 26, 18.69303657420887, ATLAS
92.6388, -14.53888, o, 59495.511338, 18.771, 0.161, 113, 18, 18.767303891291448, ATLAS
92.6388, -14.53888, o, 59495.515621, 18.7, 0.179, 120, 22, 18.702046884880936, ATLAS
92.6388, -14.53888, o, 59495.527543, 18.906, 0.202, 100, 20, 18.9, ATLAS
92.6388, -14.53888, o, 59496.601053, 18.931, 0.17, 97, 16, 18.933070664334387, ATLAS
92.6388, -14.53888, o, 59496.616536, 18.822, 0.152, 107, 16, 18.826540555786973, ATLAS
92.6388, -14.53888, o, 59496.630119, 18.946, 0.147, 96, 14, 18.944321917401076, ATLAS
92.6388, -14.53888, o, 59496.635331, 19.055, 0.167, 87, 14, 19.051201868453454, ATLAS
92.6388, -14.53888, o, 59496.644639, 18.729, 0.338, 117, 40, 18.729535345634595, ATLAS
92.6388, -14.53888, o, 59498.583805, 18.808, 0.127, 109, 14, 18.80643375514844, ATLAS
92.6388, -14.53888, o, 59498.600647, 18.723, 0.144, 118, 17, 18.720294981734686, ATLAS
92.6388, -14.53888, o, 59498.605255, 18.864, 0.127, 103, 13, 18.86790693823707, ATLAS
92.6388, -14.53888, o, 59498.622403, 18.845, 0.108, 105, 11, 18.847026752325153, ATLAS
92.6388, -14.53888, o, 59500.529092, 18.663, 0.157, 124, 20, 18.66644578709441, ATLAS
92.6388, -14.53888, o, 59500.532326, 18.898, 0.184, 100, 18, 18.9, ATLAS
92.6388, -14.53888, o, 59500.536936, 19.071, 0.184, 85, 16, 19.076452685714266, ATLAS
92.6388, -14.53888, o, 59500.547119, 19.26, 0.235, 72, 17, 19.256668758921826, ATLAS
92.6388, -14.53888, o, 59501.580435, 18.962, 0.128, 94, 12, 18.967180366000754, ATLAS
92.6388, -14.53888, o, 59501.583639, 18.775, 0.117, 112, 13, 18.776954943324544, ATLAS
92.6388, -14.53888, o, 59501.586839, 18.821, 0.134, 108, 14, 18.816440611282623, ATLAS
92.6388, -14.53888, o, 59501.591869, 19.051, 0.142, 87, 12, 19.051201868453454, ATLAS
92.6388, -14.53888, o, 59503.533691, 18.952, 0.186, 95, 18, 18.955690986777878, ATLAS
92.6388, -14.53888, o, 59503.535999, 19.06, 0.182, 86, 16, 19.06375387189108, ATLAS
92.6388, -14.53888, o, 59503.538766, 18.736, 0.148, 116, 17, 18.738855026932704, ATLAS
92.6388, -14.53888, o, 59503.543838, 18.96, 0.168, 95, 16, 18.955690986777878, ATLAS
92.6388, -14.53888, o, 59505.492086, 18.888, 0.235, 101, 24, 18.889196565543394, ATLAS
92.6388, -14.53888, o, 59505.497587, 18.596, 0.187, 132, 25, 18.598565171985374, ATLAS
92.6388, -14.53888, o, 59505.503553, 18.732, 0.195, 117, 23, 18.729535345634595, ATLAS
92.6388, -14.53888, o, 59505.513655, 18.92, 0.58, 98, 57, 18.92193481076876, ATLAS
