# Data from 'ATLAS' for 'SN ATLAS2022fjx'
RA, Dec, F, MJD, m, dm, uJy, duJy, zp, source
160.87568, 19.083, o, 59565.503566, -20.715, 1.37, -19, 26, nan, ATLAS
160.87568, 19.083, o, 59565.506329, -20.424, 0.966, -25, 24, nan, ATLAS
160.87568, 19.083, o, 59565.510476, 22.446, 6.227, 4, 24, 22.394850021680092, ATLAS
160.87568, 19.083, o, 59565.517401, 20.501, 1.119, 23, 26, 20.495680409956016, ATLAS
160.87568, 19.083, o, 59566.06433, -21.657, 6.529, -8, 52, nan, ATLAS
160.87568, 19.083, o, 59566.066767, -19.861, 0.917, -41, 38, nan, ATLAS
160.87568, 19.083, o, 59566.069624, 20.939, 2.946, 15, 45, 20.959771852360795, ATLAS
160.87568, 19.083, o, 59566.071942, -19.54, 0.708, -56, 39, nan, ATLAS
160.87568, 19.083, o, 59566.086408, 20.234, 1.73, 29, 51, 20.24400500525261, ATLAS
160.87568, 19.083, o, 59566.089257, -19.41, 0.67, -62, 42, nan, ATLAS
160.87568, 19.083, o, 59566.092572, 19.945, 1.284, 38, 49, 19.950541008457975, ATLAS
160.87568, 19.083, o, 59566.094958, -21.338, 4.743, -11, 50, nan, ATLAS
160.87568, 19.083, o, 59581.063792, -19.742, 0.372, -46, 17, nan, ATLAS
160.87568, 19.083, o, 59581.078953, -19.886, 0.506, -40, 20, nan, ATLAS
160.87568, 19.083, o, 59581.081756, 21.502, 2.793, 9, 25, 21.514393726401686, ATLAS
160.87568, 19.083, o, 59581.082223, 20.043, 0.804, 35, 28, 20.03982988912431, ATLAS
160.87568, 19.083, o, 59581.090711, -19.486, 2.947, -58, 172, nan, ATLAS
160.87568, 19.083, o, 59585.018143, -21.875, 4.571, -6, 30, nan, ATLAS
160.87568, 19.083, o, 59585.021423, 19.256, 4.067, 72, 293, 19.256668758921826, ATLAS
160.87568, 19.083, o, 59585.02703, 21.414, 3.474, 10, 34, 21.4, ATLAS
160.87568, 19.083, c, 59587.524211, 21.873, 1.317, 6, 8, 21.95462187404089, ATLAS
160.87568, 19.083, c, 59587.526499, -22.172, 2.133, -5, 10, nan, ATLAS
160.87568, 19.083, c, 59587.529244, -22.747, 3.211, -3, 9, nan, ATLAS
160.87568, 19.083, c, 59587.534729, 23.431, 5.5, 2, 8, 23.147425010840045, ATLAS
160.87568, 19.083, o, 59589.490037, 20.547, 0.575, 22, 13, 20.543943297944484, ATLAS
160.87568, 19.083, o, 59589.493249, -21.98, 2.0, -6, 12, nan, ATLAS
160.87568, 19.083, o, 59589.49886, -24.479, 22.0, -1, 13, nan, ATLAS
160.87568, 19.083, o, 59589.499783, -21.79, 1.788, -7, 12, nan, ATLAS
160.87568, 19.083, o, 59589.502091, 22.415, 3.176, 4, 12, 22.394850021680092, ATLAS
160.87568, 19.083, o, 59589.50489, 21.94, 2.0, 6, 12, 21.95462187404089, ATLAS
160.87568, 19.083, o, 59589.505351, 20.68, 0.591, 19, 12, 20.703115997617928, ATLAS
160.87568, 19.083, o, 59589.512495, -20.586, 0.632, -21, 13, nan, ATLAS
160.87568, 19.083, o, 59591.473653, -21.48, 1.514, -9, 14, nan, ATLAS
160.87568, 19.083, o, 59591.476883, -21.837, 2.093, -7, 14, nan, ATLAS
160.87568, 19.083, o, 59591.481779, -20.429, 0.544, -24, 13, nan, ATLAS
160.87568, 19.083, o, 59591.491622, -21.207, 1.177, -12, 14, nan, ATLAS
160.87568, 19.083, o, 59593.475181, -21.637, 2.805, -8, 23, nan, ATLAS
160.87568, 19.083, o, 59593.477486, 20.988, 1.765, 15, 26, 20.959771852360795, ATLAS
160.87568, 19.083, o, 59593.481632, -20.356, 0.79, -26, 21, nan, ATLAS
160.87568, 19.083, o, 59593.483963, -21.956, 3.296, -6, 20, nan, ATLAS
160.87568, 19.083, o, 59593.489671, 23.532, 14.571, 1, 20, 23.9, ATLAS
160.87568, 19.083, o, 59593.501272, 20.848, 1.154, 17, 19, 20.823877696554312, ATLAS
160.87568, 19.083, o, 59593.503126, -20.183, 0.614, -31, 19, nan, ATLAS
160.87568, 19.083, o, 59593.50682, 20.735, 0.928, 18, 17, 20.761818737241732, ATLAS
160.87568, 19.083, o, 59597.428896, 19.261, 0.564, 72, 40, 19.256668758921826, ATLAS
160.87568, 19.083, o, 59597.433057, -20.792, 2.253, -18, 40, nan, ATLAS
160.87568, 19.083, o, 59597.437202, -21.262, 3.564, -11, 40, nan, ATLAS
160.87568, 19.083, o, 59597.444583, -24.941, 100.5, 0, 38, inf, ATLAS
160.87568, 19.083, o, 59603.543807, -22.398, 3.344, -4, 13, nan, ATLAS
160.87568, 19.083, o, 59603.548987, 24.179, 14.833, 1, 12, 23.9, ATLAS
160.87568, 19.083, o, 59603.559675, 22.105, 2.444, 5, 13, 22.15257498915995, ATLAS
160.87568, 19.083, o, 59603.563484, -21.841, 1.898, -7, 13, nan, ATLAS
160.87568, 19.083, o, 59605.577849, -20.908, 0.89, -16, 14, nan, ATLAS
160.87568, 19.083, o, 59605.57877, -21.832, 2.0, -7, 13, nan, ATLAS
160.87568, 19.083, o, 59605.584064, 21.486, 1.365, 9, 13, 21.514393726401686, ATLAS
160.87568, 19.083, o, 59605.584524, -19.992, 0.409, -37, 15, nan, ATLAS
160.87568, 19.083, o, 59605.58684, -21.276, 1.157, -11, 13, nan, ATLAS
160.87568, 19.083, o, 59605.5873, 0.0, 20.95, 0, 15, inf, ATLAS
160.87568, 19.083, o, 59605.597339, 20.899, 0.956, 16, 15, 20.889700043360186, ATLAS
160.87568, 19.083, o, 59605.622858, -21.605, 1.841, -8, 15, nan, ATLAS
160.87568, 19.083, o, 59606.456131, 21.325, 1.3, 11, 14, 21.296518287104437, ATLAS
160.87568, 19.083, o, 59606.461824, -19.993, 0.41, -36, 15, nan, ATLAS
160.87568, 19.083, o, 59606.46689, -21.707, 1.682, -8, 13, nan, ATLAS
160.87568, 19.083, o, 59606.472139, -20.76, 0.747, -18, 14, nan, ATLAS
160.87568, 19.083, o, 59606.474081, -22.984, 6.0, -2, 14, nan, ATLAS
160.87568, 19.083, o, 59606.478255, 21.778, 1.667, 7, 12, 21.787254899964356, ATLAS
160.87568, 19.083, o, 59606.486233, 22.707, 4.375, 3, 13, 22.707196863200842, ATLAS
160.87568, 19.083, o, 59607.461527, 20.749, 0.689, 18, 12, 20.761818737241732, ATLAS
160.87568, 19.083, o, 59607.463875, -23.604, 7.625, -1, 10, nan, ATLAS
160.87568, 19.083, o, 59607.467112, 18.314, 0.078, 172, 13, 18.311178882731127, ATLAS
160.87568, 19.083, o, 59607.467574, 21.21, 1.13, 12, 14, 21.202046884880936, ATLAS
160.87568, 19.083, o, 59607.469518, 20.053, 0.342, 35, 12, 20.03982988912431, ATLAS
160.87568, 19.083, o, 59607.473663, 21.112, 1.045, 13, 14, 21.115141619232908, ATLAS
160.87568, 19.083, o, 59607.476449, -21.964, 1.946, -6, 12, nan, ATLAS
160.87568, 19.083, o, 59607.480609, -21.949, 2.212, -6, 13, nan, ATLAS
160.87568, 19.083, c, 59609.078248, 20.334, 0.433, 27, 12, 20.32159058960253, ATLAS
160.87568, 19.083, c, 59609.081936, 22.027, 1.778, 6, 10, 21.95462187404089, ATLAS
160.87568, 19.083, c, 59609.110428, -20.905, 0.733, -16, 12, nan, ATLAS
160.87568, 19.083, c, 59609.115998, -22.651, 4.875, -3, 15, nan, ATLAS
160.87568, 19.083, o, 59609.478726, -21.303, 0.658, -11, 7, nan, ATLAS
160.87568, 19.083, o, 59609.480554, 22.369, 2.595, 4, 11, 22.394850021680092, ATLAS
160.87568, 19.083, o, 59609.483815, 20.859, 0.633, 16, 10, 20.889700043360186, ATLAS
160.87568, 19.083, o, 59609.48924, 22.256, 2.021, 4, 9, 22.394850021680092, ATLAS
160.87568, 19.083, o, 59610.462184, -21.88, 1.87, -6, 12, nan, ATLAS
160.87568, 19.083, o, 59610.466256, 21.283, 0.78, 11, 9, 21.296518287104437, ATLAS
160.87568, 19.083, o, 59610.471498, -21.617, 1.0, -8, 8, nan, ATLAS
160.87568, 19.083, o, 59610.481575, 21.538, 1.244, 9, 11, 21.514393726401686, ATLAS
160.87568, 19.083, o, 59610.518011, -22.458, 2.95, -4, 11, nan, ATLAS
160.87568, 19.083, o, 59610.521823, 0.0, 21.32, 0, 11, inf, ATLAS
160.87568, 19.083, o, 59610.554916, -21.534, 1.244, -9, 11, nan, ATLAS
160.87568, 19.083, o, 59610.560035, -21.531, 1.5, -9, 13, nan, ATLAS
160.87568, 19.083, o, 59611.575825, 21.386, 2.538, 10, 26, 21.4, ATLAS
160.87568, 19.083, o, 59611.579052, 21.908, 2.48, 6, 16, 21.95462187404089, ATLAS
160.87568, 19.083, o, 59612.451607, -22.051, 2.25, -6, 12, nan, ATLAS
