oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
416105400000089,194717150,2459701.6733842143,59701.171504600003,20.0316219,0.145984411,0,zg,145.7091862,-3.6124928000000001,0.901000023,0.0390000008,20220502171505,416,0x5,0x4,21.5100002,26.2067318,0.0310271755,-0.0869725794,2.54238803e-05,30,1.33500004,1
416105400000089,194918681,2459703.6885150019,59703.186817100002,20.0279064,0.145653963,0,zg,145.70917489999999,-3.6124786000000002,0.386999995,-0.0500000007,20220504186806,416,0x5,0x4,20.4799995,26.1266823,0.0366417207,-0.0652789176,4.6259458e-05,30,1.42499995,1
416105400000089,195617483,2459710.6758935521,59710.174837999999,19.7764912,0.123912022,0,zg,145.70913899999999,-3.6124741,1.07099998,-0.172999993,20220511174826,416,0x5,0x4,20.2800007,26.2117157,0.03203623,-0.048446767,4.0350089e-05,30,1.46500003,1
416105400000095,188223131,2459636.7369254758,59636.231319400002,20.0563755,0.148190036,0,zg,145.6868298,-3.6134892000000001,0.529999971,-0.0109999999,20220226231308,416,0x5,0x4,21.4500008,26.2238407,0.0302949976,-0.0673611686,2.4225812e-05,30,1.31900001,1
416105400000095,188629657,2459640.8021168425,59640.296574100001,20.0970402,0.15182209,0,zg,145.68697850000001,-3.6135087000000001,0.721000016,-0.138999999,20220302296562,416,0x5,0x4,20.9400005,26.2821064,0.032736145,-0.067177698,3.0689218e-05,30,1.24399996,1
416105400000095,192018482,2459674.6888609072,59674.1848264,20.2460289,0.165069759,0,zg,145.6868422,-3.6135438999999998,0.354999989,-0.0920000002,20220405184815,416,0x5,0x4,21.3999996,26.2595654,0.0281084478,-0.0753547326,2.08265974e-05,30,1.23399997,1
416105400000095,192219091,2459676.6948116026,59676.190914400002,20.1929646,0.160381883,0,zg,145.68672179999999,-3.6134748999999999,0.720000029,-0.00600000005,20220407190903,416,0x5,0x4,20.5300007,26.2112827,0.0344391949,-0.0455603786,4.00819372e-05,30,1.23800004,1
416105400000095,192417260,2459678.6763614547,59678.172604200001,20.1876659,0.159911156,0,zg,145.6868029,-3.6135340999999999,0.456,-0.0250000004,20220409172593,416,0x5,0x4,20.9699993,26.2079773,0.0352359638,-0.0538158789,3.5298468e-05,30,1.23399997,1
416105400000095,193921891,2459693.7214848534,59693.218911999997,20.1704178,0.158376157,0,zg,145.68650629999999,-3.6136571000000002,1.11300004,0.00400000019,20220424218900,416,0x5,0x4,20.7199993,26.1319599,0.0397108458,-0.0587690026,4.85367236e-05,30,1.45099998,1
416105400000095,194320804,2459697.710272836,59697.208043999999,20.4044266,0.178492263,0,zg,145.68671939999999,-3.6134303999999999,0.869000018,-0.179000005,20220428208032,416,0x5,0x4,21.3500004,26.1558533,0.0299639031,-0.0888299644,2.37109489e-05,30,1.45200002,1
416105400000095,194519724,2459699.6992990067,59699.197245399999,20.1292038,0.154697314,0,zg,145.6868188,-3.6135313,0.949999988,-0.00200000009,20220430197234,416,0x5,0x4,21.2000008,26.1366482,0.029109953,-0.0647846907,2.36104406e-05,30,1.42299998,1
416105400000095,194717150,2459701.6733821379,59701.171504600003,20.3472424,0.173782617,0,zg,145.68675529999999,-3.6134982999999998,0.730000019,0.191,20220502171505,416,0x5,0x4,21.5100002,26.2067318,0.0310271755,-0.0869725794,2.54238803e-05,30,1.33500004,1
416105400000095,194918681,2459703.6885129372,59703.186817100002,19.9752941,0.14099279,0,zg,145.6870418,-3.6133896999999999,0.811999977,-0.00200000009,20220504186806,416,0x5,0x4,20.4799995,26.1266823,0.0366417207,-0.0652789176,4.6259458e-05,30,1.42499995,1
416105400000154,188223131,2459636.7369255903,59636.231319400002,20.778698,0.209178925,0,zg,145.70187820000001,-3.6240787999999999,0.77700001,-0.112999998,20220226231308,416,0x5,0x4,21.4500008,26.2238407,0.0302949976,-0.0673611686,2.4225812e-05,30,1.31900001,1
416105400000154,192018482,2459674.6888620947,59674.1848264,20.6345253,0.197108388,0,zg,145.7018836,-3.6240923,0.759000003,-0.150999993,20220405184815,416,0x5,0x4,21.3999996,26.2595654,0.0281084478,-0.0753547326,2.08265974e-05,30,1.23399997,1
416105400000154,192219091,2459676.6948128464,59676.190914400002,20.2200546,0.162782162,0,zg,145.7018812,-3.6241637,0.851999998,-0.167999998,20220407190903,416,0x5,0x4,20.5300007,26.2112827,0.0344391949,-0.0455603786,4.00819372e-05,30,1.23800004,1
416105400000154,194320804,2459697.7102744742,59697.208043999999,20.700819,0.202658653,0,zg,145.70192030000001,-3.6240888999999998,1.15900004,-0.432999998,20220428208032,416,0x5,0x4,21.3500004,26.1558533,0.0299639031,-0.0888299644,2.37109489e-05,30,1.45200002,1
416105400000154,194717150,2459701.6733838199,59701.171504600003,20.8296185,0.213442087,0,zg,145.7019014,-3.624063,0.912999988,0.252000004,20220502171505,416,0x5,0x4,21.5100002,26.2067318,0.0310271755,-0.0869725794,2.54238803e-05,30,1.33500004,1
416205400000018,187531982,2459629.8254774674,59629.319826400002,19.034214,0.0694623962,0,zr,145.68929879999999,-3.6009239000000002,0.606999993,-0.0240000002,20220219319815,416,0x5,0x4,20.3700008,26.2780781,0.0267811008,0.111503072,1.87584192e-05,30,1.23899996,1
