oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
502116300004846,146214986,2459216.6511932197,59216.149861099999,19.04842,0.0574949756,0,zg,19.518302200000001,14.5563886,3.648,0.407999992,20210102149861,502,0x10,0x3,21.3400002,26.1576023,0.0315469317,-0.0549331196,2.39290202e-05,30,1.11199999,1
502116300004846,146215079,2459216.6521306271,59216.1507986,19.0136757,0.0560600683,0,zg,19.518290700000001,14.5564144,1.76999998,0.279000014,20210102150799,502,0x10,0x3,21.2199993,26.1446648,0.0307941642,-0.0599401072,2.30015048e-05,30,1.11300004,2
502116300004846,146410950,2459218.6106410674,59218.109502300002,18.8467693,0.0496968068,0,zg,19.5183094,14.5564958,1.73699999,0.197999999,20210104109491,502,0x10,0x3,20.9799995,26.0997086,0.0327215455,-0.0392585546,2.72786383e-05,30,1.07500005,2
502116300004846,146411046,2459218.6116016642,59218.110462999997,18.6468239,0.043134097,0,zg,19.5182249,14.5564763,1.12399995,0.057,20210104110451,502,0x10,0x3,20.8799992,26.0735474,0.0326139927,-0.0325453915,2.86923696e-05,30,1.07599998,1
502116300004846,146512465,2459219.6256909058,59219.124652799997,18.9347363,0.0529437773,0,zg,19.5182593,14.5563535,3.82599998,0.456,20210105124653,502,0x10,0x3,21.6700001,26.2563343,0.0264908317,-0.0459669232,1.64899629e-05,30,1.08800006,2
502116300004846,146612957,2459220.6305099856,59220.129571799996,18.8047295,0.0482254364,0,zg,19.5182137,14.5564085,3.66300011,0.335999995,20210106129549,502,0x10,0x3,21.25,26.2352161,0.0311293174,-0.0435539521,2.36488177e-05,30,1.097,2
502116300004846,146613103,2459220.6319681476,59220.131030099998,18.8816891,0.0509580597,0,zg,19.518336600000001,14.5563193,2.60500002,0.259000003,20210106131019,502,0x10,0x3,21.2600002,26.2425671,0.0275663212,-0.0474050082,1.8731922e-05,30,1.09899998,1
502116300004846,146712853,2459221.6293687159,59221.128530100003,19.0505791,0.0575854443,32768,zg,19.518182400000001,14.5565385,0.217999995,0.0489999987,20210107128403,502,0x10,0x3,20.1499996,25.311327,0.0397886522,-0.0366810709,6.99896918e-05,30,1.09899998,2
502116300004846,146824547,2459222.7462014435,59222.2454745,18.7674026,0.0469609611,0,zg,19.5182784,14.556435499999999,1.18099999,0.202000007,20210108245463,502,0x10,0x3,20.8199997,26.1259155,0.0371872447,-0.0340383425,3.6245121e-05,30,1.76699996,1
502116300004846,146824593,2459222.7466643942,59222.245937500003,18.8786373,0.0508463979,0,zg,19.518253900000001,14.5564193,1.76800001,0.207000002,20210108245938,502,0x10,0x3,20.9699993,26.1167774,0.0325516537,-0.0237857625,2.76465835e-05,30,1.773,2
502116300004846,146920324,2459223.7038718113,59223.203240700001,18.8088379,0.0483669862,0,zg,19.518282599999999,14.5562763,2.57800007,0.319000006,20210109203229,502,0x10,0x3,21.1499996,26.1960983,0.0348429754,-0.0412145592,3.02520766e-05,30,1.38999999,2
502116300004846,147017443,2459224.6749666934,59224.174432899999,18.4276524,0.0371015072,0,zg,19.518359799999999,14.556432300000001,1.05900002,-0.061999999,20210110174433,502,0x10,0x3,20.3899994,26.2459507,0.0383697636,-0.0498378687,4.66007841e-05,30,1.24800003,1
502116300004846,147124556,2459225.7459932938,59225.245567099999,18.6118488,0.0420945249,0,zg,19.518118099999999,14.556174199999999,1.41100001,0.165000007,20210111245567,502,0x10,0x3,20.3500004,26.0707684,0.0391732752,-0.041871883,5.13271189e-05,30,1.88699996,2
502116300004846,147217508,2459226.6754139178,59226.175081000001,18.5656319,0.0407670848,0,zg,19.518325999999998,14.5563161,0.926999986,0.0299999993,20210112175081,502,0x10,0x3,20.5100002,26.1179218,0.0392047279,-0.0462338701,4.84858501e-05,30,1.27600002,1
502116300004846,147415342,2459228.6535599907,59228.153425899996,18.8055134,0.0482523814,32768,zg,19.518241100000001,14.5562913,1.57799995,0.203999996,20210114153426,502,0x10,0x3,20.4699993,25.7570744,0.0418154709,-0.0388272554,5.69426702e-05,30,1.20799994,1
502116300004846,147616326,2459230.6631960487,59230.163263900002,18.7996941,0.0480525754,0,zg,19.518261800000001,14.556400999999999,2.20600009,0.279000014,20210116163252,502,0x10,0x3,20.9799995,26.161396,0.0307810996,-0.0452546515,2.4177145e-05,30,1.27199996,1
502116300004846,147819667,2459232.6964063426,59232.196678200002,19.083086,0.0589663573,0,zg,19.518249999999998,14.5564576,4.51900005,0.528999984,20210118196678,502,0x10,0x3,21.3199997,26.1886635,0.0311062615,-0.0509433486,2.30910118e-05,30,1.52999997,1
502116300004846,149413062,2459248.6287957593,59248.130624999998,19.0007496,0.0555362478,0,zg,19.518271800000001,14.556388800000001,1.68700004,0.246000007,20210203130625,502,0x10,0x3,21.2000008,26.1964092,0.0318185948,-0.0733769983,2.47083335e-05,30,1.36199999,1
502116300004846,149614421,2459250.6421955605,59250.144213,18.7506638,0.0464064516,0,zg,19.518248,14.556045599999999,1.421,0.0189999994,20210205144213,502,0x10,0x3,20.5,26.1718922,0.0353067368,-0.0293958839,3.67732318e-05,30,1.50100005,1
502116300020328,141332802,2459167.8331841729,59167.3280208,19.4071236,0.0747811049,0,zg,19.518396800000001,14.555460800000001,1.17900002,0.0659999996,20201114327975,502,0x10,0x3,20.8899994,26.2540379,0.0331977531,-0.0389735475,2.84569105e-05,30,1.24000001,1
502116300020328,141524696,2459169.7520341994,59169.246967599996,19.391552,0.0739310831,0,zg,19.518370099999999,14.555567099999999,1.99600005,0.243000001,20201116246968,502,0x10,0x3,21.3999996,26.2918377,0.0298244059,-0.0496817678,2.12529158e-05,30,1.07700002,1
502116300020328,142417280,2459178.677346434,59178.1728009,19.7062759,0.0930203795,0,zg,19.518314199999999,14.5551637,0.616999984,0.174999997,20201125172789,502,0x10,0x3,20.8099995,26.2834072,0.0361339189,-0.0441257246,3.68566034e-05,30,1.09800005,1
502116300020328,143019118,2459184.695313856,59184.191180599999,19.3090057,0.069581911,0,zg,19.518192200000001,14.5556164,0.458999991,0.0670000017,20201201191181,502,0x10,0x3,20.2700005,26.303566,0.0368191637,-0.039777372,4.7231486e-05,30,1.07299995,1
502116300020328,144417344,2459198.6764623779,59198.173449100002,19.1349277,0.061242491,0,zg,19.518252400000002,14.555263,1.41199994,0.231999993,20201215173449,502,0x10,0x3,20.3299999,26.135664,0.0397971198,-0.0293120202,5.46214033e-05,30,1.08000004,2
