index,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa,NED_name,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,hasSimbad,sourceClass
2,87529000,,,,87529000,,,,,,,,,,,,,,0,,,,,178.778711,-30.275989,,,,,,,,,,288.73737,31.038565,,,32,4,5,7,8,1,,1,1,,,,178.7787121,-30.2760009,19,20,,15.504,0.0081,,,15.5298,0.0186,,,,,,,,,,,,,,,,1.201,,,,,,12734.37,54.03947,,,,,12291.57,157.5971,3.5,,,,,,0.5,,,,178.7787003,-30.2759816,19,20,,15.1858,0.0123,,,15.2143,0.0136,,,,,,,,,,,,,,,,0.7249,,,,,,14180.41,,,,,,13608.18,43.62942,3.5,,,,,,0.5,,,,178.7787171,-30.2759914,19,20,,14.9996,0.0045,,,15.0259,0.008,,,,,,,,,,,,,,,,10.68,,,,,,,,,,,,151386.7,443.0782,3.5,,,,,,0.5,,,,178.7787185,-30.2759929,19,20,,14.9587,0.0061,,,14.9908,0.0089,,,,,,,,,,,,,,,,0.3924,,,,,,,66.46385,,,,,76240.17,426.7075,3.5,,,,,,0.5,,,,178.778711,-30.275989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,143.24,0.983,1.136,2.159,1.9,-52.93,1.12,2.105,1.879,-68.31,1.07,3.405,3.183,-89.34,1.01,3.102,3.071,39.98,WISEA J115506.88-301633.6,UvS,,,,,,,,,,,,,,,,,,,0,1.0
3,87529001,,,,87529001,,,,,,,,,,,,,,0,,,,,178.772089,-30.262386,,,,,,,,,,288.7269,31.05028,,,16,0,2,6,8,1,,1,1,,,,,,28,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,178.772014,-30.2623214,28,50,,18.1111,0.056,,,18.1758,0.13,,,,,,,,,,,,,,,,1.465,,,,,,772.9052,,,,,,733.9117,31.09016,3.5,,,,,,0.5,,,,178.7721029,-30.2623745,28,50,,16.7978,0.0078,,,16.8174,0.0249,,,,,,,,,,,,,,,,0.9661,,,,,,,,,,,,28539.65,71.44933,3.5,,,,,,0.5,,,,178.7720867,-30.2623687,28,50,,16.294,0.0118,,,16.2959,0.0193,,,,,,,,,,,,,,,,0.01506,,,,,,,8.297974,,,,,22699.34,326.6895,3.5,,,,,,0.5,,,,178.772089,-30.262386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,121.82,0.816,,,,,1.406,1.411,1.003,-45.23,1.069,2.988,2.795,-78.22,1.021,2.818,2.759,54.31,WISEA J115505.29-301544.4,IrS,,,,,,,,,,,,,,,,,,,0,1.0
6,87529004,,,,87529004,,,,,,,,,,,,,,0,,,,,178.815105,-30.273744,,,,,,,,,,288.77222,31.04867,,,22,3,5,7,7,1,,1,1,,,,178.8151031,-30.273712,21,38,,17.9323,0.0177,,,17.9201,0.0856,,,,,,,,,,,,,,,,1.762,,,,,,1368.933,36.69302,,,,,1518.292,125.5227,5.3,,,,,,0.5,,,,178.8150977,-30.2737054,21,38,,17.0843,0.0364,,,17.2409,0.0675,,,,,,,,,,,,,,,,2.54,,,,,,2215.771,,,,,,1912.866,48.3751,3.5,,,,,,0.5,,,,178.8150936,-30.2737441,21,38,,15.945,0.0048,,,15.958,0.0145,,,,,,,,,,,,,,,,1.045,,,,,,,,,,,,63104.75,102.935,3.5,,,,,,0.5,,,,178.8150764,-30.2737268,21,38,,15.5071,0.0055,,,15.5273,0.0165,,,,,,,,,,,,,,,,0.8154,,,,,,,76.90997,,,,,46532.18,384.6044,3.5,,,,,,0.5,,,,178.815105,-30.273744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,116.97,0.976,1.124,1.489,1.325,-64.24,1.064,1.535,1.443,-50.09,1.058,3.065,2.896,82.54,1.017,3.085,3.034,52.88,WISEA J115515.62-301625.3,IrS,,,,,,,,,,,,,,,,,,,0,1.0
8,87529006,,,,87529006,,,,,,,,,,,,,,0,,,,,178.822177,-30.26618,,,,,,,,,,288.7769,31.05753,,,22,5,4,7,6,1,,1,1,,,,178.822171,-30.2661788,27,38,,17.0749,0.0215,,,17.1666,0.0685,,,,,,,,,,,,,,,,0.7567,,,,,,2917.485,27.85645,,,,,2687.113,104.0101,3.5,,,,,,0.5,,,,178.8221767,-30.2661442,27,38,,16.8525,0.0124,,,16.9066,0.0278,,,,,,,,,,,,,,,,0.9856,,,,,,3024.834,,,,,,2820.882,32.06829,3.5,,,,,,0.5,,,,178.8221756,-30.2661654,27,38,,16.6835,0.0066,,,16.7081,0.0172,,,,,,,,,,,,,,,,0.0982,,,,,,,,,,,,32141.75,23.72437,3.5,,,,,,0.5,,,,178.8221918,-30.2661657,27,38,,16.6275,0.0126,,,16.6652,0.0197,,,,,,,,,,,,,,,,0.128,,,,,,,22.88844,,,,,16338.91,303.5399,3.5,,,,,,0.5,,,,178.822177,-30.26618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,101.73,0.977,1.151,1.731,1.504,-61.3,1.134,1.707,1.506,-64.87,1.054,2.983,2.831,86.0,1.021,2.632,2.577,46.26,WISEA J115517.30-301558.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
15,87529013,,,,87529013,,,,,,,,,,,,,,0,,,,,178.806551,-30.247564,,,,,,,,,,288.75616,31.07214,,,19,4,5,5,5,1,,1,1,,,,178.8065239,-30.2475632,33,21,,17.8418,0.0163,,,18.0799,0.0682,,,,,,,,,,,,,,,,0.9954,,,,,,1435.677,27.68771,,,,,1212.156,82.21556,3.5,,,,,,0.5,,,,178.8065558,-30.2475421,33,21,,17.7042,0.0355,,,17.7006,0.0827,,,,,,,,,,,,,,,,1.285,,,,,,1534.655,,,,,,1310.996,31.81205,3.5,,,,,,0.5,,,,178.806545,-30.2475531,33,21,,17.4137,0.0079,,,17.4756,0.0296,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,16101.19,101.3272,3.5,,,,,,0.5,,,,178.8065299,-30.2475618,33,21,,17.4168,0.0168,,,17.4876,0.0381,,,,,,,,,,,,,,,,0.5386,,,,,,,39.32379,,,,,8224.602,264.5815,3.5,,,,,,0.5,,,,178.806551,-30.247564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,19.24,0.969,1.108,1.423,1.284,-80.96,1.172,1.507,1.286,-62.29,1.019,2.594,2.546,-86.33,1.012,2.417,2.389,73.11,WISEA J115513.55-301451.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
20,87529020,,,,87529020,,,,,,,,,,,,,,0,,,,,178.836676,-30.267906,,,,,,,,,,288.79153,31.059013,,,21,4,5,4,8,1,,1,1,,,,178.8366435,-30.2678955,25,24,,17.7922,0.0455,,,17.8442,0.0577,,,,,,,,,,,,,,,,0.4055,,,,,,1440.199,17.72073,,,,,1376.593,90.62776,3.5,,,,,,0.5,,,,178.8366819,-30.2678949,25,24,,16.8836,0.008,,,17.008,0.044,,,,,,,,,,,,,,,,1.971,,,,,,2991.21,,,,,,2615.616,45.30831,3.5,,,,,,0.5,,,,178.8366756,-30.2678983,25,24,,16.1658,0.0056,,,16.1996,0.0096,,,,,,,,,,,,,,,,0.8844,,,,,,,,,,,,50930.86,87.80258,3.5,,,,,,0.5,,,,178.8366787,-30.2679047,25,24,,15.9158,0.0065,,,15.9628,0.0159,,,,,,,,,,,,,,,,5.433,,,,,,,181.3223,,,,,32062.75,340.8691,3.5,,,,,,0.5,,,,178.836676,-30.267906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,136.3,0.973,1.243,1.619,1.303,-68.69,1.057,1.594,1.508,-61.12,1.063,2.979,2.802,81.39,1.016,2.772,2.73,2.36,WISEA J115520.80-301604.4,IrS,,,,,,,,,,,,,,,,,,,0,1.0
21,87529021,,,,87529021,,,,,,,,,,,,,,0,,,,,178.837498,-30.262974,,,,,,,,,,288.7909,31.063965,,,33,5,5,6,8,1,,1,1,,,,178.8375078,-30.262992,29,20,,14.7581,0.0051,,,14.7624,0.0072,,,,,,,,,,,,,,,,6.218,,,,,,25352.88,161.0243,,,,,24934.84,197.8459,3.5,,,,,,0.5,,,,178.8374808,-30.2629529,29,20,,14.5019,0.0051,,,14.5178,0.0093,,,,,,,,,,,,,,,,7.976,,,,,,25981.26,,,,,,25543.87,184.2339,3.5,,,,,,0.5,,,,178.8375139,-30.2629707,29,20,,14.3549,0.0049,,,14.3658,0.0051,,,,,,,,,,,,,,,,33.02,,,,,,,,,,,,270388.0,1056.74,3.5,,,,,,0.5,,,,178.8375067,-30.2629611,29,20,,14.3352,0.0041,,,14.3435,0.0094,,,,,,,,,,,,,,,,36.83,,,,,,,795.9295,,,,,134542.1,505.7964,3.5,,,,,,0.5,,,,178.837498,-30.262974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,127.28,0.988,1.07,2.216,2.07,88.44,1.08,2.22,2.055,-64.65,1.072,3.42,3.19,81.67,1.035,3.424,3.308,51.09,WISEA J115520.99-301546.7,UvS,,,,,,,,,,,,,,,,,,,0,1.0
24,87529034,,,,87529034,,,,,,,,,,,,,,0,,,,,178.778457,-30.231932,,,,,,,,,,288.72412,31.081135,,,18,2,4,7,5,1,,1,1,,,,178.778458,-30.2319401,48,32,,17.9344,0.0161,,,18.0247,0.1148,,,,,,,,,,,,,,,,0.4437,,,,,,1119.693,17.77737,,,,,1050.83,81.82578,3.5,,,,,,0.5,,,,178.7784908,-30.2319283,48,32,,17.6902,0.0123,,,17.6017,0.1128,,,,,,,,,,,,,,,,0.2349,,,,,,1387.036,,,,,,1221.875,13.45367,3.82,,,,,,0.5,,,,178.7784035,-30.2320367,48,32,,17.4828,0.0216,,,17.3665,0.0529,,,,,,,,,,,,,,,,54.19,,,,,,,,,,,,14248.82,439.6651,3.96,,,,,,0.5,,,,178.7783778,-30.2319811,48,32,,17.4843,0.024,,,17.1373,0.0719,,,,,,,,,,,,,,,,8.093,,,,,,,150.9726,,,,,7792.663,297.0875,3.96,,,,,,0.5,,,,178.778457,-30.231932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,88.3,0.963,1.255,1.499,1.194,-47.34,1.055,1.434,1.36,-38.93,1.18,3.368,2.854,20.32,1.101,2.609,2.368,29.9,WISEA J115506.77-301355.1,IrS,,,,,,,,,,,,,,,,,,,0,1.0
28,87529038,,,,87529038,,,,,,,,,,,,,,0,,,,,178.820882,-30.235846,,,,,,,,,,288.7667,31.086601,,,22,5,3,7,7,1,,1,1,,,,178.8208806,-30.2358498,27,30,,16.9048,0.0074,,,16.8622,0.0496,,,,,,,,,,,,,,,,0.3781,,,,,,3499.792,20.62095,,,,,3373.409,112.4148,3.5,,,,,,0.5,,,,178.8208643,-30.235807,27,30,,16.4744,0.0077,,,16.5388,0.0335,,,,,,,,,,,,,,,,1.928,,,,,,4282.908,,,,,,3975.562,49.22848,3.5,,,,,,0.5,,,,178.8208948,-30.2358514,27,30,,16.2066,0.0067,,,16.2389,0.0121,,,,,,,,,,,,,,,,1.809,,,,,,,,,,,,49505.72,117.6094,3.5,,,,,,0.5,,,,178.8208793,-30.2358423,27,30,,16.1019,0.013,,,16.1448,0.0158,,,,,,,,,,,,,,,,0.1825,,,,,,,30.36159,,,,,25726.94,333.6788,3.5,,,,,,0.5,,,,178.820882,-30.235846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,58.14,0.982,1.132,1.828,1.614,-62.76,1.131,1.809,1.6,-59.5,1.068,3.144,2.943,-80.78,1.038,2.881,2.775,75.74,WISEA J115517.02-301409.0,IrS,,,,,,,,,,,,,,,,,,,0,1.0
30,87529040,,,,87529040,,,,,,,,,,,,,,0,,,,,178.820094,-30.224491,,,,,,,,,,288.76257,31.097418,,,16,0,2,7,7,1,,1,1,,,,,,47,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,178.8200801,-30.2244932,47,51,,18.3917,0.0725,,,17.8852,0.1051,,,,,,,,,,,,,,,,10.89,,,,,,695.3295,,,,,,1076.343,82.01845,7.23,,,,,,0.5,,,,178.8201348,-30.2245049,47,51,,17.7405,0.0314,,,17.1001,0.0376,,,,,,,,,,,,,,,,239.9,,,,,,,,,,,,12383.13,891.4406,4.31,,,,,,0.5,,,,178.8201216,-30.2244834,47,51,,17.3582,0.043,,,16.8398,0.0583,,,,,,,,,,,,,,,,127.7,,,,,,,618.4359,,,,,8013.229,513.3808,4.31,,,,,,0.5,,,,178.820094,-30.224491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,82.58,0.683,,,,,1.11,1.094,0.985,70.22,1.088,3.613,3.321,-86.11,1.011,3.064,3.03,-21.13,WISEA J115516.81-301328.2,IrS,,,,,,,,,,,,,,,,,,,1,1.0
