Name,RA,DEC,Redshift,Discovery Date (UT)
SN 2016gdt,21:52:22.554 +03:25:18.70,0.028907,2016-09-08 23:31:12.000
SN 2018gro,22:11:49.200 +38:42:01.50,0.0217,2018-09-20 06:17:28.000
SN 2019exc,19:47:57.584 +03:56:42.40,0.06,2019-05-09 13:53:45.000
SN 2019luv,21:55:15.008 -12:08:56.37,0.06,2019-07-26 09:08:09.000
SN 2020yzn,19:33:22.330 -58:07:22.26,0.016,2020-11-06 01:55:12.000
