# Soruce: CSP/ATLAS/ZTF; Date: 2005 to 2025; Object Type: 1991bg-like SNe Ia; Number SNe: 95,,,,,
Name,RA,DEC,Redshift,Discovery Date (UT),Source
SN 2020acbx,08:46:21.190,-12:39:21.58,0.051,2020-12-05 10:33:36.864,ZTF
SN 2020ecn,11:59:27.331,-20:26:41.25,0.021,2020-03-05 10:11:26.002,ZTF
SN 2020mfd,17:16:07.435,+40:47:11.57,0.048,2020-06-11 06:44:08.160,ZTF
SN 2020nta,16:07:23.350,+13:53:33.75,0.033953,2020-06-29 05:08:43.996,ZTF
SN 2020vae,18:02:58.722,+52:06:54.27,0.04846,2020-10-03 02:53:16.000,ZTF
SN 2020yo,03:06:06.513,+13:54:48.57,0.09,2020-01-15 06:28:48.000,ZTF
SN 2021afur,10:22:12.998,+17:51:40.41,0.028,2021-12-02 11:09:29.952,ZTF
SN 2021cad,10:55:45.464,+24:01:39.56,0.041546,2021-02-06 10:41:37.248,ZTF
SN 2021qqr,17:09:29.716,-22:26:51.67,0.0309549998,2021-06-19 07:36:45.216,ZTF
SN 2021twa,02:11:02.907,+36:28:54.21,0.012128969342354,2021-07-20 09:55:45.408,ZTF
SN 2021uef,19:49:36.431,+42:14:23.47,0.0304,2021-07-27 09:23:55.000,ZTF
SN 2021uve,01:56:32.570,+03:51:37.22,0.055,2021-08-01 10:43:40.800,ZTF
SN 2021zqs,03:03:31.204,+27:40:55.95,0.036465,2021-09-27 09:20:09.600,ZTF
SN 2022aaok,09:15:00.834,+22:35:22.40,0.027214,2022-11-17 09:50:24.000,ZTF
SN 2022dsu,14:05:30.767,+15:43:15.52,0.07,2022-02-27 08:54:00.999,ZTF
SN 2022jou,17:49:34.463,+16:40:40.87,0.035898,2022-05-03 09:38:49.344,ZTF
SN 2022kbc,12:04:46.911,+09:26:17.72,0.0687,2022-05-18 05:02:56.996,ZTF
SN 2022oux,22:16:46.590,+86:55:56.96,0.019,2022-07-12 10:10:36.002,ZTF
SN 2022rjs,16:16:30.100,+21:15:05.29,0.037,2022-08-17 05:47:37.997,ZTF
SN 2022uxl,03:28:36.301,+05:47:21.65,0.031975999474525,2022-09-19 09:14:19.680,ZTF
SN 2022xhh,04:16:41.618,-12:11:00.88,0.0315,2022-10-09 08:42:46.656,ZTF
SN 2022xnq,00:04:38.967,-08:05:59.75,0.0286,2022-10-14 08:11:05.001,ZTF
SN 2022zsp,05:05:37.679,+32:31:08.66,0.021652,2022-11-04 09:43:58.656,ZTF
SN 2022zvu,09:53:51.059,-07:47:33.66,0.019323,2022-11-10 10:35:06.996,ZTF
SN 2023bhm,04:42:54.998,+00:37:06.32,0.015419,2023-02-02 03:18:43.200,ZTF
SN 2023cvq,08:38:10.584,+25:06:05.58,0.0286,2023-03-10 05:16:42.004,ZTF
SN 2023sps,23:44:15.210,-23:31:44.90,0.049,2023-09-15 09:41:53.998,ZTF
SN 2023vjh,04:02:39.175,+25:14:00.54,0.019,2023-10-17 08:13:05.002,ZTF
SN 2024abwg,06:43:21.469,+63:38:57.84,0.05,2024-11-23 06:47:36.997,ZTF
SN 2024iyx,19:13:12.663,+45:19:21.48,0.03376,2024-05-16 10:10:43.000,ZTF
SN 2024jgw,17:15:02.869,+46:02:41.60,0.028,2024-05-25 07:24:19.999,ZTF
SN 2024nev,22:13:50.674,+03:59:02.51,0.0585,2024-06-27 11:35:51.002,ZTF
SN 2024rkh,02:38:41.968,-07:17:03.58,0.07,2024-07-30 10:36:13.999,ZTF
SN 2024uai,07:32:18.780,+85:42:28.45,0.006,2024-08-31 10:56:58.004,ZTF
SN 2024vcj,02:45:35.250,-17:41:22.99,0.026,2024-09-09 10:37:56.064,ZTF
SN 2024wdg,04:45:16.797,+08:33:15.49,0.066,2024-09-21 11:27:26.997,ZTF
SN 2024xdl,20:30:21.103,-01:00:22.90,0.0213,2024-09-30 03:02:40.997,ZTF
SN 2024zaj,02:45:52.724,-17:02:31.78,0.02439,2024-10-21 07:25:51.003,ZTF
SN 2025nn,07:17:39.340,+43:49:03.12,0.05,2025-01-11 08:10:27.001,ZTF
