# Combination of '2020abmg' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 123.85227, -6.95771, 59108.632438, 19.727, 0.427, 47.0, 20.0, ATLAS
c, 23.9, 123.85227, -6.95771, 59110.608707, 20.859, 0.826, 16.0, 14.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59124.622939, 20.571, 0.96, 22.0, 21.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59124.638318, 20.157, 0.861, 31.0, 27.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59124.643466, 19.137, 0.586, 80.0, 47.0, ATLAS
c, 23.9, 123.85227, -6.95771, 59138.638416, 19.748, 0.671, 46.0, 31.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59144.555034, 20.43, 0.52, 24.0, 13.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59147.614266, 20.579, 0.457, 21.0, 10.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59147.633612, 21.283, 0.858, 11.0, 10.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59148.553588, 18.291, 0.772, 175.0, 135.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59148.561458, 17.606, 0.531, 329.0, 175.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59148.577586, 18.708, 0.479, 119.0, 57.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59154.588567, 20.302, 0.819, 28.0, 22.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59154.599135, 20.008, 0.675, 36.0, 24.0, ATLAS
c, 23.9, 123.85227, -6.95771, 59178.561307, 20.295, 0.323, 28.0, 9.0, ATLAS
c, 23.9, 123.85227, -6.95771, 59178.565878, 20.006, 0.289, 36.0, 10.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59180.491503, 19.705, 0.36, 48.0, 17.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59180.494726, 19.483, 0.243, 58.0, 14.0, ATLAS
o, 23.9, 123.85227, -6.95771, 59182.489005, 19.51, 0.38, 57.0, 22.0, ATLAS
