# Combination of '2019cp' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 163.70851, -7.381, 58456.621491, 20.404, 0.694, 25.0, 17.0, ATLAS
c, 23.9, 163.70851, -7.381, 58458.635801, 21.245, 0.824, 12.0, 10.0, ATLAS
o, 23.9, 163.70851, -7.381, 58460.60032, 20.387, 0.485, 25.0, 12.0, ATLAS
c, 23.9, 163.70851, -7.381, 58462.634467, 21.229, 0.731, 12.0, 9.0, ATLAS
c, 23.9, 163.70851, -7.381, 58462.651741, 21.061, 0.714, 14.0, 10.0, ATLAS
o, 23.9, 163.70851, -7.381, 58464.596178, 19.224, 0.276, 74.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58468.573597, 19.631, 0.373, 51.0, 19.0, ATLAS
o, 23.9, 163.70851, -7.381, 58474.613324, 20.084, 0.581, 34.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58475.627999, 19.755, 0.561, 46.0, 26.0, ATLAS
o, 23.9, 163.70851, -7.381, 58476.589279, 19.985, 0.992, 37.0, 36.0, ATLAS
o, 23.9, 163.70851, -7.381, 58480.569709, 19.69, 0.433, 48.0, 21.0, ATLAS
o, 23.9, 163.70851, -7.381, 58480.587558, 18.948, 0.366, 96.0, 35.0, ATLAS
o, 23.9, 163.70851, -7.381, 58480.596069, 20.007, 0.708, 36.0, 26.0, ATLAS
o, 23.9, 163.70851, -7.381, 58482.565451, 16.142, 0.422, 1268.0, 535.0, ATLAS
c, 23.9, 163.70851, -7.381, 58486.579597, 19.78, 0.189, 44.0, 8.0, ATLAS
c, 23.9, 163.70851, -7.381, 58486.591362, 19.915, 0.244, 39.0, 10.0, ATLAS
o, 23.9, 163.70851, -7.381, 58488.580484, 19.319, 0.194, 68.0, 13.0, ATLAS
o, 23.9, 163.70851, -7.381, 58500.515438, 18.99, 0.215, 92.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58500.54036, 19.285, 0.283, 70.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58503.539211, 19.325, 0.531, 68.0, 36.0, ATLAS
o, 23.9, 163.70851, -7.381, 58503.55644, 19.154, 0.503, 79.0, 40.0, ATLAS
o, 23.9, 163.70851, -7.381, 58503.559663, 19.069, 0.433, 86.0, 37.0, ATLAS
o, 23.9, 163.70851, -7.381, 58503.56952, 19.23, 0.392, 74.0, 29.0, ATLAS
o, 23.9, 163.70851, -7.381, 58506.497382, 19.544, 0.366, 55.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58506.506665, 19.224, 0.338, 74.0, 25.0, ATLAS
o, 23.9, 163.70851, -7.381, 58506.515536, 19.642, 0.471, 50.0, 24.0, ATLAS
o, 23.9, 163.70851, -7.381, 58508.525959, 19.065, 0.274, 86.0, 24.0, ATLAS
o, 23.9, 163.70851, -7.381, 58508.527339, 20.12, 0.708, 32.0, 23.0, ATLAS
o, 23.9, 163.70851, -7.381, 58508.536898, 19.897, 0.542, 40.0, 22.0, ATLAS
o, 23.9, 163.70851, -7.381, 58510.519275, 20.008, 0.363, 36.0, 13.0, ATLAS
o, 23.9, 163.70851, -7.381, 58510.521104, 20.379, 0.516, 26.0, 13.0, ATLAS
o, 23.9, 163.70851, -7.381, 58510.52946, 19.632, 0.295, 51.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58510.537026, 19.495, 0.219, 58.0, 13.0, ATLAS
o, 23.9, 163.70851, -7.381, 58512.503781, 19.484, 0.253, 58.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58512.512945, 19.948, 0.355, 38.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58512.521802, 19.221, 0.208, 74.0, 16.0, ATLAS
o, 23.9, 163.70851, -7.381, 58512.530412, 19.289, 0.212, 70.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.510319, 19.775, 0.392, 45.0, 18.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.516069, 20.066, 0.541, 34.0, 18.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.519077, 20.297, 0.689, 28.0, 19.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.525072, 20.169, 0.46, 31.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.527759, 20.066, 0.603, 34.0, 21.0, ATLAS
o, 23.9, 163.70851, -7.381, 58516.537212, 19.776, 0.418, 45.0, 19.0, ATLAS
c, 23.9, 163.70851, -7.381, 58518.52392, 20.623, 0.4, 20.0, 8.0, ATLAS
c, 23.9, 163.70851, -7.381, 58518.532801, 20.549, 0.362, 22.0, 8.0, ATLAS
c, 23.9, 163.70851, -7.381, 58518.549804, 20.518, 0.352, 22.0, 8.0, ATLAS
o, 23.9, 163.70851, -7.381, 58520.510252, 19.866, 0.337, 41.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58520.519009, 19.952, 0.386, 38.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58520.527704, 18.844, 0.617, 105.0, 65.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.483852, 19.563, 0.538, 54.0, 29.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.493656, 20.172, 0.54, 31.0, 17.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.501258, 19.881, 0.506, 40.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.502735, 20.2, 0.467, 30.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.510449, 20.235, 0.695, 29.0, 20.0, ATLAS
o, 23.9, 163.70851, -7.381, 58528.511388, 20.184, 0.491, 31.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58532.461847, 19.526, 0.874, 56.0, 49.0, ATLAS
o, 23.9, 163.70851, -7.381, 58532.472136, 18.775, 0.486, 112.0, 54.0, ATLAS
o, 23.9, 163.70851, -7.381, 58532.474824, 19.277, 0.644, 71.0, 46.0, ATLAS
o, 23.9, 163.70851, -7.381, 58532.497879, 18.713, 0.54, 119.0, 64.0, ATLAS
o, 23.9, 163.70851, -7.381, 58536.49338, 19.989, 0.978, 37.0, 36.0, ATLAS
o, 23.9, 163.70851, -7.381, 58540.473279, 19.95, 0.358, 38.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58540.489451, 20.341, 0.52, 26.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58544.461229, 20.323, 0.547, 27.0, 15.0, ATLAS
o, 23.9, 163.70851, -7.381, 58544.478597, 20.241, 0.445, 29.0, 13.0, ATLAS
o, 23.9, 163.70851, -7.381, 58552.441917, 19.984, 0.605, 37.0, 22.0, ATLAS
o, 23.9, 163.70851, -7.381, 58552.450995, 17.682, 0.51, 307.0, 156.0, ATLAS
o, 23.9, 163.70851, -7.381, 58552.454962, 18.171, 0.43, 196.0, 84.0, ATLAS
o, 23.9, 163.70851, -7.381, 58556.442855, 21.041, 0.887, 14.0, 12.0, ATLAS
o, 23.9, 163.70851, -7.381, 58560.411966, 19.363, 0.532, 65.0, 35.0, ATLAS
o, 23.9, 163.70851, -7.381, 58560.415996, 20.229, 0.944, 29.0, 28.0, ATLAS
o, 23.9, 163.70851, -7.381, 58560.432688, 20.224, 0.804, 30.0, 24.0, ATLAS
o, 23.9, 163.70851, -7.381, 58560.440029, 19.64, 0.545, 51.0, 28.0, ATLAS
o, 23.9, 163.70851, -7.381, 58565.472524, 20.292, 0.489, 28.0, 14.0, ATLAS
o, 23.9, 163.70851, -7.381, 58565.48781, 20.255, 0.641, 29.0, 18.0, ATLAS
o, 23.9, 163.70851, -7.381, 58566.427905, 17.293, 0.738, 439.0, 324.0, ATLAS
o, 23.9, 163.70851, -7.381, 58566.448628, 16.296, 0.265, 1101.0, 292.0, ATLAS
