# Combination of '2020acbx' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 131.58829, -12.65599, 59210.487826, 20.017, 0.412, 36.0, 15.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59210.491026, 19.902, 0.382, 40.0, 15.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59210.49377, 19.54, 0.303, 56.0, 17.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59210.500649, 19.543, 0.286, 55.0, 16.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59216.57426, 20.541, 0.953, 22.0, 21.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59216.606122, 20.253, 0.886, 29.0, 26.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59217.480549, 19.874, 0.446, 41.0, 18.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59217.482899, 20.772, 0.844, 18.0, 15.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59217.485671, 20.211, 0.466, 30.0, 14.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59217.49116, 20.126, 0.442, 32.0, 14.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59219.480713, 20.762, 0.75, 18.0, 14.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59219.482568, 20.461, 0.37, 24.0, 9.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59219.485332, 20.517, 0.542, 22.0, 12.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59219.506969, 20.03, 0.326, 35.0, 12.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59220.51399, 20.24, 0.392, 29.0, 11.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59220.535184, 20.497, 0.461, 23.0, 11.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59220.540332, 20.364, 0.354, 26.0, 9.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59223.46607, 20.994, 0.521, 14.0, 8.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59223.472077, 21.557, 0.704, 9.0, 6.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59224.511174, 21.001, 0.539, 14.0, 8.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59224.52148, 20.447, 0.279, 24.0, 7.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59226.545105, 20.456, 0.342, 24.0, 8.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59228.501234, 21.146, 0.833, 13.0, 10.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59230.44477, 20.998, 0.521, 14.0, 8.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59230.450258, 21.306, 0.598, 11.0, 6.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59232.454284, 21.06, 0.726, 14.0, 10.0, ATLAS
c, 23.9, 131.58829, -12.65599, 59234.484129, 20.275, 0.877, 28.0, 25.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59238.495699, 20.819, 0.878, 17.0, 15.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59238.517884, 16.953, 0.42, 601.0, 252.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59244.458096, 19.984, 0.769, 37.0, 28.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59244.45948, 19.908, 0.506, 40.0, 20.0, ATLAS
o, 23.9, 131.58829, -12.65599, 59244.461328, 19.587, 0.498, 53.0, 26.0, ATLAS
