# Combination of '2023cvq' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 129.5441, 25.10155, 59958.450319, 20.905, 0.94, 16.0, 15.0, ATLAS
o, 23.9, 129.5441, 25.10155, 59969.480041, 20.899, 0.722, 16.0, 12.0, ATLAS
o, 23.9, 129.5441, 25.10155, 59987.916696, 20.136, 0.517, 32.0, 17.0, ATLAS
c, 23.9, 129.5441, 25.10155, 59998.33722, 20.008, 0.341, 36.0, 12.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60001.238428, 20.037, 0.466, 35.0, 16.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60001.367387, 18.88, 0.436, 102.0, 44.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60001.410926, 19.089, 0.208, 84.0, 17.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60001.42631, 19.501, 0.325, 58.0, 19.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60013.142338, 18.568, 0.223, 136.0, 30.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60013.147889, 18.763, 0.276, 113.0, 31.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60014.365155, 18.016, 0.292, 226.0, 66.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60021.085654, 19.162, 0.238, 78.0, 19.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60021.088809, 19.248, 0.265, 73.0, 19.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60021.340187, 19.197, 0.31, 76.0, 24.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.06426, 19.192, 0.286, 76.0, 22.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.06746, 19.148, 0.282, 80.0, 22.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.083034, 20.272, 0.771, 28.0, 22.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.312648, 20.395, 0.659, 25.0, 17.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.322177, 20.162, 0.51, 31.0, 16.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60029.332201, 19.712, 0.342, 47.0, 16.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60030.311998, 19.88, 0.37, 41.0, 15.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60038.099067, 18.26, 0.864, 180.0, 156.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60041.293029, 19.925, 0.493, 39.0, 19.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60041.296194, 20.001, 0.588, 36.0, 21.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60043.318183, 20.118, 0.623, 33.0, 20.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60044.078958, 20.079, 0.804, 34.0, 27.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60047.344222, 20.849, 0.84, 17.0, 14.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60049.280532, 21.201, 0.877, 12.0, 10.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60049.291216, 20.7, 0.662, 19.0, 13.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60049.301668, 20.16, 0.389, 31.0, 12.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60050.034386, 20.883, 0.966, 16.0, 16.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60050.037594, 20.088, 0.464, 34.0, 16.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60050.05514, 19.952, 0.414, 38.0, 16.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60051.292584, 20.732, 0.68, 18.0, 13.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60051.297909, 20.382, 0.491, 26.0, 13.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60056.024663, 20.56, 0.912, 22.0, 20.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60057.253103, 20.512, 0.744, 23.0, 17.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60059.244717, 20.578, 0.812, 21.0, 17.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60059.248787, 19.475, 0.278, 59.0, 16.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60067.301767, 19.617, 0.61, 52.0, 32.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60071.258946, 20.469, 0.534, 24.0, 13.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60071.275182, 20.511, 0.791, 23.0, 18.0, ATLAS
c, 23.9, 129.5441, 25.10155, 60077.249113, 20.333, 0.625, 27.0, 17.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60079.976564, 20.413, 0.969, 25.0, 24.0, ATLAS
o, 23.9, 129.5441, 25.10155, 60093.27317, 17.477, 0.734, 371.0, 272.0, ATLAS
