# Combination of '2022kbc' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 181.19546, 9.43826, 59620.527108, 20.301, 0.382, 28.0, 10.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59622.535475, 20.694, 0.835, 19.0, 16.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59631.312825, 19.654, 0.535, 50.0, 27.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59632.58885, 20.423, 0.571, 25.0, 14.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59635.279846, 20.619, 0.549, 20.0, 11.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59635.315072, 21.179, 0.764, 12.0, 9.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59636.477335, 20.636, 0.458, 20.0, 9.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59642.497166, 20.998, 0.675, 14.0, 10.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59643.224411, 19.764, 0.496, 45.0, 22.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59643.228466, 20.067, 0.41, 34.0, 14.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59648.406414, 20.776, 0.685, 18.0, 12.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59659.291955, 19.496, 0.448, 58.0, 26.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59663.203224, 20.909, 0.836, 16.0, 13.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59667.220966, 21.565, 0.964, 9.0, 8.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59668.386837, 20.581, 0.466, 21.0, 10.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59668.394607, 21.027, 0.754, 14.0, 11.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59668.397362, 20.271, 0.556, 28.0, 16.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59670.363514, 20.366, 0.457, 26.0, 12.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59670.373543, 20.77, 0.76, 18.0, 14.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59676.40977, 20.761, 0.459, 18.0, 8.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59676.412976, 20.851, 0.457, 17.0, 8.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59676.42672, 20.327, 0.412, 27.0, 11.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59678.344966, 20.792, 0.691, 18.0, 12.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59679.176752, 20.919, 0.851, 16.0, 13.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59679.179455, 20.822, 0.784, 17.0, 13.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.33926, 19.907, 0.675, 40.0, 27.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.342002, 20.052, 0.762, 35.0, 26.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.344743, 20.131, 0.657, 32.0, 21.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.35619, 20.332, 0.712, 27.0, 19.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.381544, 20.192, 0.648, 30.0, 20.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59680.384765, 20.658, 0.825, 20.0, 16.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59681.305501, 19.123, 0.366, 82.0, 30.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59681.307788, 20.055, 0.954, 34.0, 33.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59681.331511, 19.747, 0.718, 46.0, 33.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59687.20906, 20.24, 0.94, 29.0, 27.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59690.413503, 20.767, 0.733, 18.0, 13.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59691.148479, 20.559, 0.612, 22.0, 13.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59691.165411, 20.963, 0.932, 15.0, 14.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59694.404874, 20.276, 0.513, 28.0, 14.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59695.112016, 20.729, 0.623, 18.0, 12.0, ATLAS
o, 23.9, 181.19546, 9.43826, 59695.121114, 20.354, 0.452, 26.0, 12.0, ATLAS
c, 23.9, 181.19546, 9.43826, 59696.380598, 20.912, 0.812, 16.0, 13.0, ATLAS
