# Combination of '2022fjx' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 160.87568, 19.083, 59581.082223, 20.043, 0.804, 35.0, 28.0, ATLAS
o, 23.9, 160.87568, 19.083, 59589.490037, 20.547, 0.575, 22.0, 13.0, ATLAS
o, 23.9, 160.87568, 19.083, 59589.505351, 20.68, 0.591, 19.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59593.50682, 20.735, 0.928, 18.0, 17.0, ATLAS
o, 23.9, 160.87568, 19.083, 59597.428896, 19.261, 0.564, 72.0, 40.0, ATLAS
o, 23.9, 160.87568, 19.083, 59605.597339, 20.899, 0.956, 16.0, 15.0, ATLAS
o, 23.9, 160.87568, 19.083, 59607.461527, 20.749, 0.689, 18.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59607.469518, 20.053, 0.342, 35.0, 12.0, ATLAS
c, 23.9, 160.87568, 19.083, 59609.078248, 20.334, 0.433, 27.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59609.483815, 20.859, 0.633, 16.0, 10.0, ATLAS
o, 23.9, 160.87568, 19.083, 59610.466256, 21.283, 0.78, 11.0, 9.0, ATLAS
o, 23.9, 160.87568, 19.083, 59612.457162, 20.151, 0.367, 32.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59615.435972, 20.648, 0.875, 20.0, 18.0, ATLAS
o, 23.9, 160.87568, 19.083, 59615.444403, 20.465, 0.562, 24.0, 13.0, ATLAS
o, 23.9, 160.87568, 19.083, 59616.457659, 20.634, 0.653, 20.0, 13.0, ATLAS
c, 23.9, 160.87568, 19.083, 59616.984665, 20.772, 0.796, 18.0, 14.0, ATLAS
c, 23.9, 160.87568, 19.083, 59617.446328, 20.886, 0.604, 16.0, 10.0, ATLAS
c, 23.9, 160.87568, 19.083, 59618.540772, 21.557, 0.81, 9.0, 7.0, ATLAS
o, 23.9, 160.87568, 19.083, 59620.388847, 20.715, 0.656, 19.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59620.428987, 21.054, 0.835, 14.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59622.386986, 20.083, 0.482, 34.0, 16.0, ATLAS
o, 23.9, 160.87568, 19.083, 59624.40391, 19.525, 0.595, 56.0, 34.0, ATLAS
o, 23.9, 160.87568, 19.083, 59624.411774, 19.916, 0.914, 39.0, 36.0, ATLAS
o, 23.9, 160.87568, 19.083, 59632.509313, 20.599, 0.699, 21.0, 15.0, ATLAS
o, 23.9, 160.87568, 19.083, 59634.385895, 20.718, 0.745, 19.0, 14.0, ATLAS
o, 23.9, 160.87568, 19.083, 59635.407218, 20.646, 0.591, 20.0, 12.0, ATLAS
o, 23.9, 160.87568, 19.083, 59635.410051, 20.254, 0.437, 29.0, 13.0, ATLAS
c, 23.9, 160.87568, 19.083, 59636.409828, 20.927, 0.609, 16.0, 9.0, ATLAS
c, 23.9, 160.87568, 19.083, 59637.471768, 21.422, 0.986, 10.0, 10.0, ATLAS
o, 23.9, 160.87568, 19.083, 59638.433504, 20.674, 0.619, 20.0, 12.0, ATLAS
c, 23.9, 160.87568, 19.083, 59640.382939, 21.345, 0.907, 10.0, 10.0, ATLAS
o, 23.9, 160.87568, 19.083, 59642.358142, 20.451, 0.583, 24.0, 14.0, ATLAS
o, 23.9, 160.87568, 19.083, 59643.359524, 21.004, 0.694, 14.0, 10.0, ATLAS
o, 23.9, 160.87568, 19.083, 59644.372419, 21.011, 0.795, 14.0, 11.0, ATLAS
c, 23.9, 160.87568, 19.083, 59644.44927, 20.406, 0.949, 25.0, 24.0, ATLAS
c, 23.9, 160.87568, 19.083, 59645.466152, 20.631, 0.886, 20.0, 18.0, ATLAS
c, 23.9, 160.87568, 19.083, 59645.471593, 20.168, 0.483, 31.0, 15.0, ATLAS
c, 23.9, 160.87568, 19.083, 59646.470565, 20.983, 0.94, 15.0, 14.0, ATLAS
o, 23.9, 160.87568, 19.083, 59648.333681, 21.216, 0.944, 12.0, 11.0, ATLAS
o, 23.9, 160.87568, 19.083, 59649.368379, 20.167, 0.394, 31.0, 12.0, ATLAS
