# Combination of '2022skw' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 28.93611, -25.24874, 59731.155836, 20.609, 0.707, 21.0, 15.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59767.167429, 20.657, 0.676, 20.0, 13.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59768.130282, 21.335, 0.943, 11.0, 10.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59776.066267, 19.071, 0.335, 85.0, 29.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59776.092406, 19.611, 0.437, 52.0, 23.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59782.436916, 20.176, 0.493, 31.0, 15.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59789.320425, 21.044, 0.667, 14.0, 9.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59792.048054, 21.525, 0.973, 9.0, 9.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59792.116451, 21.008, 0.545, 14.0, 8.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59796.10822, 21.591, 0.957, 8.0, 8.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59796.113504, 21.096, 0.547, 13.0, 7.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59801.326878, 19.757, 0.561, 45.0, 26.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59802.272489, 18.596, 0.796, 132.0, 105.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59805.249142, 19.053, 0.335, 87.0, 29.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59805.258782, 19.876, 0.774, 41.0, 32.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59808.024445, 20.086, 0.527, 34.0, 18.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59808.042053, 19.488, 0.318, 58.0, 18.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59808.047355, 20.535, 0.727, 22.0, 16.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59809.300787, 19.969, 0.327, 37.0, 12.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59809.304405, 19.737, 0.24, 46.0, 11.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59809.309819, 20.107, 0.394, 33.0, 13.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59809.337274, 20.048, 0.285, 35.0, 10.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59812.061882, 19.582, 0.332, 53.0, 18.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59812.084289, 19.759, 0.256, 45.0, 12.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59812.089841, 19.952, 0.633, 38.0, 24.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59814.345771, 20.064, 0.232, 34.0, 8.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59814.425912, 20.764, 0.85, 18.0, 15.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59815.037715, 19.432, 0.226, 61.0, 14.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59815.039522, 19.909, 0.335, 40.0, 13.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59815.043147, 19.612, 0.264, 52.0, 14.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59815.067638, 19.854, 0.287, 42.0, 12.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59818.2759, 19.909, 0.187, 40.0, 7.0, ATLAS
c, 23.9, 28.93611, -25.24874, 59818.289686, 19.948, 0.226, 38.0, 9.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59819.012848, 19.733, 0.261, 46.0, 12.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59824.001539, 19.816, 0.247, 43.0, 11.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59824.005046, 20.119, 0.332, 32.0, 11.0, ATLAS
o, 23.9, 28.93611, -25.24874, 59824.007991, 20.476, 0.48, 23.0, 11.0, ATLAS
