# Combination of '2024abwg' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 100.83945, 63.6494, 60553.637663, 18.769, 0.679, 113.0, 77.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60583.605583, 21.048, 0.875, 14.0, 12.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60587.590881, 20.309, 0.481, 27.0, 13.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60587.615655, 20.103, 0.416, 33.0, 14.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60587.633686, 19.853, 0.302, 42.0, 13.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60591.601866, 20.263, 0.41, 28.0, 12.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60591.642625, 20.115, 0.55, 33.0, 18.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60595.566333, 20.434, 0.444, 24.0, 11.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60595.590145, 20.413, 0.507, 25.0, 13.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60599.596995, 19.358, 0.421, 66.0, 28.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60613.555758, 21.205, 0.882, 12.0, 11.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60613.562303, 19.745, 0.331, 46.0, 15.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60613.56975, 20.187, 0.562, 31.0, 17.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60629.559376, 20.23, 0.884, 29.0, 26.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60631.466909, 19.761, 0.971, 45.0, 44.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60635.550385, 20.649, 0.815, 20.0, 16.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60637.496227, 20.105, 0.459, 33.0, 15.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60637.498098, 19.356, 0.207, 66.0, 14.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60649.47786, 20.05, 0.415, 35.0, 14.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60653.558842, 19.366, 0.215, 65.0, 14.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60665.492606, 20.106, 0.471, 33.0, 16.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60665.523529, 20.113, 0.391, 33.0, 13.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60673.501605, 19.892, 0.288, 40.0, 12.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60687.428853, 18.855, 0.784, 104.0, 82.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60693.458117, 20.319, 0.587, 27.0, 16.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60693.498301, 20.021, 0.504, 36.0, 18.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60697.468347, 20.739, 0.667, 18.0, 12.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60699.408297, 20.174, 0.371, 31.0, 12.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60699.424793, 19.817, 0.291, 43.0, 12.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60703.562583, 20.384, 0.526, 26.0, 13.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60703.56634, 20.54, 0.658, 22.0, 14.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60703.572312, 20.37, 0.556, 26.0, 14.0, ATLAS
c, 23.9, 100.83945, 63.6494, 60703.582461, 19.966, 0.385, 38.0, 14.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60709.389748, 19.752, 0.299, 46.0, 14.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60710.493131, 20.408, 0.622, 25.0, 16.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60715.379709, 18.74, 0.488, 116.0, 56.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60717.400542, 19.068, 0.344, 86.0, 30.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60721.447227, 20.049, 0.551, 35.0, 19.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60721.459664, 18.977, 0.304, 93.0, 28.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60721.4718, 19.912, 0.572, 39.0, 22.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60728.496569, 19.568, 0.289, 54.0, 16.0, ATLAS
o, 23.9, 100.83945, 63.6494, 60729.366623, 20.874, 0.752, 16.0, 12.0, ATLAS
