# Object Type: Normal SNe Ia; Date: 2004 to 2025; Number SNe: 99; CSP: 99 | ATLAS: 0 | ZTF: 0 | ATLAS+ZTF: 0
Name,RA,DEC,Redshift,Discovery Date (UT),Data Source(s)
SN 2009ds,11:49:04.11,-09:43:44.9,0.0193,2009-04-28 00:00:00.000,CSP
SN 2008ar,12:24:37.92,+10:50:17.4,0.0261,2008-02-27 00:00:00.000,CSP
SN 2007so,02:47:43.13,+13:15:14.8,0.0297,2007-12-13 00:00:00.000,CSP
SN 2006ob,01:51:48.11,+00:15:48.3,0.0592,2006-11-13 00:00:00.000,CSP
SN 2006br,13:30:01.80,+13:24:56.8,0.0246,2006-04-25 00:00:00.000,CSP
SN 2005ki,10:40:28.22,+09:12:08.4,0.0192,2005-11-18 00:00:00.000,CSP
SN 2005ir,01:16:43.76,+00:47:40.4,0.0763,2005-10-28 00:00:00.000,CSP
SN 2006os,02:55:01.10,+16:00:34.8,0.0328,2006-11-21 00:00:00.000,CSP
SN 2006ax,11:24:03.46,-12:17:29.2,0.0167,2006-03-20 00:00:00.000,CSP
SN 2005iq,23:58:32.50,-18:42:33.0,0.0340,2005-11-05 00:00:00.000,CSP
SN 2005hc,01:56:47.94,-00:12:49.4,0.0459,2005-10-12 00:00:00.000,CSP
SN 2008bz,12:38:57.74,+11:07:46.2,0.0603,2008-04-22 00:00:00.000,CSP
SN 2008fu,03:02:28.50,-24:27:21.5,0.0520,2008-09-25 00:00:00.000,CSP
SN 2006ev,21:30:59.26,+13:59:21.2,0.0287,2006-09-12 00:00:00.000,CSP
SN 2007nq,00:57:33.57,-01:23:19.0,0.0450,2007-10-21 00:00:00.000,CSP
SN 2007ca,13:31:05.81,-15:06:06.6,0.0141,2007-04-25 00:00:00.000,CSP
SN 2008R,03:03:53.70,-11:59:39.4,0.0135,2008-01-27 00:00:00.000,CSP
SN 2005bg,12:17:17.18,+16:22:17.6,0.0231,2005-03-28 00:00:00.000,CSP
SN 2007bd,08:31:33.28,-01:11:58.0,0.0309,2007-04-04 00:00:00.000,CSP
SN 2009ag,07:11:40.81,-26:41:06.3,0.0086,2009-02-18 00:00:00.000,CSP
SN 2006X,12:22:53.99,+15:48:33.1,0.0052,2006-02-04 00:00:00.000,CSP
SN 2006dd,03:22:41.62,-37:12:13.0,0.0059,2006-06-19 00:00:00.000,CSP
SN 2008gg,01:25:23.04,-18:10:20.8,0.0320,2008-10-09 00:00:00.000,CSP
SN 2008gp,03:23:00.73,+01:21:42.8,0.0334,2008-10-27 00:00:00.000,CSP
SN 2008hj,00:04:01.91,-11:10:07.5,0.0379,2008-11-20 00:00:00.000,CSP
SN 2006gj,03:17:35.80,-01:41:30.2,0.0284,2006-09-18 00:00:00.000,CSP
SN 2005A,02:30:43.25,-02:56:19.8,0.0191,2005-01-05 00:00:00.000,CSP
SN 2009cz,09:15:00.02,+29:44:07.1,0.0211,2009-04-06 00:00:00.000,CSP
SN 2005be,14:59:32.72,+16:40:11.6,0.0350,2005-04-05 00:00:00.000,CSP
SN 2009ad,05:03:33.38,+06:39:35.7,0.0284,2009-02-13 00:00:00.000,CSP
SN 2006et,00:42:45.82,-23:33:30.4,0.0226,2006-09-03 00:00:00.000,CSP
SN 2006is,05:17:34.37,-23:46:54.2,0.0310,2006-09-18 00:00:00.000,CSP
SN 2009P,11:20:38.78,-03:32:46.3,0.0251,2009-01-28 00:00:00.000,CSP
SN 2007bc,11:19:14.57,+20:48:32.5,0.0208,2007-04-04 00:00:00.000,CSP
SN 2008C,06:57:11.53,+20:26:13.7,0.0166,2008-01-03 00:00:00.000,CSP
SN 2007cg,13:25:33.58,-24:39:08.1,0.0332,2007-05-11 00:00:00.000,CSP
SN 2005am,SN 2005am,-16:18:16.0,0.0079,2005-02-22 00:00:00.000,CSP
SN 2005al,13:50:00.33,-30:34:34.2,0.0124,2005-02-24 00:00:00.000,CSP
SN 2009aa,11:23:42.28,-22:16:14.5,0.0273,2009-02-03 00:00:00.000,CSP
SN 2006ef,02:04:19.51,-08:43:42.2,0.0179,2006-08-18 00:00:00.000,CSP
SN 2006eq,21:28:37.13,+01:13:41.5,0.0495,2006-08-26 00:00:00.000,CSP
SN 2008fr,01:11:49.14,+14:38:27.0,0.0397,2008-09-14 00:00:00.000,CSP
