# Created by M.D. Woods -- 2025-05-14 13:37:31.333592 -- NUM TARGETS: 72
# WARNING: For files with SNPY & SALT, the 'stretch' and 'color' are NOT identical.
objname, origin, subtype, algo, ra, dec, z, z_cmb, MJDs, MJDe, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, amplitude, amplitude_err, peak_mag, peak_mag_err
2007ba, CSP, 91bg, SNPY, 229.177625, 7.396611000000001, 0.0385, 0.038133865739342986, 54190.83, 54255.61, 35.60964123134758, 0.021535567768822494, 11.141102329068884, 0.0008626674562506656, 54198.11497321057, 0.06434777886217781, 0.5411665119962604, 0.009211177984763445, 0.16396443122699983, 0.01624158287736411, nan, nan, 17.748368421052636, 0.016473684210526317
2007al, CSP, 91bg, SNPY, 149.82699999999997, -19.473833000000003, 0.0122, 0.013181781463286774, 54170.77, 54246.58, 34.44639926318925, 0.0779164437148106, 9.351354001759011, 0.0018110245506318002, 54158.986955631175, 1.1028629098554361, 0.5872424199977619, 0.05834267974900778, -0.012620665504503237, 0.07986653683046925, nan, nan, nan, nan
2009F, CSP, 91bg, SNPY, 74.848167, -11.130583, 0.013000000000000001, 0.013048498077434103, 54837.75, 54884.63, 34.14858919114903, 0.03565437217123327, 10.507359299115938, 0.000511704806211565, 54842.702936017806, 0.10589411646552524, 0.42381091481439226, 0.012275985711511546, 0.22654747342883186, 0.021905646262789746, nan, nan, 17.041485714285713, 0.008142857142857144
2007N, CSP, 91bg, SNPY, 192.25520799999998, -9.452833, 0.012899999999999997, 0.015195347623445987, 54123.82, 54213.67, 34.3128247565237, 0.028473272467439283, 9.587336481996891, 0.0008157243912581323, 54123.707493280875, 0.16578481581664328, 0.435719646088468, 0.013947971334747147, 0.5779018887531056, 0.028916115421252286, nan, nan, 17.497399999999995, 0.01226666666666667
2006bd, CSP, 91bg, SNPY, 174.61858300000006, 20.526221999999997, 0.025700000000000008, 0.025660398620783453, 53823.7, 53872.57, 36.71502913068593, 0.2334365627469511, 12.327227584343689, 0.0010375416044816365, 53836.7343922573, 0.44243309690619353, 0.17641608520371613, 0.0360871787288583, -0.43199468368851496, 0.22613605057593514, nan, nan, 19.061692307692308, 0.03515384615384616
2008bi, CSP, 91bg, SNPY, 128.972458, 0.7064170000000002, 0.013399999999999997, 0.014116608699185886, 54551.52, 54628.47, 34.19006473499714, 0.050262910255567395, 10.75710146506393, 0.0018382741615164645, 54547.97105294061, 0.31401184707077495, 0.270504364486726, 0.019388928085386725, 0.07425685834554939, 0.05070880568225222, nan, nan, 17.211, 0.013600000000000001
2008bd, CSP, 91bg, SNPY, 154.59716700000004, -13.103111, 0.030099999999999995, 0.031300703090299295, 54541.7, 54592.62, 35.91771334018329, 0.03462900988340393, 11.066906876654066, 0.0008724495479113708, 54526.07278292209, 0.7790033368101698, 0.6184691920898545, 0.039331151991573714, 0.019907712525009738, 0.04216089003753453, nan, nan, nan, nan
2005ke, CSP, 91bg, SNPY, 53.76812499999999, -24.944110999999992, 0.004900000000000001, 0.003927211531528298, 53689.69, 53819.51, 31.921366175349533, 0.021041336404075763, 9.964494815008727, 0.0001733967672340931, 53699.44711741741, 0.05987771189346569, 0.46918969472684774, 0.007945488055271364, 0.32950108320698546, 0.015602986519584035, nan, nan, 14.629428571428573, 0.008357142857142858
2008bt, CSP, 91bg, SNPY, 162.57033299999998, -12.108889, 0.015400000000000002, 0.016446211765812194, 54571.61, 54651.47, 34.18119129724789, 0.018527276786330836, 10.724456328263154, 0.0005206097319448586, 54572.730898297676, 0.07993340075724475, 0.4880221612022577, 0.0089882568284852, 0.24381036029230735, 0.014823473032495217, nan, nan, 16.595466666666667, 0.008
2005bl, CSP, 91bg, SNPY, 181.05108300000003, 20.406889000000003, 0.024100000000000003, 0.02475539637032309, 53476.61, 53512.57, 35.376558795101616, 0.05169844652620554, 8.920765377315602, 0.01764662955965954, 53483.061566269665, 0.11832479044044455, 0.39736455927405684, 0.015099396981223964, 0.2985556023790954, 0.034430353612992536, nan, nan, 18.29534482758621, 0.02248275862068966
2006gt, CSP, 91bg, SNPY, 14.072082999999997, -1.6294440000000001, 0.04479999999999999, 0.042419119009330715, 54001.67, 54076.62, 36.47057192165508, 0.01623776563757106, 10.111136946318842, 0.0037506224022017622, 54004.00019409425, 0.07989098928006023, 0.5649520092456233, 0.010493735679336482, 0.04694118915854664, 0.014899599520920305, nan, nan, 18.3119, 0.012400000000000003
2022xhh, ZTF, 91bg, SNPY, 64.1733759834313, -12.18359033747551, 0.0315, 0.03103043269419672, 59861.36304400023, 59909.25232640002, 35.62378492207851, 0.0812834786411299, 10.79645631191364, 0.0017011828138871884, 59867.80357804027, 0.29939697525533965, 0.4529791814772828, 0.02999300395115358, 0.2745804692340511, 0.05549100522887113, nan, nan, 18.2957166609346, 0.05411434689992795
2022rjs, ZTF, 91bg, SNPY, 244.12544381213968, 21.251482800054532, 0.03699999999999999, 0.036946776637251114, 58263.336620400194, 60501.26813660003, 35.85181213550348, 0.04440430302301941, 10.48999877821179, 0.0018017453246977574, 59816.03825466481, 0.19181552838206223, 0.5655463503184154, 0.022763511558232565, 0.3392586164652803, 0.035271007262609504, nan, nan, 18.2798846255179, 0.02982545555474062
2021twa, ZTF, 91bg, SNPY, 32.76211249999999, 36.481725000000004, 0.012129, 0.013224184687504121, 58315.47076389985, 60473.46921300003, 36.69500009413711, 0.057687717096553306, 9.602107064206646, 0.0012216131463648687, 59910.57178799663, 0.17690173049212285, 0.7147072534458804, 0.025149386059905104, 0.0075786727813049485, 0.030095548688739964, nan, nan, 18.11712618336572, 0.032159782576876
2021qvv, ZTF, 91bg, SNPY, 187.0121666666667, 9.802850000000001, 0.0018249999999999998, 0.005560541267814043, 59319.27546299994, 59403.18706020014, 31.972829877148516, 0.27563897893092526, 10.14962905989427, 6.748333194783953e-05, 59397.23817172498, 1.3035531873810846, 1.1891283881665295, 0.05251809513158588, 0.7837256523237645, 0.14768929202766073, nan, nan, 14.240407195812338, 0.0029702155972047032
2022zvu, ATLAS-ZTF, 91bg, SNPY, 148.46274768518518, -7.792681851851853, 0.019323, 0.02048317006263684, 58440.477303199936, 60290.44137729984, 34.917969784793414, 0.042364274347647, 10.542607440652626, 0.0012099832400037588, 59896.13942386288, 0.25696426666274463, 0.5808621681040503, 0.023108982110114796, 0.2310794502621511, 0.049213374611538144, nan, nan, 17.116953722275206, 0.06010173789622888
2022xnq, ATLAS-ZTF, 91bg, SNPY, 1.1623602319587627, -8.099930051546393, 0.02860000000000001, 0.02650338788998355, 59770.561701, 59951.059356, 36.137930773661104, 0.139950050115662, 11.059889467732273, 0.0005005721852298015, 59864.689925342456, 0.31042463975496326, 0.20607220980196306, 0.007569215649100812, -0.26583694958509885, 0.12294595894737492, nan, nan, 19.206329349216002, 0.3134851383405054
2023vjh, ATLAS-ZTF, 91bg, SNPY, 60.66323112316767, 25.233480560141572, 0.018999999999999993, 0.018374404016997855, 59178.414745400194, 60333.351379, 34.373296864290005, 0.05762425633122758, 10.650404500305129, 0.002056533560023752, 60244.702515460245, 0.142765430587606, 0.365808183619679, 0.012036948134464646, 0.43529619362148747, 0.030560441146710488, nan, nan, 18.15518964237689, 0.0815673958604974
2018eyi, ATLAS-ZTF, 91bg, SNPY, 246.30201507062125, 40.840201850282476, 0.03038000000000001, 0.031030481712772975, 58246.515325, 58428.199072, 35.73090462892349, 0.06684710963819109, 10.143590364193393, 0.0012393031211338115, 58338.86599530324, 0.2190549714530414, 0.3675548787786092, 0.01642595695427986, 0.3022353495336073, 0.0523336439929901, nan, nan, 18.54218311960888, 0.1615936371618267
