# Combination of '2023yrs' data from 'ATLAS', 'ZTF'
filter, zp, z, ra, dec, mjd, mag, dmag, flux, dflux, source
o, nan, nan, 96.7204, -24.61472, 60710.886566, -19.221, 0.259, -74.0, 19.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60710.889721, -20.517, 0.883, -23.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60710.895172, -18.551, 0.136, -138.0, 19.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60710.895633, 15.69, 0.01, 1923.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60710.907715, -20.155, 0.544, -32.0, 17.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.146774, -19.418, 0.441, -62.0, 27.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.150034, -19.09, 0.421, -84.0, 35.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.155217, -20.827, 1.894, -17.0, 32.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.176652, -19.43, 0.567, -61.0, 35.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.865824, 21.383, 2.314, 10.0, 24.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.875181, 25.772, 110.0, 0.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.877952, -19.518, 0.326, -57.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60714.895352, 20.063, 0.642, 34.0, 22.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60715.867789, 19.029, 0.268, 89.0, 24.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60715.870992, 19.73, 0.595, 47.0, 28.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60715.876468, -19.0, 0.312, -91.0, 28.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60715.888994, 20.021, 0.842, 36.0, 30.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60717.134386, 19.763, 0.701, 45.0, 32.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60717.13757, 26.036, 217.0, 0.0, 30.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60717.143198, 19.335, 0.445, 67.0, 30.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60717.152994, 18.966, 0.352, 94.0, 33.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.120125, 19.147, 0.485, 80.0, 39.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.123446, 19.184, 0.435, 77.0, 34.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.129618, -22.743, 12.474, -3.0, 36.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.155907, 19.445, 0.687, 60.0, 42.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.917777, -19.866, 0.656, -41.0, 27.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.920565, 20.056, 0.863, 34.0, 30.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.926561, -21.039, 2.324, -14.0, 32.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60718.937275, -20.298, 1.108, -28.0, 31.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60719.8651, -21.537, 2.386, -9.0, 21.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60719.868759, 23.254, 11.583, 2.0, 21.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60719.875668, -19.783, 0.432, -44.0, 19.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60719.885806, 20.626, 0.904, 20.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60721.16483, -20.275, 0.774, -28.0, 22.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60721.16858, -22.29, 5.286, -4.0, 23.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60721.175497, -20.734, 1.366, -18.0, 25.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60721.188924, -20.909, 1.352, -16.0, 21.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.119935, -21.473, 2.098, -9.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.123128, -19.286, 0.264, -70.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.133083, 20.668, 1.09, 20.0, 21.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.138314, -20.321, 0.973, -27.0, 26.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.866703, -19.772, 0.348, -45.0, 16.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.870044, 20.456, 0.73, 24.0, 17.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.876163, -20.962, 1.19, -15.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60722.886493, 20.843, 1.036, 17.0, 17.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60723.920997, 20.478, 0.684, 23.0, 16.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60723.924152, -20.517, 0.674, -23.0, 15.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60723.930682, 19.729, 0.447, 47.0, 21.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60723.954959, 20.635, 0.954, 20.0, 19.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60725.117425, 20.865, 1.03, 16.0, 17.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60725.122566, 20.447, 0.742, 24.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60725.126827, -22.583, 4.632, -3.0, 16.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60725.138962, -20.362, 0.671, -26.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60726.123031, 19.838, 0.43, 42.0, 18.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60726.126266, 18.868, 0.195, 103.0, 20.0, ATLAS
o, nan, nan, 96.7204, -24.61472, 60726.133436, -19.433, 0.291, -61.0, 18.0, ATLAS
ZTF_r, 25.9143, nan, 96.7204, -24.614725, 58397.5213889, 22.54574435907743, 1.735273457723841, 22.2547262432828, 35.5685253835809, ZTF
ZTF_r, 26.184, nan, 96.7204, -24.614725, 58422.50268519996, nan, 0.7531163585040141, -95.0659496873242, 65.9420967380097, ZTF
ZTF_g, 26.1127, nan, 96.7204, -24.614725, 58423.43836810021, 21.42795610113071, 0.8068201182748883, 74.7993044703518, 55.5840206995665, ZTF
ZTF_g, 26.1215, nan, 96.7204, -24.614725, 58423.44680560008, 22.497269953261025, 2.0321818103157816, 28.1638497461374, 52.7145202597519, ZTF
ZTF_r, 26.1555, nan, 96.7204, -24.614725, 58423.52045139996, nan, 0.839034167452819, -76.7909313062541, 59.3424211461307, ZTF
