# Combined data from 'ATLAS-ZTF' for 'SN 2023abdv'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
17.78529, -13.94409, c, 60205.922128, -21.324, 0.871, -11, 9, nan, ATLAS-ZTF
17.78529, -13.94409, c, 60205.92395, 21.614, 0.957, 8, 8, 21.64227503252014, ATLAS-ZTF
17.78529, -13.94409, c, 60205.92671, 22.378, 1.971, 4, 8, 22.394850021680092, ATLAS-ZTF
17.78529, -13.94409, c, 60205.952113, -21.643, 0.944, -8, 8, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60208.209487, 21.218, 0.83, 12, 10, 21.202046884880936, ATLAS-ZTF
17.78529, -13.94409, o, 60208.211777, -20.99, 0.938, -15, 14, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60208.214949, 20.642, 0.576, 20, 12, 20.647425010840045, ATLAS-ZTF
17.78529, -13.94409, o, 60208.240542, 23.265, 5.267, 2, 9, 23.147425010840045, ATLAS-ZTF
17.78529, -13.94409, o, 60211.208566, 21.844, 2.182, 7, 14, 21.787254899964356, ATLAS-ZTF
17.78529, -13.94409, o, 60211.211769, 20.557, 0.597, 22, 13, 20.543943297944484, ATLAS-ZTF
17.78529, -13.94409, o, 60211.24759, 20.407, 0.593, 25, 15, 20.405149978319905, ATLAS-ZTF
17.78529, -13.94409, o, 60211.276047, 20.621, 0.787, 20, 16, 20.647425010840045, ATLAS-ZTF
17.78529, -13.94409, o, 60214.190513, -20.984, 1.682, -15, 25, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60214.192335, 20.048, 0.772, 35, 27, 20.03982988912431, ATLAS-ZTF
17.78529, -13.94409, o, 60214.19507, 21.28, 2.222, 11, 25, 21.296518287104437, ATLAS-ZTF
17.78529, -13.94409, o, 60214.220627, 20.899, 1.857, 16, 30, 20.889700043360186, ATLAS-ZTF
17.78529, -13.94409, o, 60214.897161, 21.114, 3.098, 13, 40, 21.115141619232908, ATLAS-ZTF
17.78529, -13.94409, o, 60214.898981, 19.548, 0.705, 55, 39, 19.54909327626439, ATLAS-ZTF
17.78529, -13.94409, o, 60214.90218, 20.11, 1.295, 33, 42, 20.10371515030528, ATLAS-ZTF
17.78529, -13.94409, o, 60214.907592, -21.805, 4.51, -7, 31, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60219.244736, -21.564, 3.957, -9, 34, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60219.247901, -21.523, 2.571, -9, 23, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60219.253925, -20.484, 1.525, -23, 35, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60219.289572, -18.759, 0.766, -114, 87, nan, ATLAS-ZTF
17.78529, -13.94409, o, 60220.975403, 20.21, 0.741, 30, 22, 20.207196863200842, ATLAS-ZTF
17.78529, -13.94409, o, 60221.000167, 22.012, 3.485, 6, 20, 21.95462187404089, ATLAS-ZTF
17.78529, -13.94409, o, 60221.003386, -24.711, 50.667, 0, 24, inf, ATLAS-ZTF
