2022fpo 0.010194 305.20583000000005 -48.240880000000004
filter ATri
59666.089682 16.901 0.035
59666.093383 17.352 0.056
59666.102191 17.085 0.04
59666.116 17.088 0.117
59672.392017 15.051 0.008
59672.395898 15.058 0.009
59672.401587 15.125 0.01
59672.408796 14.967 0.008
59672.416723 15.027 0.011
59676.33576 14.605 0.008
59676.343953 14.592 0.007
59676.353487 14.693 0.007
59676.356202 14.706 0.008
59680.365538 14.623 0.007
59680.373348 14.598 0.007
59680.376099 14.67 0.008
59682.095936 14.708 0.007
59682.116205 14.865 0.007
59682.119878 14.8 0.007
59682.129667 14.777 0.008
59684.298257 14.919 0.011
59684.300988 14.954 0.01
59684.311896 14.891 0.011
59684.322366 14.913 0.01
59690.060213 15.247 0.014
59690.063874 15.252 0.012
59690.069845 15.243 0.012
59690.082929 15.237 0.011
59692.333018 15.274 0.011
59692.340357 15.192 0.012
59692.342911 15.217 0.013
59692.344869 15.23 0.013
59692.347067 15.28 0.013
59692.353908 15.279 0.014
59692.36119 15.215 0.012
