2024uai 0.006 113.07825 85.70789999999998
filter ATri
60549.612836 17.657 0.065
60549.619054 17.084 0.048
60549.633063 17.643 0.131
60559.569665 15.844 0.032
60559.572521 15.508 0.022
60559.58835 15.955 0.023
60559.593839 15.877 0.029
60563.617211 15.86 0.015
60563.623053 15.586 0.015
60563.627125 15.892 0.015
60563.637565 15.685 0.037
60571.422161 16.342 0.078
60571.425461 16.502 0.09
60571.431031 16.265 0.068
60571.565684 16.108 0.066
60571.58253 19.064 0.824
60571.590807 16.948 0.096
60571.593988 16.787 0.087
60573.491666 17.356 0.568
60573.494499 16.74 0.098
60573.511974 17.167 0.075
60573.517105 17.028 0.068
60573.553576 16.575 0.048
60573.557774 16.973 0.064
60573.568415 17.215 0.078
60573.575389 17.762 0.132
