2024ard 0.0331 165.652283543 59.1229281775
filter ATri
60683.553067 20.765 0.762
60683.554892 20.004 0.34
60683.557634 22.157 3.031
60683.578238 20.317 0.461
60687.535918 18.856 0.649
60687.537737 19.356 0.553
60687.538188 20.757 1.987
60691.506212 20.74 1.214
60691.51088 20.113 0.587
60691.534803 12.372 0.005
60693.500819 20.523 0.757
60693.50412 19.547 0.29
60695.49901 20.569 0.684
60695.542485 20.286 0.647
60697.392259 20.52 0.851
60709.474777 21.526 1.392
60709.483563 21.392 1.344
60709.485395 21.008 0.844
60711.413822 21.655 2.194
60711.418907 21.028 1.159
