2024rku 0.114 243.794013333 51.1741033333
filter ATri
60695.655191 -20.735 0.797
60697.573613 -20.425 0.614
60697.578049 20.995 0.983
60697.582267 -20.525 0.722
60697.58777 19.113 0.697
60697.597871 20.827 0.825
60709.613946 21.072 0.753
60709.639444 20.968 0.654
60711.577607 -19.905 0.348
60711.590613 -20.892 0.93
60711.661049 -21.038 0.906
60711.666247 20.863 0.987
60719.560916 -20.14 0.794
60719.58374 -20.407 0.927
