# Combination of '2024zwb' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 320.50692, 7.14486, 60519.236106, 20.143, 0.41, 32.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60520.512129, 20.148, 0.427, 32.0, 14.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60520.518555, 20.15, 0.379, 32.0, 12.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60524.491388, 19.816, 0.287, 43.0, 12.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60526.561546, 19.782, 0.282, 44.0, 12.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60528.462697, 19.603, 0.247, 52.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60528.915556, 19.871, 0.315, 41.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60528.919698, 20.533, 0.566, 22.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60534.435678, 19.905, 0.323, 40.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60538.409688, 20.049, 0.36, 35.0, 12.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60543.545663, 18.576, 0.547, 135.0, 74.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60546.136916, 19.619, 0.379, 52.0, 20.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60546.140211, 20.302, 0.773, 28.0, 21.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60556.389578, 20.805, 0.757, 17.0, 13.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60559.135892, 20.474, 0.724, 24.0, 17.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60559.141587, 19.556, 0.317, 55.0, 17.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60562.36363, 20.73, 0.535, 18.0, 10.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60564.823922, 19.595, 0.544, 53.0, 29.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60572.423663, 19.326, 0.753, 68.0, 51.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60574.40429, 20.191, 0.492, 30.0, 15.0, ATLAS
c, 23.9, 320.50692, 7.14486, 60584.353686, 20.979, 0.759, 15.0, 11.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60584.769058, 20.876, 0.988, 16.0, 16.0, ATLAS
c, 23.9, 320.50692, 7.14486, 60587.069465, 20.494, 0.508, 23.0, 12.0, ATLAS
o, 23.9, 320.50692, 7.14486, 60590.313092, 21.158, 0.975, 12.0, 12.0, ATLAS
