# Combination of '2021gel' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 186.63453, 31.42839, 59191.615708, 20.575, 0.949, 21.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59191.646108, 19.94, 0.509, 38.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59193.658818, 20.399, 0.659, 25.0, 17.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59194.651257, 20.962, 0.664, 15.0, 10.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59194.660553, 20.225, 0.583, 30.0, 17.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59197.643698, 21.247, 0.753, 12.0, 9.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59216.638311, 20.477, 0.868, 23.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59216.663238, 20.411, 0.866, 25.0, 22.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59217.615149, 20.319, 0.723, 27.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59219.605811, 19.677, 0.329, 49.0, 16.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59221.586016, 20.663, 0.647, 20.0, 13.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59226.662055, 21.422, 0.882, 10.0, 9.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59229.623671, 21.521, 0.955, 9.0, 8.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59229.636957, 21.075, 0.674, 14.0, 9.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59229.662935, 20.395, 0.346, 25.0, 9.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59231.540601, 21.373, 0.838, 10.0, 9.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59235.564418, 18.664, 0.818, 124.0, 102.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59238.550007, 20.148, 0.388, 32.0, 12.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59243.54174, 19.851, 0.602, 42.0, 25.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59243.544579, 20.014, 0.769, 36.0, 28.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59251.593949, 20.491, 0.411, 23.0, 10.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59253.547387, 21.018, 0.598, 14.0, 8.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59263.506824, 19.949, 0.752, 38.0, 29.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59267.547066, 21.312, 0.943, 11.0, 10.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59267.589815, 21.029, 0.637, 14.0, 9.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59277.506677, 19.901, 0.236, 40.0, 9.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59297.368894, 19.556, 0.273, 55.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59297.371662, 19.315, 0.234, 68.0, 16.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59299.370707, 18.33, 0.632, 169.0, 107.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59303.441515, 20.137, 0.686, 32.0, 22.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59303.445816, 19.641, 0.4, 50.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59303.478241, 19.61, 0.367, 52.0, 19.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59303.484252, 19.431, 0.319, 61.0, 20.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59305.434176, 19.852, 0.291, 42.0, 12.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59305.455779, 20.033, 0.308, 35.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59305.459006, 19.872, 0.275, 41.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59307.388651, 19.719, 0.267, 47.0, 13.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59309.451723, 20.602, 0.313, 21.0, 6.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59309.455428, 20.276, 0.242, 28.0, 7.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59313.471253, 21.009, 0.467, 14.0, 7.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59317.494139, 20.323, 0.279, 27.0, 8.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59319.419051, 19.806, 0.324, 43.0, 14.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59319.424892, 20.552, 0.472, 22.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59319.451861, 20.067, 0.364, 34.0, 12.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59321.426295, 21.324, 0.663, 11.0, 7.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59321.456874, 20.47, 0.333, 24.0, 8.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59323.439477, 21.19, 0.795, 12.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59323.464999, 20.809, 0.615, 17.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59323.480525, 20.445, 0.467, 24.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59327.331237, 19.769, 0.492, 45.0, 22.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59333.394226, 20.517, 0.675, 23.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59335.357588, 20.966, 0.664, 15.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59335.358959, 20.248, 0.414, 29.0, 12.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59335.368633, 20.883, 0.729, 16.0, 12.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59335.404262, 20.334, 0.5, 27.0, 13.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59337.458415, 20.75, 0.886, 18.0, 16.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59337.48744, 20.035, 0.77, 35.0, 27.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59341.519403, 20.322, 0.638, 27.0, 17.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59341.524933, 20.671, 0.77, 20.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59341.539468, 20.293, 0.496, 28.0, 14.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59343.355999, 20.447, 0.436, 24.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59345.361238, 20.466, 0.446, 24.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59345.392596, 21.273, 0.992, 11.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59345.406079, 20.385, 0.458, 26.0, 12.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59347.377421, 20.649, 0.55, 20.0, 11.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59347.410105, 20.792, 0.58, 18.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59349.323766, 21.188, 0.923, 12.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59349.354157, 20.693, 0.536, 19.0, 10.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59351.313623, 20.452, 0.643, 24.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59353.348907, 20.053, 0.415, 35.0, 14.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59359.302458, 19.329, 0.37, 67.0, 25.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59359.321789, 20.079, 0.901, 34.0, 30.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59367.33734, 20.882, 0.736, 16.0, 12.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59369.360736, 20.806, 0.409, 17.0, 7.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59371.335221, 20.791, 0.661, 18.0, 12.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59373.322717, 20.709, 0.405, 19.0, 8.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59377.299251, 21.405, 0.785, 10.0, 8.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59377.325637, 21.074, 0.535, 14.0, 7.0, ATLAS
c, 23.9, 186.63453, 31.42839, 59377.328883, 21.093, 0.617, 13.0, 8.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59381.289489, 20.348, 0.417, 26.0, 11.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59381.314988, 20.309, 0.443, 27.0, 12.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59383.262, 20.697, 0.783, 19.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59383.265223, 20.252, 0.509, 29.0, 15.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59385.34644, 20.674, 0.715, 20.0, 14.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59387.298369, 18.394, 0.424, 159.0, 68.0, ATLAS
o, 23.9, 186.63453, 31.42839, 59391.268511, 20.572, 0.682, 21.0, 15.0, ATLAS
