# Combination of '2018jag' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
o, 23.9, 15.95129, 10.59233, 58348.608675, 20.681, 0.777, 19.0, 15.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58361.574679, 19.648, 0.441, 50.0, 22.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58361.590427, 20.058, 0.857, 34.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58361.596011, 20.23, 0.817, 29.0, 24.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58369.548553, 20.547, 0.873, 22.0, 19.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58369.567465, 20.526, 0.685, 22.0, 15.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58369.573482, 20.735, 0.944, 18.0, 17.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58370.579714, 20.603, 0.588, 21.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58379.539845, 21.077, 0.921, 14.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58380.533072, 20.417, 0.705, 25.0, 17.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58382.522433, 20.306, 0.628, 27.0, 17.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58382.542693, 20.468, 0.807, 24.0, 19.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58383.548146, 20.201, 0.856, 30.0, 26.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58384.427815, 17.987, 0.998, 232.0, 231.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58389.508177, 19.925, 0.761, 39.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58390.515377, 19.894, 0.422, 40.0, 17.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58392.517774, 20.756, 0.815, 18.0, 15.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58393.499917, 20.733, 0.935, 18.0, 17.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58395.536439, 20.338, 0.388, 27.0, 10.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58396.52626, 20.003, 0.824, 36.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58407.469704, 20.581, 0.685, 21.0, 15.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58423.439916, 20.859, 0.743, 16.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58424.457952, 20.755, 0.761, 18.0, 14.0, ATLAS
t, 23.9, 15.95129, 10.59233, 58425.422028, 19.851, 0.328, 42.0, 14.0, ATLAS
t, 23.9, 15.95129, 10.59233, 58425.453303, 18.993, 0.632, 92.0, 58.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58428.454876, 20.902, 0.881, 16.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58436.387608, 20.122, 0.971, 32.0, 32.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58436.407621, 20.343, 0.786, 26.0, 21.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58437.379283, 19.13, 0.405, 81.0, 33.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58438.380058, 17.648, 0.906, 317.0, 287.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58445.442502, 17.731, 0.661, 293.0, 194.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58445.442962, 17.537, 0.718, 351.0, 252.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58445.457194, 18.254, 0.574, 181.0, 104.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58468.294803, 18.744, 0.31, 116.0, 36.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58468.303252, 18.893, 0.289, 101.0, 29.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58472.307259, 19.223, 0.362, 74.0, 27.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58472.315234, 18.801, 0.272, 110.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58472.323268, 19.021, 0.354, 90.0, 32.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58472.331258, 18.946, 0.31, 96.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.340477, 19.134, 0.388, 81.0, 31.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.342422, 19.197, 0.505, 76.0, 38.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.349746, 19.415, 0.538, 62.0, 34.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.35172, 18.677, 0.23, 123.0, 28.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.359041, 18.68, 0.251, 122.0, 31.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.368517, 19.566, 0.585, 54.0, 32.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58473.370476, 18.433, 0.239, 154.0, 37.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58474.347956, 19.261, 0.38, 72.0, 27.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58474.357284, 18.778, 0.217, 112.0, 24.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58474.366564, 18.822, 0.242, 108.0, 26.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58474.375963, 19.001, 0.349, 91.0, 32.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58478.291015, 19.53, 0.218, 56.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58478.299008, 19.638, 0.245, 51.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58478.314896, 19.388, 0.23, 64.0, 15.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58479.289446, 19.9, 0.326, 40.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58479.307368, 19.453, 0.185, 60.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58479.316105, 19.479, 0.217, 59.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58480.285718, 19.736, 0.273, 46.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58480.293655, 19.403, 0.218, 63.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58480.301601, 19.622, 0.258, 51.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58480.309576, 19.848, 0.308, 42.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58482.278607, 17.139, 0.951, 506.0, 482.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58482.294387, 17.762, 0.864, 285.0, 246.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58486.287691, 20.189, 0.313, 30.0, 10.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58486.296172, 19.914, 0.226, 39.0, 9.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58486.304112, 20.099, 0.359, 33.0, 12.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58486.312508, 19.836, 0.265, 42.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58489.277453, 19.742, 0.388, 46.0, 18.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58489.290594, 19.958, 0.6, 38.0, 23.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58489.298702, 20.185, 0.642, 31.0, 20.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58491.290505, 20.863, 0.69, 16.0, 11.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58491.299221, 21.005, 0.657, 14.0, 10.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58491.307493, 21.32, 0.887, 11.0, 10.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58491.316255, 20.709, 0.489, 19.0, 9.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58492.230338, 19.584, 0.232, 53.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58492.237704, 19.841, 0.3, 42.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58492.244812, 20.342, 0.503, 26.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58492.251327, 19.723, 0.279, 47.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58495.231882, 19.891, 0.265, 40.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58495.239998, 20.045, 0.41, 35.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58495.248524, 20.086, 0.353, 34.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58495.256611, 20.402, 0.51, 25.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58498.206999, 19.447, 0.442, 60.0, 27.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58498.220321, 20.163, 0.602, 31.0, 19.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58498.220778, 19.379, 0.272, 64.0, 18.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58499.217382, 19.947, 0.411, 38.0, 16.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58499.21784, 19.933, 0.458, 39.0, 18.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58499.22104, 20.248, 0.564, 29.0, 16.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58501.223358, 19.883, 0.758, 40.0, 31.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58501.224772, 19.25, 0.421, 72.0, 30.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58501.231334, 19.95, 0.957, 38.0, 36.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58501.243555, 19.973, 0.884, 37.0, 33.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58503.219971, 20.141, 0.709, 32.0, 23.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58503.2218, 20.14, 0.625, 32.0, 20.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58503.235836, 19.863, 0.544, 41.0, 22.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.20773, 19.169, 0.72, 78.0, 56.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.221098, 20.162, 0.465, 31.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.222556, 20.565, 0.585, 22.0, 13.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.22347, 20.199, 0.387, 30.0, 12.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.230508, 20.536, 0.634, 22.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.231894, 20.271, 0.396, 28.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.2356, 20.871, 0.862, 16.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58504.240337, 20.536, 0.513, 22.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58505.236826, 19.795, 0.564, 44.0, 25.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58505.248174, 19.306, 0.481, 69.0, 33.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58507.219064, 19.91, 0.349, 39.0, 14.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58507.223679, 20.496, 0.498, 23.0, 11.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58507.233986, 20.469, 0.675, 24.0, 16.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58507.239708, 19.376, 0.548, 64.0, 35.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58507.241802, 19.492, 0.476, 58.0, 28.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58508.210842, 19.952, 0.819, 38.0, 31.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58508.214408, 19.834, 0.517, 42.0, 22.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58508.218311, 20.361, 0.754, 26.0, 20.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58509.220227, 20.599, 0.929, 21.0, 19.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58509.230258, 19.773, 0.459, 45.0, 20.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58510.211834, 20.072, 0.686, 34.0, 23.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58513.227349, 19.722, 0.403, 47.0, 19.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58513.242349, 20.089, 0.54, 33.0, 18.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58516.225676, 20.569, 0.918, 22.0, 20.0, ATLAS
o, 23.9, 15.95129, 10.59233, 58516.226598, 19.761, 0.573, 45.0, 26.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58518.238523, 21.008, 0.977, 14.0, 14.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58518.254997, 20.781, 0.86, 18.0, 15.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58518.263528, 19.853, 0.367, 42.0, 15.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58519.241115, 20.45, 0.478, 24.0, 12.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58519.249617, 20.466, 0.479, 24.0, 11.0, ATLAS
c, 23.9, 15.95129, 10.59233, 58519.257641, 20.827, 0.83, 17.0, 14.0, ATLAS
