# Combination of '2023fot' data from 'ATLAS', 'ZTF'
filter, zp, ra, dec, mjd, mag, dmag, flux, dflux, source
c, 23.9, 185.44815, 10.59142, 60082.809633, 20.184, 0.32, 31.0, 10.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60082.81283, 20.142, 0.345, 32.0, 11.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60082.816017, 20.692, 0.701, 19.0, 14.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60082.818751, 20.78, 0.608, 18.0, 11.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60082.829304, 19.876, 0.252, 41.0, 10.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60084.071248, 17.55, 0.579, 347.0, 201.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60084.081624, 16.941, 0.401, 608.0, 244.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60085.32418, 19.897, 0.385, 40.0, 15.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60085.327346, 19.699, 0.225, 48.0, 11.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60085.350912, 19.74, 0.257, 46.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60085.364819, 20.026, 0.346, 36.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60088.808523, 19.482, 0.336, 58.0, 20.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60088.811779, 20.099, 0.44, 33.0, 15.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60088.814556, 19.851, 0.435, 42.0, 18.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60088.819588, 20.418, 0.681, 25.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60091.785026, 20.242, 0.733, 29.0, 21.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60091.787803, 19.945, 0.527, 38.0, 20.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60091.800843, 19.401, 0.374, 63.0, 24.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60091.80634, 20.126, 0.62, 32.0, 20.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60099.065812, 19.116, 0.892, 82.0, 73.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60100.819341, 19.716, 0.614, 47.0, 29.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60108.043095, 20.266, 0.366, 28.0, 10.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60111.016686, 21.139, 0.902, 13.0, 12.0, ATLAS
c, 23.9, 185.44815, 10.59142, 60111.026115, 20.891, 0.663, 16.0, 11.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60118.759592, 19.706, 0.516, 48.0, 25.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60123.042345, 20.121, 0.803, 32.0, 26.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60123.064238, 19.632, 0.541, 51.0, 28.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60126.034536, 20.057, 0.782, 34.0, 27.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60126.040686, 20.002, 0.709, 36.0, 26.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60128.03674, 19.515, 0.619, 57.0, 35.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60128.998565, 20.127, 0.944, 32.0, 30.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60130.735065, 20.377, 0.557, 26.0, 14.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60130.741672, 20.669, 0.63, 20.0, 12.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60139.97242, 20.712, 0.86, 19.0, 16.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60140.979545, 20.618, 0.813, 20.0, 17.0, ATLAS
o, 23.9, 185.44815, 10.59142, 60143.959047, 16.594, 0.825, 837.0, 690.0, ATLAS
