objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,g_elong,g_a,g_b,g_pa,r_elong,r_a,r_b,r_pa,i_elong,i_a,i_b,i_pa,z_elong,z_a,z_b,z_pa
100070122,,,,100070122,,,,,,,,,,,,,,0,,,,,215.162051,-35.915326,,,,,,,,,,322.51965,23.540207,,,3,0,0,2,1,1,,1,1,,,,,,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,35,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1620571,-35.9153208,35,31,,18.2584,0.0161,,,18.198,0.0586,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,8770.708,41.81047,5.09,,,,,,0.5,,,,215.1620483,-35.9153347,35,31,,18.2126,0.0207,,,18.3676,0.1155,,,,,,,,,,,,,,,,1.222,,,,,,,74.92503,,,,,4494.896,269.9166,5.09,,,,,,0.5,,,,215.162051,-35.915326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,54.65,,,,,,,,,,1.063,2.124,1.999,41.46,1.099,1.599,1.455,-76.16
100070123,,,,100070123,,,,,,,,,,,,,,0,,,,,215.163312,-35.913995,,,,,,,,,,322.52124,23.541069,,,4,0,0,2,2,1,,1,1,,,,,,72,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,72,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1632896,-35.9139845,72,46,,18.2144,0.0205,,,18.269,0.1105,,,,,,,,,,,,,,,,1.948,,,,,,,,,,,,8782.355,112.7449,3.73,,,,,,0.5,,,,215.1633233,-35.9139758,72,46,,17.8494,0.0728,,,17.5561,0.3248,,,,,,,,,,,,,,,,0.3337,,,,,,,40.30306,,,,,5971.908,340.5136,3.73,,,,,,0.5,,,,215.163312,-35.913995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.74,,,,,,,,,,1.154,2.191,1.898,-13.92,1.167,1.899,1.627,-72.02
100070124,,,,100070124,,,,,,,,,,,,,,0,,,,,215.165494,-35.914988,,,,,,,,,,322.52264,23.539494,,,2,0,0,1,1,1,,1,1,,,,,,26,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,26,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1655029,-35.9149645,26,83,,19.3609,0.0369,,,19.6107,0.2153,,,,,,,,,,,,,,,,1.832,,,,,,,,,,,,3148.379,102.9167,6.13,,,,,,0.5,,,,215.1654852,-35.9150105,26,83,,18.97,0.0262,,,19.2644,0.2323,,,,,,,,,,,,,,,,0.5801,,,,,,,49.79954,,,,,2237.361,228.3562,6.13,,,,,,0.5,,,,215.165494,-35.914988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,56.05,,,,,,,,,,1.148,1.175,1.024,-14.47,1.306,1.076,0.824,-58.35
100070125,,,,100070125,,,,,,,,,,,,,,0,,,,,215.162987,-35.910315,,,,,,,,,,322.52246,23.544586,,,2,0,0,1,1,1,,1,1,,,,,,25,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,25,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.162979,-35.9102775,25,134,,18.5357,0.0118,,,18.6766,0.1008,,,,,,,,,,,,,,,,0.2335,,,,,,,,,,,,6732.339,38.27295,4.52,,,,,,0.5,,,,215.1629954,-35.9103522,25,134,,18.5261,0.0156,,,18.4862,0.1325,,,,,,,,,,,,,,,,0.3134,,,,,,,37.34829,,,,,3367.549,336.6758,4.52,,,,,,0.5,,,,215.162987,-35.910315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,37.76,,,,,,,,,,1.108,2.068,1.866,29.25,1.199,1.555,1.297,-84.69
100070126,,,,100070126,,,,,,,,,,,,,,0,,,,,215.163707,-35.909294,,,,,,,,,,322.52344,23.54532,,,4,0,0,2,2,1,,1,1,,,,,,311,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,311,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1638145,-35.9091437,311,589,,17.9759,0.0555,,,17.7711,0.3283,,,,,,,,,,,,,,,,3.977,,,,,,,,,,,,11332.65,166.075,4.17,,,,,,0.5,,,,215.16381,-35.9091254,311,589,,17.8797,0.0381,,,17.6966,0.0823,,,,,,,,,,,,,,,,0.206,,,,,,,31.69029,,,,,6130.983,394.8023,4.17,,,,,,0.5,,,,215.163707,-35.909294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,35.07,,,,,,,,,,1.045,2.295,2.197,60.19,1.1,1.891,1.719,-85.63
100070128,,,,100070128,,,,,,,,,,,,,,0,,,,,215.168498,-35.909503,,,,,,,,,,322.5273,23.543697,,,7,1,0,3,3,1,,1,1,,,,215.1685805,-35.9094694,153,142,,17.9214,0.0364,,,18.0568,0.1445,,,,,,,,,,,,,,,,2.018,,,,,,1197.191,38.62837,,,,,889.2274,103.1975,5.34,,,,,,0.5,,,,,,153,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1684437,-35.9096069,153,142,,17.5646,0.0184,,,17.5936,0.047,,,,,,,,,,,,,,,,0.4536,,,,,,,,,,,,16122.8,58.9747,3.5,,,,,,0.5,,,,215.1684306,-35.9095843,153,142,,17.4879,0.0307,,,17.662,0.1568,,,,,,,,,,,,,,,,0.301,,,,,,,39.95485,,,,,8650.056,348.9186,3.5,,,,,,0.5,,,,215.168498,-35.909503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,43.19,,1.244,1.222,0.982,-23.65,,,,,1.034,2.508,2.426,-55.75,1.017,1.976,1.944,69.94
100070129,,,,100070129,,,,,,,,,,,,,,0,,,,,215.175903,-35.907707,,,,,,,,,,322.53412,23.543156,,,1,0,0,1,0,1,,1,1,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1759029,-35.9077072,36,36,,19.2068,0.0196,,,19.3477,0.1739,,,,,,,,,,,,,,,,0.5465,,,,,,,,,,,,3628.325,56.02462,5.97,,,,,,0.5,,,,,,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97,,,,,,0.5,,,,215.175903,-35.907707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,56.17,,,,,,,,,,1.166,1.057,0.907,-46.12,,,,
100070134,,,,100070134,,,,,,,,,,,,,,0,,,,,215.147448,-35.913036,,,,,,,,,,322.5086,23.546692,,,4,0,0,2,2,1,,1,1,,,,,,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1474172,-35.9130245,144,83,,18.1115,0.0491,,,17.9594,0.0829,,,,,,,,,,,,,,,,0.9081,,,,,,,,,,,,9540.035,78.41179,5.5,,,,,,0.5,,,,215.1473741,-35.9129754,144,83,,17.9717,0.0179,,,18.007,0.0668,,,,,,,,,,,,,,,,0.1725,,,,,,,28.80479,,,,,5559.611,435.6571,5.5,,,,,,0.5,,,,215.147448,-35.913036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,56.56,,,,,,,,,,1.1,2.274,2.068,-66.92,1.108,1.826,1.648,-63.74
100070139,,,,100070139,,,,,,,,,,,,,,0,,,,,215.153717,-35.908305,,,,,,,,,,322.51566,23.549221,,,4,0,0,2,2,1,,1,1,,,,,,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1537088,-35.9083031,30,32,,17.8431,0.0082,,,17.9366,0.0433,,,,,,,,,,,,,,,,0.09857,,,,,,,,,,,,12783.77,26.59429,3.5,,,,,,0.5,,,,215.1537012,-35.9083099,30,32,,17.3972,0.0211,,,17.5428,0.0428,,,,,,,,,,,,,,,,1.945,,,,,,,102.7679,,,,,9324.421,317.6576,3.5,,,,,,0.5,,,,215.153717,-35.908305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,32.36,,,,,,,,,,1.099,2.352,2.141,84.8,1.053,1.998,1.897,-47.7
100070140,,,,100070140,,,,,,,,,,,,,,0,,,,,215.151156,-35.906041,,,,,,,,,,322.51443,23.55209,,,4,0,0,2,2,1,,1,1,,,,,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,215.1511489,-35.9060665,28,34,,17.9609,0.0209,,,17.998,0.0439,,,,,,,,,,,,,,,,1.053,,,,,,,,,,,,11213.06,85.3779,3.86,,,,,,0.5,,,,215.1511343,-35.9060332,28,34,,17.7985,0.077,,,17.9542,0.2007,,,,,,,,,,,,,,,,0.9132,,,,,,,67.67449,,,,,6956.715,314.316,3.86,,,,,,0.5,,,,215.151156,-35.906041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,30.49,,,,,,,,,,1.071,2.208,2.061,-87.53,1.05,1.851,1.763,-34.17
