ra,dec,z,z_err,discdate,mjd,mag,dmag,flux,dflux,zp,filter
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60567.325486,19.142,0.247,80.0,20.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60567.331385,19.286,0.298,70.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60567.342489,20.382,0.749,26.0,19.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60568.51775,19.109,0.283,82.0,23.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60568.521365,20.033,0.591,35.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60568.538783,19.113,0.217,82.0,18.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60571.293206,19.05,0.834,87.0,73.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.53574,19.398,0.74,63.0,47.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.548405,19.556,0.544,55.0,30.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.594446,19.099,0.252,83.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.603871,19.841,0.492,42.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.63002,19.764,0.526,45.0,24.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.639002,19.565,0.523,54.0,28.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60572.640857,19.566,0.628,54.0,34.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60574.514298,20.313,0.978,27.0,27.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60574.549419,19.957,0.546,38.0,21.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60574.556853,19.047,0.302,87.0,26.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60575.293541,18.65,0.255,126.0,32.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60575.326015,19.123,0.995,81.0,81.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60575.330052,19.557,0.8,55.0,44.0,23.9,o
71.31999,8.5543,0.066000,None,2024-09-21 11:27:26.997,60580.544856,19.734,0.282,46.0,13.0,23.9,o
