TNS_name Classification RA(deg) Dec(deg) gal_PGC_num gal_RA(deg) gal_Dec(deg) z_hel z_hel_err z_flag
22yus Ia 98.4021109 -17.880892 9000000 98.4016898 -17.8810345 None None n
21lqy Ia 139.367208 -9.813261 None 139.36767882874682 -9.812277459535816 None None n
23hka Ia 212.7430997 -27.0616747 760286 212.74291666667 -27.06513888889 0.021538 0.00015 spu
20tgi Ia 34.3812397207 10.5473210558 9005054 34.38112 10.54734 0.0841134 0.037385400000000006 sp
21wfg Ia 325.105145169 11.7489612858 3373379 325.10502916666667 11.746958333333332 0.07939826158001613 6.671281903963041e-06 spu
20zfu Ia 28.0379480712 42.8698362691 9005090 28.03904 42.86906 0.07231154207173157 4.777509696650417e-06 spu
21usd Ia 275.513899561 36.6223201589 61781 275.5173041666667 36.62067777777778 0.028239536299475555 0.00015343948379114994 spu
19bqe Ia 149.91629503636 35.395130863636 28888 149.92172 35.39281 0.017137522518995457 1.0674051046340867e-05 spu
22aw Ia 357.211768 -4.334784 3990210 357.21172943 -4.33481898 0.048800606658040875 1.2313800026742677e-05 spu
20szr Ia 347.387917 15.659269 70585 347.39355416666666 15.654775 0.025280489210972746 6.671281903963041e-06 spu
22I Ia 153.9748731 -2.69352033056 103417 153.97574692 -2.69416383 0.05140356132641603 0.0001664484835038779 spu
19wfc Ia 159.062083 52.947419 2427824 159.0610375 52.947088888888885 0.046538862562046174 2.0013845711889123e-05 spu
21mld Ia 230.004766703 22.8866719214 9005139 230.00453 22.88661 None None n
22aaoz Ia 13.2635084 39.0264013 None 13.26291666667 39.02677777778 None None n
21div Ia 254.0824111 39.2758209 59283 254.08787124990002 39.2751709742 0.06206560406532976 1.4009691998322387e-05 spu
21qdi Ia 173.654735455 5.31503363636 1281420 173.65447708333335 5.314047222222222 0.06309698424768244 6.671281903963041e-06 spu
21abmp Ia 11.176542 -38.183911 199944 11.174625 -38.182916666669996 0.023253753768548775 9.206369027468998e-05 spu
20nxk Ia 231.329349176 21.3541050658 4462938 231.3293 21.35416 None None n
21och Ia 221.027667 18.010961 52630 221.02968333333334 18.012605 0.032147573238817104 9.339794665548258e-06 spu
22zff Ia 7.1510397 -20.5354045 None 7.15020833333 -20.53605555556 None None n
20wux Ia 20.8833543406 -19.1709948779 9005076 20.8830828 -19.1712034 0.0673574053772697 None sp
20ywh Ia 148.677740261 45.5552915122 9005086 148.67672083333332 45.55488888888888 0.07151400299999999 0.03536 pu
21hiz Ia 186.423625 7.228389 40566 186.42275 7.22927777778 0.003318962747221613 1.0006922855944561e-05 spu
