TNS_name Classification RA(deg) Dec(deg) gal_PGC_num gal_RA(deg) gal_Dec(deg) z_hel z_hel_err z_flag
20uwr Ia 359.264639497 17.9040250912 1544875 359.26492 17.90379 0.07944792345893416 8.253253246832959e-06 spu
19cth Ia 221.447875 50.396761 52713 221.4543547178 50.3940541254 0.013359575576781187 1.767889704550206e-05 spu
19myw Ia 333.011107522 0.0522001750839 1155907 333.01175 0.0535 0.05677160831043989 1.5010384283916844e-05 spu
20kqv Ia 312.262504 -31.731072 9005039 312.2628 -31.73052 0.07452292932073154 2.9252982438887627e-06 spu
22H Ia 147.438673821 6.29658798999 1298069 147.43930766 6.29708525 0.06122568967362081 1.6678204759907602e-05 spu
21wrt Ia 38.4194936031 40.6674738652 2169204 38.4192 40.6697 0.07915024958589248 6.804613606421761e-06 spu
21koo Ia 142.407915 -6.9384492 9005132 142.407300234096 -6.9383352676441 0.14436699 0.0377641 pu
22av Ia 63.6019555964 -13.5429177332 9005158 63.6028814 -13.5427997 None None n
20tjo Ia 355.582327347 -14.7029229275 921090 355.58343 -14.70401 0.08474124858974617 1.31015620190994e-06 spu
21ydv Ia 343.2634075 -36.7858775 9005153 343.262975364723 -36.785153419417 None None n
21kxf Ia 204.448079898 1.32927969812 1191542 204.44916666666666 1.3294444444444444 0.0789712995381625 1.3342563807926082e-05 spu
21wkv Ia 247.892333 40.568081 58432 247.893875 40.56559444444444 0.0273289063195846 1.3676127903124233e-05 spu
21iaf Ia 227.843833 26.792261 None 227.84397214 26.79251467 None None n
20zhh Ia 66.5826784703 -10.0991275863 15090 66.585625 -10.098444444439998 0.031268965412065176 1.934671752149282e-05 spu
21aceo Ia 136.354542 -7.814669 1012632 136.356842507275 -7.81402793389094 0.032657001 0.034077699999999995 pu
22uax Ia 300.663807143 -37.97019 9000000 300.662485091132 -37.9708567502954 0.04005530364280409 8.82058324078172e-06 spu
20fxa Ia 233.637667 37.533831 2103053 233.63792 37.53209 0.06422776653040418 1.6678204759907602e-05 spu
22ytc Ia 35.1588138 53.3609682 None 35.159 53.36125 0.034419 1.0 p
21kut Ia 157.87405495000002 6.24264155 1297053 157.87342 6.24374 0.031263628386542 1.0340486951142714e-05 spu
21lsr Ia 194.77490734167 -25.376379908333 None 194.7753476 -25.3774888 None None n
23hjq Ia 203.3031275 -16.140485 47717 203.301651 -16.139345000000002 0.02089445492321225 7.671974189557497e-05 spu
19klr Ia 16.6758338 49.2344258 2337088 16.6781 49.232886111111114 0.02221464209480339 4.637095049404155e-06 spu
21bpq Ia 152.542303837 6.75094279222 4226831 152.54197884416175 6.751394623474596 0.100659 0.0363217 pu
20zem Ia 20.2178481372 4.79557585589 4861 20.22279 4.80134 0.03401686642830755 3.1021460853428146e-05 spu
20mdd Ia 237.974188375 34.07338725 4119139 237.9740704022 34.0734602331 0.048780413281777756 1.6678204759907602e-05 spu
21kom Ia 156.2095 3.562081 3092308 156.21061851826 3.56232338636 0.045051833825652816 8.005538284755648e-06 spu
21ixf Ia 262.604875 37.010911 60411 262.6047125 37.00881694444445 0.04137081290646493 7.705309633225521e-07 spu
20cpn Ia 107.880367149 58.9515789126 2584632 107.87808333333 58.94938888889 0.08015545207611594 0.00012341871522331626 spu
21dev Ia 162.600624426 0.926926147397 1179328 162.60174 0.92739 0.054194158546843764 1.3342563807926082e-05 spu
19voo Ia 184.927208 -12.225731 39698 184.92583 -12.22556 0.01392963661547483 3.4357101805409666e-05 spu
19xbg Ia 158.28471846667 -22.1892658 155436 158.28192 -22.19472 0.07932988094050052 0.00014209830455441278 spu
20uzw Ia 27.1205251158 12.8961439663 1418379 27.12025 12.89663 0.07437478630633197 1.6678204759907602e-05 spu
19vnk Ia 60.1814571894 -9.00047911238 996518 60.17834 -8.99979 0.053284999000000006 0.0347584 pu
19fdc Ia 240.277677329 49.0097439736 2331090 240.27635708333332 49.00944972222222 0.042602806238707984 1.0006922855944561e-05 spu
20naj Ia 209.91275 29.710119 4395882 209.91267 29.71018 0.05733162788847198 2.3676960902996314e-06 spu
21hjc Ia 141.388792 -24.764981 786340 141.38836666666666 -24.764733333333332 0.053726168121280754 9.840140808345485e-05 spu
21vnx Ia 285.9034966 -27.4027573 9005145 285.904782 -27.4025169 0.04156688182792595 6.038301637797949e-06 spu
20yxd Ia 32.3069805428 33.0439144031 2021571 32.3092 33.04311 0.04602159395961616 3.962153021029591e-06 spu
21oat Ia 195.034417 28.170311 44717 195.03798 28.1704 0.022523248400064824 8.339102379953801e-06 spu
20nvb Ia 187.244917 3.572781 41101 187.24588 3.57058 0.002952042242503646 7.671974189557497e-06 spu
19ava Ia 113.245333 58.2789 21253 113.2455 58.281 0.03980753912094747 5.670589618368584e-05 spu
20rgz Ia 273.004417 51.724581 2398983 273.00588 51.72478 0.027721096279568154 3.7685842653456536e-07 spu
20wob Ia 348.404667 4.148939 1264183 348.40529 4.14933 0.04302073974248967 5.438541831586513e-06 spu
21dit Ia 217.841692922 55.7632480683 3487275 217.84224 55.76388 0.041538736775025877 1.3342563807926082e-05 spu
21aggu Ia 136.88 18.436031 25638 136.8803622 18.43542671 0.02911013858794273 6.671281903963041e-06 spu
19wfa Ia 326.253583 9.123831 1360013 326.2539 9.12241 0.06022160656053212 1.135894210805774e-05 spu
21knh Ia 137.536042 -27.62405 None 137.53528071 -27.6239099 None None n
20zj Ia 240.334917 16.677719 56704 240.33842 16.67661 0.03156750527726752 1.0006922855944561e-05 spu
21itd Ia 221.212833 43.316769 2217873 221.21262979 43.31714644 0.08007539669326838 3.0020768567833688e-05 spu
19nft Ia 32.151611298 6.1122095141 9005020 32.15103 6.1126 0.069246 0.0341207 sp
20smn Ia 271.973363344 30.5716406659 61434 271.9721375 30.570947222222223 0.07096272960654135 7.00108630333207e-07 spu
21glz Ia 246.21691151 45.1809340682 9005119 246.2168 45.18053 None None n
22yye Ia 8.0505845 30.7070905 None 8.052464 30.706604 0.064125 0.015 pu
19ecs Ia 160.885375 48.445639 3467998 160.88323333333332 48.44374722222222 0.041315248831243115 1.0006922855944561e-05 spu
21ydu Ia 37.16753 -31.7516466667 None None None None None None
21yeq Ia 242.506983333 -2.654 57346 242.50660833333333 -2.6570130555555553 0.04480432926701579 6.671281903963041e-05 spu
22rjx Ia 4.7945491 29.3322993 9005173 4.7942556 29.3318824 0.100671 0.0363221 pu
23fep Ia 207.1017364 -21.5307538 None 207.1022301 -21.5305958 0.106517 0.0365151 pu
20xpk Ia 24.431627033333 -22.704277766667 810119 24.432083333333335 -22.703333333333333 0.04119372689757057 2.648237058963665e-06 spu
21wjb Ia 300.208 -38.577231 63976 300.2097791666667 -38.57503611111112 0.02001117719912754 2.6685127615852164e-05 spu
22rhc Ia 231.251171 34.221717 9005171 231.255 34.2253 0.270475725238 0.041925699999999996 pu
20ver Ia 313.579416 9.1580717 3932181 313.57996 9.15697 0.09090481371485952 3.190995007118502e-07 spu
20zpi Ia 40.085208 -1.446861 10114 40.085591666666666 -1.4450611111111111 0.0370569695919435 0.00010740763865380498 spu
21gyh Ia 195.966109934 -3.4517535775 1071068 195.9646532127 -3.4544672373000003 0.08597814692189489 0.00014843602236317766 spu
21kld Ia 320.706119104 -20.1184801198 9005130 320.70536923205003 -20.1203621638 0.07132061365027212 2.201857548081443e-06 spu
19ktf Ia 353.124553511 -29.5603133302 3984862 353.12554 -29.56058 0.050151 0.015 pu
21bjz Ia 80.560875 -13.562661 147364 80.5646125 -13.561630555555556 0.055415003135269 0.00046365409232543135 spu
22nbq Ia 314.1885141 4.2516749 3932912 314.18891666667 4.25111111111 0.07552169732227385 2.4897770489959448e-06 spu
20tpf Ia 81.2790377 -21.246447575 3698393 81.2787875 -21.246444444444446 0.02886663679844808 0.0001300899971272793 spu
19amo Ia 211.841303027 -1.09237162209 184409 211.84189603 -1.09639357 0.05508811032197481 1.6678204759907602e-05 spu
22szq Ia 246.3796678 29.3981557 9005190 246.38006533700002 29.3986201381 None None n
21vxp Ia 55.7267580625 46.028137025 None 55.72661128 46.02821688 None None n
20uxz Ia 21.028708 12.921461 5139 21.016233333333332 12.9174575 0.008242368792346338 5.3370255231704335e-06 spu
20ymv Ia 37.6734993241 -14.5691276239 9005082 37.67396 -14.56887 0.06775664311213012 0.035527300000000005 sp
23guy Ia 193.9809658 7.9306281 1334625 193.98175 7.929158 0.04152872985216993 1.6678204759907602e-05 spu
19qeo Ia 140.731292 54.028231 9005023 140.73143 54.02788 0.05682346598600704 None sp
20uvf Ia 18.5113548219 14.3811226831 3338809 18.511108333333333 14.378491666666667 0.05951117022430231 1.3342563807926082e-05 spu
21vts Ia 244.60325 38.13335 9005146 244.60234274330003 38.13366445 None None n
22tiv Ia 320.989325625 -22.73549375 9005191 320.99301 -22.73432194444 None None n
21dsi Ia 179.879383317 -1.14649908803 1125620 179.8809 -1.14652 0.07658298061654373 1.0006922855944561e-05 spu
21cym Ia 124.553783174 10.8902587057 1385982 124.55287083333333 10.891644444444443 0.049414 0.015 pu
20ucf Ia 90.533875 46.508561 9005063 90.53082 46.51018 0.05632411213490663 7.73258581081293e-06 spu
21feg Ia 221.988858416 -22.1886776662 9005109 221.988928 -22.188459 0.05954354634794988 1.5485771442530494e-06 spu
20ywy Ia 15.1393817551 -1.685001207 3602 15.14211 -1.68466 0.042759914927546314 7.671974189557497e-05 spu
20ubu Ia 41.0569567715 -2.90416032306 None 41.057246 -2.90417715 None None n
20uvg Ia 16.5956133839 -20.6132090124 839274 16.59521 -20.61297 0.054759863773840685 5.576976883015644e-06 spu
21jje Ia 243.731399332 -1.67732217002 9005127 243.731786115424 -1.67761539394689 0.04948733561921573 9.408931384589925e-06 spu
21dgm Ia 237.571417195 8.35937396113 4479685 237.57131 8.35915 0.059387751509079 6.671281903963041e-06 spu
22szg Ia 33.0432302 -6.2108642 9005189 33.0426581 -6.2098934 0.06047200000000001 0.034995599999999995 pu
21abzi Ia 127.21563621 12.53838219 1411339 127.21550107 12.53795533 0.06715312364529197 2.0013845711889123e-05 spu
22rky Ia 318.6212385 -9.0476159 3939023 318.61416666667 -9.00808333333 0.029777266778339036 0.0001300899971272793 spu
22rjj Ia 10.12012515 -9.62573915 988586 10.1204 -9.624868 0.056188871836128716 2.0013845711889123e-05 spu
22ubg Ia 42.743198 41.062218 197718 42.74270833333 41.06191666667 0.011898231275718084 6.0041537135667375e-05 spu
20cdm Ia 188.755386936 -5.48857633754 41887 188.75163333333333 -5.490775 0.022898508007162744 8.038894694275465e-05 spu
19eow Ia 258.496638281 3.49240579181 1253351 258.49567 3.49369 0.07088920027991241 0.00019884536657518298 spu
19ens Ia 172.4275 24.640211 9005011 172.42719 24.64035 0.04808368991457631 None sp
22rdt Ia 5.185792566666667 28.4210278 9005170 5.18295833333 28.421833333330003 0.09054293836077758 1.0 sp
22ubr Ia 335.446431429 26.7252657143 9005193 335.4487975 26.7232694 None None n
21gba Ia 219.266182819 -8.07644043888 9005114 219.2662069 -8.0766318 0.10371728625978194 3.714039074446951e-06 spu
22rid Ia 357.9420093 3.8525757 3092389 357.941284 3.853305 0.074374 0.015 pu
20dxr Ia 176.106189182 53.5715556249 2444784 176.10673333333332 53.57150555555556 0.05524488544671795 1.0006922855944561e-05 spu
21klg Ia 139.59963285 39.380958975 2148789 139.59865208333332 39.381278333333334 0.027579079390983214 1.3342563807926082e-05 spu
21bjy Ia 132.389292 50.867689 24798 132.38429321908265 50.87429482911158 0.027289545756351216 9.339794665548258e-06 spu
22mq Ia 183.637167 -3.633269 4537039 183.6374555 -3.63314449 None None n
19njp Ia 51.690667 1.183289 5093996 51.69102 1.18283 0.04851356200561924 3.3356409519815205e-06 spu
19dpu Ia 196.076833 33.47105 4353541 196.07820833333332 33.469972222222225 0.06681694985686217 0.0349635 sp
22ojn Ia 270.825042 11.016833 9005167 270.82466666667005 11.017527777780002 0.053266999999999995 0.015 pu
20yav Ia 111.996042 53.068439 3721275 111.99483228 53.06867125 0.039466165154065244 0.015 sp
19cxx Ia 169.450779522 13.7282095222 1438811 169.4525 13.727777777777778 0.0247838122732227 1.6678204759907602e-05 spu
22vrj Ia 23.2446892 18.0761043 None 23.24366666667 18.07561111111 0.086987 1.0 p
19dfx Ia 191.818632654 -9.68711342907 987781 191.81775 -9.68759 0.054083999 0.034784800000000005 pu
19awc Ia 231.8757772 28.6994081401 55139 231.87684323 28.69985136 0.06422109524850021 1.3342563807926082e-05 spu
21die Ia 200.510971615 54.6909195545 2477215 200.5075 54.69027777777777 0.07926150030098489 2.6685127615852164e-05 spu
22yxp Ia 74.0234323 1.8185835 146708 74.02366084566 1.82033859215 0.027935992972845238 9.006230570350105e-05 spu
20cho Ia 160.961382879 18.658406394 32002 160.96217291666667 18.656436944444444 0.030226911178666143 1.1674743331935322e-05 spu
22kjk Ia 210.1899001 31.6238423 9005161 210.18886484360002 31.623904593899997 None None n
22rfj Ia 323.1717395 -7.2238804000000005 1022520 323.172394 -7.222767 0.08552583400880619 2.3349486663870643e-05 spu
22udc Ia 65.9631925 -10.30844 979833 65.96144370194 -10.30810594804 0.04601850257353706 0.00012008307427133475 spu
21accx Ia 355.0065 27.277081 9005097 355.00625 27.27432222222 0.03036994730899031 0.0349008 sp
21iio Ia 286.2489858 50.7340143 9005122 286.24780017 50.73411897 0.08612614054317996 1.6233154944630956e-06 spu
21lxb Ia 195.494375 28.008569 44945 195.48993425 28.00583554 0.025750481021106945 1.2675435617529778e-05 spu
19wzy Ia 29.9178682 5.9819679 9005027 29.91714 5.98217 0.07394090282154535 3.4134435550267628e-06 spu
22rmj Ia 257.3386738 4.1711825 9005174 257.3389019 4.1717452 0.051164999999999995 0.0346884 pu
19ywf Ia 44.676167 32.573011 2003105 44.67712 32.57375 0.038603646951112194 4.092500434905999e-06 spu
20aar Ia 32.405325571429 15.295854957143 3090578 32.4036 15.29604 0.041456 0.015 pu
19pff Ia 251.457667 45.086311 2258590 251.453225 45.08766111111111 0.05964793150333355 3.0020768567833688e-05 spu
19pdy Ia 37.9114636364 9.74770363636 1369486 37.9115 9.74777777778 0.06903231121005485 2.1120737496160835e-06 spu
20cvn Ia 108.405 42.781181 None 108.40629 42.77847 0.04735983735432441 0.015 sp
21wue Ia 18.9473908517 1.50580497958 3613260 18.95007525 1.50536651 0.07802827431826731 3.664716503745668e-06 spu
19xfx Ia 36.054917 -10.504261 977376 36.05446 -10.50442 0.070336 0.015 pu
21ash Ia 199.9281972 -4.52919029008 3274255 199.93042 -4.52811 0.03600157279473655 0.0002134810209268173 spu
22ssl Ia 343.443172 51.4641863 168057 343.446594 51.466136999999996 0.0359 0.015 pu
19oke Ia 316.564780499 -7.41986978638 3366683 316.56437916666664 -7.420130555555556 0.06934130410979185 6.671281903963041e-06 spu
19vpz Ia 19.639125 -0.228239 4690 19.64221 -0.22825 0.04724735270024705 1.3342563807926082e-05 spu
22aapl Ia 38.6689827273 -26.2295636364 None 38.667881 -26.229017 0.05783 0.0016770699999999997 spu
20eci Ia 230.812067754 0.0649405664894 1156245 230.81019166666667 0.06619444444444444 0.07091639376731752 7.338410094359346e-06 spu
21xgx Ia 253.789292 26.663631 59257 253.78991458333334 26.662928055555554 0.03438311980483512 6.537856265883781e-05 spu
19fyi Ia 215.321764828 35.5088184835 2065635 215.32247291666667 35.509368888888886 0.029773264009196658 1.6678204759907602e-05 spu
22qsn Ia 40.7493495 -19.1946022 858595 40.74886050623 -19.19478020621 0.062680997 0.0350685 pu
21vkc Ia 328.446634566 17.1708396512 9005144 328.444010965706 17.1726454146902 0.09556004247256183 2.3684034925752773e-06 spu
19opx Ia 28.1618995206 -6.35612392114 1033815 28.161 -6.35622 0.08786411831614524 1.6678204759907602e-05 spu
20rlj Ia 345.290059561 23.4872227538 3089722 345.29008625 23.484379444444446 0.03976084014761973 0.00012675435617529778 spu
21akx Ia 208.228023333 -28.5677566667 3082371 208.23138 -28.56675 0.04946388611283877 0.00014243186864961095 spu
21aip Ia 159.341910357 -7.36679945049 1020205 159.34333 -7.36639 0.029708141720976834 4.2958744270772675e-06 spu
20npb Ia 269.992583 44.862669 61249 269.9936666666667 44.857194444444445 0.038463275817298914 1.6678204759907602e-05 spu
20uec Ia 317.452208 15.148581 1476551 317.45308 15.14639 0.027094097333686527 2.7505581058212547e-06 spu
21hzo Ia 180.1670628 51.840922199999994 9005120 180.16707489689998 51.8408438865 0.128732 0.0372482 pu
20urj Ia 121.653625 10.457411 3726813 121.65362 10.45744 0.04182893753784827 6.671281903963041e-06 spu
19fcf Ia 265.073458 17.694211 1539132 265.07166666666666 17.693333333333335 0.055185037286178976 6.787446665823538e-07 spu
19vju Ia 166.000917 -18.776511 33430 165.99958 -18.78058 0.012730807257332671 6.47114344684415e-05 spu
21mku Ia 170.44322001875 -5.47923689375 1044207 170.44358 -5.47869 0.049823134643367184 0.00015010384283916842 spu
20cvo Ia 108.919708 30.769419 None 108.91926794 30.76938603 None None n
22rti Ia 324.240042271 15.0654228668 1474326 324.244019 15.067186999999999 0.116299 0.015 pu
20vnq Ia 26.946488233333 42.004506133333 2190703 26.94875 42.00611111111111 0.07943621982136113 5.632208257229376e-06 spu
22ruz Ia 8.9163659 28.5566723 9005179 8.9164083 28.5552923 0.06905700299999999 0.0352789 pu
21wus Ia 33.6768238827 16.0799805473 3634026 33.67492 16.08006 0.040489 0.015 pu
19ycb Ia 184.702667 5.737611 1288308 184.70312916666666 5.738216666666666 0.046035180778296964 2.0013845711889123e-05 spu
19iei Ia 209.030021 37.5643489 9005017 209.03192 37.56367 0.0614772448328356 None sp
21lny Ia 205.26646278 -25.60259172 9005134 205.2664454 -25.6023574 0.09510348953030158 4.67832785962935e-06 spu
22rng Ia 358.642304 -25.0945175 9005175 358.6423965 -25.094497600000004 0.14260699999999998 0.037706 pu
21gjm Ia 115.588417 12.165781 9005118 115.586913235054 12.1656838682754 0.045212676296850426 3.6503369177272316e-06 spu
21bto Ia 243.3626683 23.33755565 9005102 243.3618707007 23.3375716281 None None n
20aabz Ia 43.746 4.060281 3647265 43.74721 4.06094 0.026318207111134195 2.0013845711889123e-05 spu
19blm Ia 129.8341183 17.1880463 9005004 129.83490063 17.18841805 0.0707402458004069 0.037152 sp
21ymm Ia 78.787523244444 -16.027569955556 147181 78.78744159 -16.02830071 0.05937440894527106 0.00032022153139022597 spu
20jjh Ia 248.07225 50.190539 58466 248.06916666666666 50.18934722222222 0.047369437159089575 6.671281903963041e-05 spu
19bbd Ia 189.5266925 8.0462038 3792867 189.52610833333333 8.04588611111111 0.08594946040970784 1.0006922855944561e-05 spu
21btm Ia 236.63325 22.537439 9005101 236.63416328 22.53732624 0.04171236194956778 None sp
21ybw Ia 329.551549836 -11.4728143556 9005151 329.55192704 -11.47284893 0.08642891598111757 4.0482717710635385e-06 spu
19bcw Ia 191.3355198 42.0608683 4340197 191.33547 42.06085 0.04178617429791794 None sp
20jee Ia 175.56125 20.097519 36328 175.5608925 20.097811944444445 0.01981771002391261 4.903392199412835e-05 spu
20jsh Ia 146.589292 3.073269 28033 146.58783 3.07137 0.019971816635894157 8.005538284755648e-06 spu
19gip Ia 299.2558288 50.1785254 63857 299.2585945833333 50.18130333333333 0.031461765459089706 5.904084485007291e-05 spu
21wvj Ia 222.3415533 9.6752903 84305 222.34067820619998 9.6746019182 0.028159480916627996 6.671281903963041e-06 spu
22ik Ia 120.099069263 56.6165612701 9005160 120.09960153 56.61687814 0.064626999 0.0351327 pu
20ocv Ia 266.653851576 20.5047249554 1629162 266.65232 20.50392 0.062160237437430134 2.8118561104933937e-06 spu
19ihl Ia 335.5473205 -4.0067624 1064165 335.54733 -4.00669 None None n
19ged Ia 151.171708 40.04205 9005014 151.1717028926 40.042055057199995 0.0633899 None sp
20obe Ia 24.191333 -11.73425 962365 24.189295833333333 -11.735277777777776 0.04349809227021982 0.00013075712531767562 spu
21wuf Ia 269.010458 18.353911 61123 268.9990925 18.33824111111 0.010009591368706147 2.7352255806248466e-05 spu
20tul Ia 9.18183738753 33.105835644 9005058 9.18169 33.10625 0.06638652098037 4.6025096487462e-06 spu
21lat Ia 220.224124 24.971658 1721623 220.22216666666668 24.970852777777775 0.03385708922670763 8.005538284755648e-06 spu
22mto Ia 344.9198441 -9.5579911 9005163 344.9192647164 -9.5577040265 None None n
21huu Ia 178.611208 55.073981 3475597 178.60904166666666 55.073772222222225 0.046188620262088115 1.6678204759907602e-05 spu
20bpz Ia 175.244021829 -11.4492900885 965648 175.24304 -11.44886 0.039273106214959705 0.0358515 sp
21dov Ia 134.077958 -0.442139 25109 134.07801715370002 -0.4414986904 0.012698117976003254 1.0674051046340867e-05 spu
22mzs Ia 205.6478611 30.190925266666667 1893907 205.65097377959998 30.192014244899998 0.034737364873935556 4.3363332375759766e-05 spu
21mfg Ia 306.350542 -22.719769 None 306.350542 -22.719769 None None n
21abpz Ia 157.9797596 49.3655139 2340933 157.98227978 49.36569901 0.052118389182425666 1.3008999712727931e-05 spu
21adu Ia 92.225167 -39.693589 3707701 92.22029 -39.69128 0.053420289845984056 0.0001300899971272793 spu
21zqc Ia 278.108917 51.568781 2396225 278.10939698 51.56834979 0.033335374693592434 3.794588879554167e-06 spu
20uea Ia 37.8382026836 43.464791341 9595 37.840741666666666 43.465697222222225 0.01954352033765973 0.00022649002063954528 spu
21hlw Ia 150.97594894 49.41953297 2342426 150.97736333333333 49.41893972222222 0.05077412587877712 1.7011768855105755e-05 spu
19huq Ia 238.658534 24.6908221 9005016 238.65872 24.69007 None None n
19hvj Ia 231.278875 11.585211 3091171 231.27761 11.58613 0.08524263809198296 1.1674743331935322e-05 spu
20kbw Ia 231.493812695 46.3123614003 9005037 231.49377 46.3127 0.0763146331603018 None sp
22mzr Ia 202.487968 31.722591 9005164 202.4881095216 31.7224778894 0.110768 0.036655300000000016 pu
21hwk Ia 214.761322569 -7.39058508787 1019808 214.76148065348 -7.390050602179999 0.04111622062408591 5.7871304469971074e-06 spu
20kui Ia 200.363804707 48.441108682 9005041 200.36412 48.44089 0.096727204641164 None sp
20vnr Ia 0.818969997685 2.25217668166 9005071 0.8616666666666667 2.2372222222222224 None None n
20xcz Ia 288.9194564 55.6646826 None 288.91958 55.66475 0.057876 0.015 pu
21bnb Ia 79.7020475 -36.62507 17076 79.687725 -36.63436472222222 0.041943350022501234 7.772043418116943e-05 spu
22rvb Ia 290.8097173 41.9362622 2189433 290.80808333333 41.93636111111 None None n
19rrt Ia 154.332458 36.651061 2084426 154.33125 36.64981 0.03349650643979843 1.3342563807926082e-05 spu
21lma Ia 160.383852098 52.6510161544 2420226 160.38325416666666 52.650530555555555 0.06425445165802003 2.6685127615852164e-05 spu
20tzb Ia 28.9992978507 -2.34537900387 9005059 28.99872 -2.3455 0.115073 0.0367974 pu
21yam Ia 64.6615 35.660569 None None None None None None
20mbf Ia 305.886333 19.7111 5061218 305.88429 19.71006 0.04734942331337769 0.0001467682018871869 spu
20jgl Ia 142.243442219 -14.8055223401 26905 142.2456 -14.80756 0.00676534697880892 1.4343256093520538e-05 spu
23hnl Ia 325.546726667 -34.1630383333 None None None None None None
22rbp Ia 25.2798614 -13.3572934 939064 25.278737861859998 -13.35785930462 0.06610906802732176 0.00013175781760327006 spu
21lug Ia 259.59640083158 -0.38763241052632 None 259.5956656 -0.38759184 None None n
22ablu Ia 20.0294879 42.716813 None 20.03076848304 42.71698478252 0.047622 1.0 p
20jht Ia 179.80122268571 11.505493042857 1394626 179.8006 11.505463888888888 0.030441059327783362 1.0006922855944561e-05 spu
20ddk Ia 93.2479958 48.1585003 9005035 93.2457181 48.1583242 0.08056933 None sp
21ymj Ia 257.97575252 34.15365124 3879345 257.97538375 34.153418333333335 0.08409484404040611 1.6678204759907602e-05 spu
20mnv Ia 250.182625 40.414481 2165441 250.1812125 40.41466666666666 0.025886241607852592 1.6344640664709453e-05 spu
21pfs Ia 210.84825 -6.031639 50084 210.85850276 -6.03074443 0.008970539212163904 0.00012775504846089224 spu
21ihz Ia 228.36383990000002 25.20666325 54343 228.3661 25.20705 0.06976292912612232 1.5677512474313148e-05 spu
20clq Ia 68.356542 -4.265831 15518 68.3555075 -4.265356388888889 0.015020057642677588 6.47114344684415e-05 spu
20may Ia 185.995625 48.35525 2315646 185.99434 48.35418 0.05336358394980037 1.3342563807926082e-05 spu
21llv Ia 212.956705064 18.0085719096 1547706 212.95709583333334 18.009758333333334 0.08275391637770954 6.671281903963041e-06 spu
20mvp Ia 218.943917 24.726231 52171 218.9406012979 24.725796694 0.036059946511396226 3.3022845424617055e-05 spu
20qic Ia 3.773333 43.343289 9005050 3.77213 43.34255 0.04949142768274777 3.3019924915098087e-06 spu
22mvb Ia 240.53912 -6.43447666667 3857993 240.53912 -6.43447666667 0.029583799603124107 0.0001300899971272793 spu
20yjf Ia 145.648417 -3.490181 1070612 145.64918 -3.48879 0.03817874 None sp
19dwq Ia 223.565125 4.792989 53259 223.5598 4.79439 0.02754972575060578 7.338410094359346e-06 spu
21mim Ia 235.089020072 7.28152761418 55759 235.09314 7.28323 0.0382314487711362 0.00010674051046340866 spu
21hwx Ia 229.860873305 23.3976319294 3844278 229.8598125 23.39665 0.08748051960666736 2.3349486663870643e-05 spu
22ssj Ia 4.8940327 -17.5794803 9005187 4.89458788374 -17.5797283537 None None n
