objname,ra,dec,redshift,type
2006gt,14.072082999999996,-1.6294440000000001,0.0448,91bg-like
2005bl,181.05108300000003,20.406889000000003,0.0241,91bg-like
2008bt,162.570333,-12.108889000000001,0.0154,91bg-like
2024rkh,39.674869393939396,-7.284329595959594,0.07,91bg-like
2022dsu,211.37819727296457,15.720978545581074,0.07,91bg-like
2024xdl,307.58792983568077,-1.006360219092332,0.0213,91bg-like
2023fwb,320.9141468343343,39.58093253253254,0.027,91bg-like
2021fnr,219.50787937328693,10.184029029956164,0.026949,91bg-like
2019luv,328.81252061547866,-12.148993128173847,0.06,91bg-like
2022kbc,181.19546079545455,9.438258585858586,0.0687,91bg-like
2021zsz,92.63880211136023,-14.5388802815147,0.035746,91bg-like
2019noh,346.419824551167,27.665980505685262,0.0249,91bg-like
2021xfm,318.75354999999996,21.910097808471455,0.04,91bg-like
2024luo,10.074000000000003,2.756630125955916,0.017,91bg-like
2023fot,185.44815987312813,10.591425460844976,0.026467,91bg-like
2022uxl,52.15125125968992,5.789349160206718,0.031976,91bg-like
2020abpe,24.10233302981892,22.049802524849152,0.05,91bg-like
2022zsp,76.4069988957597,32.51907058892815,0.021652,91bg-like
2019moq,6.61545306532524,38.12324137395197,0.0596,91bg-like
2021cad,163.93943296347,24.027656048706287,0.041546,91bg-like
2019cp,163.70850884070268,-7.381001932161755,0.05,91bg-like
2020nta,241.8472786839667,13.892643780249184,0.033953,91bg-like
2024jgw,258.76195208333337,46.04488944444443,0.028,91bg-like
2024jhk,162.85119014583333,8.558319708333332,0.02315,91bg-like
2021qqr,257.3738177195767,-22.447687339506174,0.030955,91bg-like
2018efn,221.29055084876538,9.273519320987655,0.024,91bg-like
2018jag,15.951291157088145,10.592351598978283,0.04,91bg-like
2019be,195.06051126364426,27.9568287916317,0.02,91bg-like
2021uef,297.4017973635947,42.239851757603546,0.0304,91bg-like
2022zvu,148.46274731308415,-7.792682149532711,0.019323,91bg-like
2018eyi,246.30197356281022,40.840170014194435,0.03038,91bg-like
2021wzb,72.76725085251849,-5.956902174967433,0.0478,91bg-like
2021jvp,215.19557762991892,-19.786138547832795,0.044,91bg-like
2022aaok,138.75348656136188,22.589552084378578,0.027214,91bg-like
2018lph,250.9022414968312,33.53359999999999,0.08,91bg-like
2024abwg,100.83945120330459,63.64940000000001,0.05,91bg-like
2021bls,250.83637079999968,61.594866800000034,0.019,91bg-like
2021uve,29.135698606179833,3.8603543374421063,0.055,91bg-like
2022bsi,228.61520392495393,50.31702790669122,0.0369,91bg-like
2024zaj,41.46968,-17.04216,0.02439,91bg-like
2019cdc,212.20472932474505,35.61427630238157,0.02777,91bg-like
2021abzd,10.89953797101449,30.592321803542667,0.018086,91bg-like
2022ubt,289.11995835799416,41.88929164200576,0.052,91bg-like
2022xhh,64.1733765590963,-12.183590162533616,0.0315,91bg-like
2022rjs,244.1254436262394,21.25148270012508,0.037,91bg-like
2024zwb,320.50692137931037,7.144861072796934,0.029,91bg-like
2022abom,55.28807464968988,-2.8485621611592418,0.036,91bg-like
2019ahh,210.56307999999996,9.78315,0.0225,91bg-like
2022fjx,160.87567958821236,19.083001372625553,0.046,91bg-like
