index,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,uniquePspsSTid,primaryDetection,bestDetection,gippDetectID,gstackDetectID,gstackImageID,gra,gdec,graErr,gdecErr,gEpoch,gPSFMag,gPSFMagErr,gApMag,gApMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gnFrames,gxPos,gyPos,gxPosErr,gyPosErr,gpsfMajorFWHM,gpsfMinorFWHM,gpsfTheta,gpsfCore,gpsfLikelihood,gpsfQf,gpsfQfPerfect,gpsfChiSq,gmomentXX,gmomentXY,gmomentYY,gmomentR1,gmomentRH,gPSFFlux,gPSFFluxErr,gApFlux,gApFluxErr,gApFillFac,gApRadius,gKronFlux,gKronFluxErr,gKronRad,gexpTime,gExtNSigma,gsky,gskyErr,gzp,gPlateScale,rippDetectID,rstackDetectID,rstackImageID,rra,rdec,rraErr,rdecErr,rEpoch,rPSFMag,rPSFMagErr,rApMag,rApMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rnFrames,rxPos,ryPos,rxPosErr,ryPosErr,rpsfMajorFWHM,rpsfMinorFWHM,rpsfTheta,rpsfCore,rpsfLikelihood,rpsfQf,rpsfQfPerfect,rpsfChiSq,rmomentXX,rmomentXY,rmomentYY,rmomentR1,rmomentRH,rPSFFlux,rPSFFluxErr,rApFlux,rApFluxErr,rApFillFac,rApRadius,rKronFlux,rKronFluxErr,rKronRad,rexpTime,rExtNSigma,rsky,rskyErr,rzp,rPlateScale,iippDetectID,istackDetectID,istackImageID,ira,idec,iraErr,idecErr,iEpoch,iPSFMag,iPSFMagErr,iApMag,iApMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,inFrames,ixPos,iyPos,ixPosErr,iyPosErr,ipsfMajorFWHM,ipsfMinorFWHM,ipsfTheta,ipsfCore,ipsfLikelihood,ipsfQf,ipsfQfPerfect,ipsfChiSq,imomentXX,imomentXY,imomentYY,imomentR1,imomentRH,iPSFFlux,iPSFFluxErr,iApFlux,iApFluxErr,iApFillFac,iApRadius,iKronFlux,iKronFluxErr,iKronRad,iexpTime,iExtNSigma,isky,iskyErr,izp,iPlateScale,zippDetectID,zstackDetectID,zstackImageID,zra,zdec,zraErr,zdecErr,zEpoch,zPSFMag,zPSFMagErr,zApMag,zApMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,znFrames,zxPos,zyPos,zxPosErr,zyPosErr,zpsfMajorFWHM,zpsfMinorFWHM,zpsfTheta,zpsfCore,zpsfLikelihood,zpsfQf,zpsfQfPerfect,zpsfChiSq,zmomentXX,zmomentXY,zmomentYY,zmomentR1,zmomentRH,zPSFFlux,zPSFFluxErr,zApFlux,zApFluxErr,zApFillFac,zApRadius,zKronFlux,zKronFluxErr,zKronRad,zexpTime,zExtNSigma,zsky,zskyErr,zzp,zPlateScale,yippDetectID,ystackDetectID,ystackImageID,yra,ydec,yraErr,ydecErr,yEpoch,yPSFMag,yPSFMagErr,yApMag,yApMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ynFrames,yxPos,yyPos,yxPosErr,yyPosErr,ypsfMajorFWHM,ypsfMinorFWHM,ypsfTheta,ypsfCore,ypsfLikelihood,ypsfQf,ypsfQfPerfect,ypsfChiSq,ymomentXX,ymomentXY,ymomentYY,ymomentR1,ymomentRH,yPSFFlux,yPSFFluxErr,yApFlux,yApFluxErr,yApFillFac,yApRadius,yKronFlux,yKronFluxErr,yKronRad,yexpTime,yExtNSigma,ysky,yskyErr,yzp,yPlateScale,distance,SkyMapper_StarClass,gelong,g_a,g_b,g_pa,relong,r_a,r_b,r_pa,ielong,i_a,i_b,i_pa,zelong,z_a,z_b,z_pa,NED_name,NED_type,NED_vel,NED_redshift,NED_mag,NED_redshift_flag,g-r,r-i,i-z,z-y,g-rErr,r-iErr,i-zErr,z-yErr,gApMag_gKronMag,rApMag_rKronMag,iApMag_iKronMag,zApMag_zKronMag,yApMag_yKronMag,7DCD,hasSimbad,sourceClass
0,PSO J075714.233-194238.608,,,,84341193093487563,972337000033095,453028855447882,0,10069188850289,8434,1,909,9,0.960245308429231,972337,105479,3,436527104,52,119.30930675,-19.71072451,0.0010000000474974,0.0010000000474974,119.30932234,-19.71070971,0.0088600004091858,0.0151699995622038,56413.316875,2.3136000633239746,-0.4608418902330611,0.8208975991689348,-0.3372712319263209,126.66746716382252,-39.49230757440581,237.9688284191651,4.787834369065389,,10,49,15,5,8,10,11,1152110000009536,0,1,2614.0,2.523185193615887e+18,4356363.0,119.30930796,-19.7107257,0.0049657998606562,0.0053371801041066,56241.5377788,19.37619972229004,0.0081280004233121,19.39430046081543,0.0022940000053495,19.46929931640625,0.0099499998614192,102760453.0,128.0,0.0,7.0,719.843994140625,4310.009765625,0.019863199442625,0.02134869992733,1.3610399961471558,1.2396899461746216,88.69270324707031,0.2487089931964874,-0.5786190032958984,0.998100996017456,0.998100996017456,1.409019947052002,0.205935999751091,0.0006604209775105,0.222009003162384,1.0391900539398191,0.8541409969329834,6.449149805121124e-05,5.242030169938516e-07,6.342540291370824e-05,1.4551500271409168e-07,0.907841980457306,3.25,5.9195299400016665e-05,5.890149736842432e-07,2.5979700088500977,1134.0,-0.5554029941558838,-6.842069666390671e-08,5.147149977346999e-07,25.013599395751953,0.25,2614.0,2.5231826061665265e+18,4346724.0,119.3092927,-19.71074214,0.0077486000955104,0.0079761398956179,56174.2228842,18.552200317382812,0.013939999975264,18.860200881958008,0.0020379999186843,18.937599182128903,0.0244849994778633,102760453.0,128.0,0.0,2.0,719.8569946289062,4309.919921875,0.0309951994568109,0.0319053009152412,1.0995899438858032,1.0559699535369873,-65.71829986572266,0.225378006696701,-3.614539884170013e-15,0.9986969828605652,0.9978439807891846,1.4835799932479858,0.1154659986495971,-0.0035389598924666,0.1210540011525154,0.8224570155143738,0.6440969705581665,0.0001377629960188,1.9203700958314585e-06,0.0001037320034811,2.114570065714361e-07,0.8970549702644348,2.749929904937744,9.659650095272808e-05,2.365210093557834e-06,2.0561399459838867,880.0,-7.86761999130249,-2.52132998923571e-08,1.1913300568267005e-06,25.03470039367676,0.2499939948320388,2614.0,2.523182713540709e+18,4347124.0,119.30929647,-19.71073336,0.0043612900190055,0.0038719999138265,55826.2826334,18.63710021972656,0.0091869998723268,18.613300323486328,0.0016799999866634,18.714500427246097,0.012984000146389,35651585.0,0.0,0.0,4.0,719.8510131835938,4310.0,0.0174454003572464,0.0154882995411753,1.0378799438476562,0.9494979977607728,-58.505401611328125,0.4479750096797943,0.5068849921226501,0.9978039860725404,0.9978039860725404,1.488620042800903,0.161419004201889,-0.0075274198316037,0.1533239930868148,0.8374689817428589,0.7726370096206665,0.0001273980014957,1.1704199778250768e-06,0.0001302269956795,2.187180001556044e-07,0.8917940258979797,2.749959945678711,0.000118627998745,1.5402199551317608e-06,2.093669891357422,1035.0,0.6636959910392761,-9.531189704148346e-08,1.716819951980142e-06,25.037200927734375,0.2499960064888,2614.0,2.5231854123907835e+18,4357178.0,119.30931224,-19.71072504,0.0044114799238741,0.0038508700672537,55818.3483325,18.372299194335938,0.0096540004014968,18.454500198364254,0.0019600000232458,18.552799224853516,0.0133619997650384,35651585.0,0.0,0.0,9.0,719.8099975585938,4310.02978515625,0.017645800486207,0.0154034001752734,1.0466599464416504,0.9699749946594238,-42.4828987121582,0.2303930073976516,-0.1614760011434555,0.9970930218696594,0.9970930218696594,1.2222599983215332,0.1305689960718155,-0.0094445599243044,0.1325899958610534,0.7294480204582214,0.7197420001029968,0.0001625889999559,1.5696499531259178e-06,0.0001507279957877,2.954899969154212e-07,0.8817179799079895,2.5000100135803223,0.0001376809959765,1.8396599443804007e-06,1.8236199617385864,660.0,-1.4001200199127195,-1.1971199853633152e-07,2.155880110876751e-06,25.05069923400879,0.2500010132789612,2614,2523185084631091766,4355957,119.30930977,-19.71072351,0.0077932099811732,0.0073495102114975,55914.6863774,18.293399810791016,0.0194019991904497,18.299800872802734,0.0016370000084862,18.487499237060547,0.0303649995476007,35651585,0,0,7,719.81298828125,4310.06005859375,0.0311728008091449,0.0293979998677968,0.9608539938926696,0.8901200294494629,-10.695799827575684,0.8170329928398132,-0.7251840233802795,0.9962959885597228,0.9962959885597228,1.2673699855804443,0.1481940001249313,0.0019094200106337,0.1348239928483963,0.8144389986991882,0.7301430106163025,0.0001748340000631,3.392169901417219e-06,0.0001738059945637,2.8443599831007305e-07,0.8785349726676941,2.5,0.0001462109939893,4.439700205693953e-06,2.036099910736084,880.0,-0.3515389859676361,-1.422060051936569e-07,4.680789970734622e-06,25.034000396728516,0.25,0.0409625765694094,,,,,,,,,,,,,,,,,,WISEA J075714.24-194239.0,IrS,,,,,0.5340995788574219,0.2469005584716797,0.15880012512207387,0.15469932556151988,0.003068530542963638,0.002641182239783207,0.0025814724570121916,0.002553697147060974,-0.07499885559082031,-0.07739830017089488,-0.10120010375976918,-0.09829902648926137,-0.1876983642578125,7.689602378873403,0,1
2,PSO J075716.876-194231.090,,,,84341193204729944,972337000034243,453028855449030,0,10069189053254,8434,1,909,9,0.131668061140616,972337,105479,3,503635968,60,119.32031848,-19.70863624,0.0010000000474974,0.0010000000474974,119.32032583,-19.70862996,0.0068799997679889,0.0063100000843405,56132.64881944,1.4098999500274658,-0.4610055274774929,0.8208197542533775,-0.3372370600373325,126.6797754090598,-39.48768098695117,237.97240572851075,4.797780374791224,,10,64,16,10,8,16,14,1152110000009880,0,1,2077.0,2.5231851936158863e+18,4356363.0,119.32031837,-19.70863638,0.0048201298341155,0.0044529899023473,56241.5377788,19.64570045471191,0.0081979995593428,19.692399978637695,0.0026320000179111,19.747800827026367,0.0108759999275207,35651585.0,0.0,0.0,12.0,570.0040283203125,4338.2900390625,0.0192805007100105,0.0178120005875825,1.3529800176620483,1.2279800176620483,87.60430145263672,0.2556650042533874,0.0074874199926853,0.997752010822296,0.997752010822296,2.244649887084961,0.2317219972610473,0.0127314999699592,0.2324109971523285,1.0140700340270996,0.8694289922714233,5.031649925513193e-05,4.124850079278986e-07,4.820079993805848e-05,1.268529956632847e-07,0.902191996574402,3.25,4.58034010080155e-05,4.981760071132157e-07,2.535170078277588,1134.0,2.6743500232696533,-8.367339887627169e-08,5.057480052528263e-07,25.013599395751953,0.25,2077.0,2.523182606166526e+18,4346724.0,119.32031856,-19.70864073,0.0039144298061728,0.0036440000403672,56174.2228842,19.127099990844727,0.0080239996314048,19.142099380493164,0.0023209999781101,19.26810073852539,0.0109489997848868,35667969.0,0.0,0.0,8.0,569.7999877929688,4338.3701171875,0.0156580992043018,0.014576300047338,1.0993200540542605,1.0557899475097656,-65.73030090332031,0.2243530005216598,3.58912002411671e-05,0.9987220168113708,0.9987220168113708,1.5909500122070312,0.1770019978284835,-0.0004431779962033,0.1667390018701553,0.8337990045547485,0.682735025882721,8.112729847198352e-05,6.509520176223305e-07,8.001500100363046e-05,1.857169991126284e-07,0.8839020133018494,2.749929904937744,7.124450348783284e-05,7.800729804330331e-07,2.0845000743865967,880.0,4.132450103759766,-3.9321999878438874e-08,1.1877400538651273e-06,25.03470039367676,0.2499939948320388,2077.0,2.5231827135407084e+18,4347124.0,119.32031635,-19.70863792,0.0036025599110871,0.0031983898952603,55826.2826334,18.93269920349121,0.0075889998115599,18.864700317382812,0.0018860000418499,18.98390007019043,0.0109440004453063,35667969.0,0.0,0.0,8.0,569.8779907226562,4338.3701171875,0.0144105004146695,0.0127937998622655,1.0299099683761597,0.942736029624939,-58.52170181274414,0.4703910052776336,6.895979787202577e-09,0.998332977294922,0.998332977294922,1.6890599727630615,0.1680839955806732,-0.0011229499941691,0.1702940016984939,0.8913379907608032,0.6960610151290894,9.703359683044256e-05,7.363699978668592e-07,0.0001033029984682,1.9480100377222698e-07,0.8839020133018494,2.749959945678711,9.256000339519233e-05,1.012930056276673e-06,2.228339910507202,1035.0,5.793439865112305,-1.4321399532946089e-07,1.7592500398677655e-06,25.037200927734375,0.2499960064888,2077.0,2.523185412390783e+18,4357178.0,119.32031561,-19.70863527,0.0039324602112174,0.0034327199682593,55818.3483325,18.71129989624023,0.0086059998720884,18.6299991607666,0.0021250001154839,18.714099884033203,0.0147529998794198,35667969.0,0.0,0.0,16.0,570.0670166015625,4338.31005859375,0.0157297998666763,0.0137307997792959,1.0462000370025637,0.969116985797882,-41.96699905395508,0.2267470061779022,2.8554098969450353e-19,0.997246026992798,0.997246026992798,1.3406699895858765,0.154558002948761,-0.000245665985858,0.1433670073747635,1.0145699977874756,0.7465829849243164,0.0001189800022984,1.023920049192384e-06,0.0001282300072489,2.7254600354353897e-07,0.8817179799079895,2.5000100135803223,0.0001186790032079,1.750929982335947e-06,2.5364298820495605,660.0,8.974149703979492,-1.7312399336333328e-07,2.1634300537698437e-06,25.05069923400879,0.2500010132789612,2077,2523185084631091229,4355957,119.32031845,-19.7086322,0.0075997100211679,0.007167019881308,55914.6863774,18.638099670410156,0.0189210008829832,18.61289978027344,0.0018899999558925,18.798799514770508,0.0307059995830059,35667969,0,0,13,569.9959716796875,4338.35986328125,0.0303987991064786,0.0286681000143289,0.9546719789505004,0.8861420154571533,-10.82040023803711,0.8005269765853882,6.592120183057658e-10,0.9969940185546876,0.9969940185546876,1.320539951324463,0.1681420058012008,0.0079155601561069,0.1496440023183822,0.8355590105056763,0.6354889869689941,0.0001272749941563,2.408120053587482e-06,0.0001302739983657,2.4625299488434393e-07,0.8817179799079895,2.5,0.0001097720014513,3.370689910298097e-06,2.088900089263916,880.0,6.175580024719238,-1.722939941828372e-07,4.5942501856188755e-06,25.034000396728516,0.25,0.0404611301841947,,,,,,,,,,,,,,,,,,WISEA J075716.98-194231.2,IrS,,,,,0.5503005981445312,0.27739906311035156,0.23470115661621094,0.01709938049316051,0.0035091972005960445,0.0029906582981418838,0.0028412359368177103,0.002843892635821585,-0.055400848388671875,-0.12600135803222656,-0.11919975280761719,-0.08410072326660156,-0.18589973449706676,7.934453305743149,0,1
4,PSO J075707.849-194204.612,,,,84351192827178797,972337000030351,453028855445138,0,10069189556254,8435,1,908,0,0.830380232846718,972337,105479,3,168091648,20,119.28270808,-19.70128123,0.0010000000474974,0.0010000000474974,119.28272944,-19.7012491,0.0200900007039308,0.0255900006741285,56312.2183912,3.4521000385284424,-0.4604880671028478,0.8211599653757934,-0.3371157832554103,126.6329831016616,-39.48946715246647,237.9477331423837,4.77127061206079,,10,42,11,8,10,9,4,1152110000008684,1,1,3976.0,2.5231851936158884e+18,4356363.0,119.28270918,-19.7012825,0.0270006991922855,0.0249441005289554,56241.5377788,21.677200317382812,0.0459210015833377,21.745500564575195,0.0067750001326203,21.770599365234375,0.0670949965715408,35651585.0,0.0,196608.0,10.0,1079.469970703125,4450.6298828125,0.1080029979348182,0.0997764989733696,1.3767499923706057,1.2635999917984009,-87.34700012207031,0.2224349975585937,-0.9626669883728028,0.9991999864578248,0.9991999864578248,1.5097999572753906,0.2401449978351593,0.0052265301346778,0.2093140035867691,0.947808027267456,0.814100980758667,7.74672025727341e-06,3.55740013446848e-07,7.27420001567225e-06,4.9279698544069106e-08,0.9003080129623413,3.25,7.108239969966235e-06,4.769290171680041e-07,2.3695199489593506,1134.0,-0.0468065999448299,-3.388399960613242e-08,5.033970182921621e-07,25.013599395751953,0.25,3976.0,2.523182606166528e+18,4346724.0,119.28271253,-19.70128588,0.0132224997505545,0.0123089998960495,56174.2228842,20.39259910583496,0.0271039996296167,20.406999588012695,0.0041559999808669,20.51490020751953,0.0412050001323223,35651585.0,32.0,65536.0,6.0,1079.22998046875,4450.7099609375,0.0528913997113704,0.0492372997105121,1.0991499423980713,1.0563600063323977,-65.55069732666016,0.2205010056495666,-0.940487027168274,0.998881995677948,0.0,1.298490047454834,0.1577340066432953,-0.0033688799012452,0.1586419939994812,0.8337649703025818,0.7478799819946289,2.5289900804637e-05,6.854480147922004e-07,2.495640001143329e-05,1.0371900316386019e-07,0.8891630172729492,2.749929904937744,2.2596499547944404e-05,9.310940072282392e-07,2.0844099521636963,880.0,-0.0746572986245155,-2.0878999862361525e-08,1.1703400559781585e-06,25.03470039367676,0.2499939948320388,3976.0,2.5231827135407104e+18,4347124.0,119.28270323,-19.70128731,0.0116605004295706,0.0103522995486855,55826.2826334,20.006099700927734,0.0245629996061325,20.096799850463867,0.0033259999472647,20.204200744628903,0.0396680012345314,35651585.0,0.0,196608.0,6.0,1079.4000244140625,4450.64990234375,0.0466426014900207,0.0414098985493183,1.0671199560165403,0.9705950021743774,-55.94179916381836,0.3703739941120147,-0.0291648991405963,0.9996299743652344,0.9951379895210266,1.5375399589538574,0.1411119997501373,0.0024848498869687,0.1393910050392151,0.778685986995697,0.7104650139808655,3.610270141507499e-05,8.867870064932504e-07,3.321030089864507e-05,1.104509976812551e-07,0.8839020133018494,2.749959945678711,3.008159910677932e-05,1.193270009025582e-06,1.946720004081726,1035.0,-2.1812500953674316,-2.9926198408247735e-08,1.5716300367785152e-06,25.037200927734375,0.2499960064888,3976.0,2.523185412390785e+18,4357178.0,119.28270987,-19.70128829,0.013434899970889,0.0117276003584265,55818.3483325,19.767799377441406,0.0294010005891323,19.943199157714844,0.0038910000585019,19.96529960632324,0.046179998666048,35651585.0,0.0,196608.0,10.0,1079.47998046875,4450.5498046875,0.0537393018603324,0.0469102002680301,1.0448700189590454,0.971239984035492,-41.9025993347168,0.2196300029754638,-0.1627749949693679,0.9986640214920044,0.9986640214920044,1.3143399953842163,0.1190069988369941,-0.0025229200255125,0.1352719962596893,0.7279040217399597,0.7164170145988464,4.496680048760027e-05,1.3220600294516771e-06,3.8257898268057033e-05,1.4887000077123957e-07,0.8689860105514526,2.5000100135803223,3.7486101064132527e-05,1.731110046421236e-06,1.819759964942932,660.0,-1.395799994468689,-8.276020224684545e-08,2.052280024145148e-06,25.05069923400879,0.2500010132789612,3976,2523185084631093128,4355957,119.2827015,-19.70127529,0.0210884008556604,0.0198877993971109,55914.6863774,19.577600479125977,0.0525030009448528,19.51930046081543,0.0028699999675154,19.661699295043945,0.0793619975447654,35651585,0,196608,11,1079.56005859375,4450.75,0.0843536034226417,0.0795509964227676,0.9712769985198976,0.8926159739494324,-10.366399765014648,0.850013017654419,0.1543129980564117,0.9972800016403198,0.9972800016403198,1.3291800022125244,0.1548800021409988,-0.0120280999690294,0.168405994772911,0.8238040208816528,0.7504910230636597,5.357429836294614e-05,2.8127899440733017e-06,5.653080006595701e-05,1.622170060500139e-07,0.8658030033111572,2.5,4.958139834343456e-05,3.934890173695749e-06,2.0595099925994873,880.0,1.4244600534439087,-1.338070063638952e-07,4.587549938150914e-06,25.034000396728516,0.25,0.0397198167595814,,,,,,,,,,,,,,,,,,,,,,,,1.3385009765625,0.3101997375488281,0.15360069274902344,0.42389869689941406,0.007948142087178032,0.005323026534798644,0.005118804265105922,0.004834954112377923,-0.025098800659179688,-0.10790061950683594,-0.10740089416503551,-0.022100448608394885,-0.14239883422851562,35.29701965963581,0,1
5,PSO J075708.959-194203.143,,,,84351192873919369,972337000030858,453028855445645,0,10069189542284,8435,1,908,0,0.166169345533633,972337,105479,3,436527104,52,119.2873322,-19.70087323,0.0010000000474974,0.0010000000474974,119.28734617,-19.70084747,0.0140699995681643,0.0178999993950128,56421.10767361,2.55679988861084,-0.4605553883232208,0.8211249189234449,-0.3371091838105471,126.63830194613178,-39.487982654853035,237.94963813754617,4.775201181510567,,10,50,16,8,8,10,8,1152110000008841,1,1,3749.0,2.523185193615888e+18,4356363.0,119.28733195,-19.70087595,0.0115708000957965,0.0106894997879862,56241.5377788,20.769100189208984,0.0196790006011724,21.240699768066406,0.0053690001368522,21.091400146484375,0.0334190018475055,35651585.0,0.0,196608.0,12.0,1016.6300048828124,4455.72021484375,0.0462832003831863,0.042757898569107,1.372979998588562,1.258520007133484,-87.98480224609375,0.2255180031061172,-7.17187020882193e-08,0.9990360140800476,0.9990360140800476,1.6415799856185913,0.1936880052089691,0.0041855699382722,0.1963070034980774,0.947808027267456,0.6690189838409424,1.7880100131151266e-05,3.518620133036166e-07,1.1580799764487892e-05,6.217909742645135e-08,0.904075026512146,3.25,1.3286899957165588e-05,4.440420013906987e-07,2.3695199489593506,1134.0,-5.386809825897217,-3.4564198614361885e-08,5.070149882158148e-07,25.013599395751953,0.25,3749.0,2.5231826061665275e+18,4346724.0,119.28732727,-19.70087346,0.0086916098371148,0.0080911396071314,56174.2228842,19.87969970703125,0.0178159996867179,19.96299934387207,0.0033869999460875,20.054000854492188,0.026783000677824,35651585.0,0.0,196608.0,6.0,1016.510009765625,4455.89013671875,0.0347672998905181,0.0323652997612953,1.0982199907302856,1.0550600290298462,-65.78099822998047,0.2201180011034011,-0.0789266005158424,0.9984840154647828,0.9984840154647828,1.3552500009536743,0.148729994893074,-0.0074976999312639,0.1542059928178787,0.8224570155143738,0.7302510142326355,4.056249963468872e-05,7.226680054372991e-07,3.756590012926608e-05,1.2725099907129336e-07,0.8733789920806885,2.749929904937744,3.4546199458418414e-05,9.252399877368588e-07,2.0561399459838867,880.0,-1.7569500207901,-1.3834999812445405e-08,1.1845800145238172e-06,25.03470039367676,0.2499939948320388,3749.0,2.52318271354071e+18,4347124.0,119.28733659,-19.70086506,0.0097187003120779,0.0086283795535564,55826.2826334,19.50950050354004,0.0204729996621608,19.75819969177246,0.0028460000175982,19.843700408935547,0.0406039990484714,35651585.0,0.0,196608.0,4.0,1016.4199829101562,4455.97021484375,0.03887540102005,0.0345140993595123,1.061859965324402,0.9667230248451232,-56.020599365234375,0.3835879862308502,-1.6832000238053981e-09,0.9979779720306396,0.9979779720306396,1.3365800380706787,0.1281079947948455,-0.0117076002061367,0.1289850026369094,0.7749000191688538,0.66982102394104,5.7044100685743615e-05,1.1678399687298224e-06,4.536599954008125e-05,1.2909200108879304e-07,0.8812710046768188,2.749959945678711,4.193109998595901e-05,1.7025599845510442e-06,1.937250018119812,1035.0,-6.025760173797607,-2.5350200161256e-08,1.5972400433383882e-06,25.037200927734375,0.2499960064888,3749.0,2.5231854123907845e+18,4357178.0,119.28733453,-19.70087906,0.0090148700401186,0.0078692696988582,55818.3483325,19.421199798583984,0.0197279993444681,19.656999588012695,0.0034109998960047,19.685300827026367,0.0321279987692832,35651585.0,0.0,196608.0,11.0,1016.6199951171876,4455.68994140625,0.0360593013465404,0.0314768999814987,1.0448100566864014,0.9708430171012878,-41.75199890136719,0.2190610021352768,-0.0002314640005351,0.998278021812439,0.998278021812439,1.3353699445724487,0.1228320002555847,-0.0076946001499891,0.12168800085783,0.7279040217399597,0.6334090232849121,6.187539838720113e-05,1.220690023728821e-06,4.97979017382022e-05,1.6984400019737222e-07,0.872169017791748,2.5000100135803223,4.851420089835301e-05,1.558679969093646e-06,1.819759964942932,660.0,-3.681940078735352,-9.867589767509345e-08,2.0495799617492594e-06,25.05069923400879,0.2500010132789612,3749,2523185084631092901,4355957,119.28733246,-19.70085472,0.0150023996829986,0.0141482995823025,55914.6863774,19.27560043334961,0.0373510010540485,19.18819999694824,0.0024639999028295,19.35849952697754,0.0631479993462562,35651585,0,196608,11,1016.6199951171876,4456.0400390625,0.0600096993148326,0.0565930008888244,0.9690189957618712,0.8913959860801697,-10.410699844360352,0.844215989112854,0.6278859972953796,0.9967679977416992,0.9967679977416992,1.2676700353622437,0.1675850003957748,-0.0020818600896745,0.1257410049438476,0.9155309796333312,0.7770429849624634,7.075670146150514e-05,2.6428099317854503e-06,7.668390026083216e-05,1.8893200603997687e-07,0.8817179799079895,2.5,6.555450090672821e-05,4.139660177315818e-06,2.288830041885376,880.0,0.4847050011157989,-1.4258300495839649e-07,4.637040092347888e-06,25.034000396728516,0.25,0.0368810862435418,,,,,,,,,,,,,,,,,,,,,,,,1.277700424194336,0.20479965209960938,0.10120010375976562,0.4687995910644567,0.0063480651465084754,0.0044239670811349495,0.004442368331274775,0.004207875451066471,0.14929962158203125,-0.09100151062011719,-0.08550071716308594,-0.028301239013671875,-0.17029953002930043,56.89278755621137,0,1
