2019ahh 0.0225 210.56307999999996 9.78315
filter ATgr
58491.664214 21.292 0.932
58491.669261 21.29 1.253
58491.680686 18.59 0.856
58518.619438 17.27 0.021
58518.628334 17.205 0.022
58518.636664 17.268 0.021
58518.645475 17.207 0.022
58575.513491 22.046 1.357
58575.526359 19.373 0.134
58575.536233 19.655 0.203
58578.502394 19.539 0.156
58578.511744 20.11 0.261
58578.52097 20.097 0.28
58578.530258 19.965 0.236
58582.492926 19.819 0.176
58582.503248 19.632 0.157
58582.512628 21.507 0.859
58582.522046 19.742 0.194
58607.468377 20.828 0.585
58607.489763 21.979 2.111
58610.44735 20.52 0.337
58610.456412 19.92 0.22
58610.46548 21.22 0.778
58610.474648 20.933 0.512
58611.392449 19.879 0.2
58611.394921 20.719 0.422
58611.401753 23.259 5.6
58611.419924 21.371 0.667
filter ATri
58495.676209 20.606 1.7
58498.660145 20.604 0.497
58498.668749 20.035 0.298
58501.562621 15.988 0.025
58501.570269 20.904 1.185
58501.579811 20.337 0.648
58503.590958 18.111 0.097
58503.591415 18.744 0.185
58503.593234 18.731 0.159
58503.594149 18.615 0.139
58503.60991 18.491 0.139
58503.610378 18.732 0.17
58503.613076 18.476 0.116
58503.626277 18.602 0.144
58504.621951 18.123 0.14
58504.623814 18.683 0.212
58504.639943 18.086 0.134
58504.649546 18.122 0.113
58505.633008 18.082 0.125
58505.642979 18.084 0.118
58505.654262 18.172 0.116
58505.66124 18.125 0.108
58507.601264 17.459 0.048
58507.610539 17.438 0.051
58507.619438 17.535 0.056
58507.631384 17.376 0.049
58508.585663 17.403 0.072
58508.593677 17.428 0.077
58508.598899 17.657 0.103
58508.601728 17.229 0.067
58508.6069 17.801 0.105
58508.609724 17.364 0.079
58508.614927 17.163 0.072
58508.622921 16.85 0.064
58510.594118 16.856 0.119
58510.60324 17.227 0.056
58510.612077 17.069 0.028
58510.62137 17.063 0.029
58513.610858 17.025 0.023
58513.620671 16.978 0.023
58513.630228 17.051 0.026
58513.640631 16.971 0.025
58516.614802 17.034 0.024
58516.616192 17.112 0.027
58516.62519 17.242 0.029
58516.625651 16.996 0.023
58520.603413 17.263 0.028
58520.61226 17.175 0.028
58520.621143 17.289 0.03
58520.630044 17.252 0.026
58528.585952 17.73 0.051
58528.594773 17.725 0.052
58528.603153 17.859 0.062
58528.611969 17.809 0.05
58532.599364 18.278 0.14
58532.607073 18.229 0.14
58532.618358 18.048 0.119
58532.625935 16.838 0.046
58536.516576 18.066 0.262
58536.525868 18.389 0.356
58536.53482 18.397 0.46
58536.543171 18.433 0.484
58541.568104 19.367 0.235
58541.573083 19.217 0.183
58541.573545 18.211 0.082
58541.587958 18.702 0.12
58541.588947 18.806 0.114
58541.600925 19.079 0.151
58541.601391 18.935 0.162
58541.603515 18.734 0.113
58545.533822 18.159 0.079
58545.550322 19.428 0.243
58545.555835 20.133 0.406
58545.556762 19.49 0.231
58545.56929 19.131 0.169
58545.56975 19.118 0.16
58545.573877 19.776 0.291
58557.485475 19.377 0.227
58557.499202 19.927 0.323
58557.507126 20.341 0.415
58557.518196 19.88 0.27
58560.495539 19.459 0.344
58560.512883 19.361 0.255
58560.513342 19.871 0.41
58560.522604 20.322 0.631
58561.507983 19.282 0.281
58561.524561 19.104 0.329
58561.543856 20.557 1.414
58565.496657 19.745 0.622
58565.501322 19.236 0.39
58565.516014 19.905 0.815
58566.521033 22.485 6.0
58566.530139 19.388 0.349
58566.538688 18.548 0.555
58566.549485 19.422 0.489
58568.510566 20.663 0.802
58568.519378 21.177 1.286
58568.527617 19.598 0.335
58568.536426 21.891 2.853
58570.510879 21.079 0.736
58570.519763 20.957 0.814
58570.529165 20.141 0.38
58570.537961 20.443 0.432
58572.50856 20.978 0.722
58572.525504 19.901 0.252
58572.534225 19.78 0.256
58577.507894 21.199 0.821
58577.519804 21.513 1.255
58580.489167 20.211 0.406
58580.498187 23.048 6.0
58580.507679 20.898 0.967
58580.516654 20.641 0.741
58584.484896 22.555 4.286
58584.49333 17.818 0.098
58584.502336 20.583 1.032
58590.441847 20.923 2.234
58590.462178 21.532 2.775
58590.477659 20.521 1.205
58595.439108 20.384 0.738
58595.454592 19.478 0.275
58595.461038 20.745 0.865
58595.473497 20.052 0.543
58596.466299 20.914 1.188
58605.448395 21.74 1.7
58605.46754 22.034 2.483
58612.330252 21.275 1.158
58612.332279 20.564 0.655
58612.337451 22.331 3.2
