2024epl 0.0575 263.5201249 49.3788441
filter ATri
60683.649692 20.086 0.402
60683.653887 20.636 0.591
60691.618608 20.353 1.289
60691.636515 21.524 3.111
60693.652524 21.416 1.592
60695.653317 20.558 0.8
60697.650401 20.179 0.433
60697.658643 22.067 2.5
60709.644567 21.171 0.975
60709.654361 22.378 3.586
60710.624308 22.846 4.824
60710.634015 21.09 1.013
60710.669061 20.557 1.533
