2004ef 0.031 340.54174999999987 19.994556
filter B
53255.69 17.97 0.005
53256.65 17.756 0.007
53257.66 17.552 0.008
53258.63 17.416 0.008
53259.63 17.273 0.005
53260.66 17.182 0.006
53261.6 17.113 0.007
53262.57 17.082 0.006
53263.6 17.06 0.009
53264.6 17.054 0.005
53265.65 17.087 0.005
53266.63 17.105 0.005
53267.62 17.149 0.007
53268.64 17.215 0.005
53269.59 17.328 0.009
53270.59 17.381 0.007
53271.6 17.478 0.008
53272.65 17.588 0.008
53273.69 17.722 0.011
53274.64 17.827 0.014
53275.68 17.925 0.016
53276.65 18.105 0.025
53277.6 18.198 0.018
53278.61 18.322 0.016
53279.62 18.497 0.015
53280.61 18.606 0.015
53281.61 18.74 0.011
53287.62 19.351 0.013
53289.63 19.553 0.015
53290.61 19.64 0.022
53291.6 19.705 0.018
53292.6 19.802 0.02
53294.61 19.915 0.02
53295.64 19.939 0.018
53300.6 20.136 0.037
53301.59 20.119 0.071
53302.61 20.228 0.08
53303.6 20.121 0.099
53305.61 20.317 0.076
53309.61 20.461 0.083
53310.6 20.359 0.045
53321.59 20.426 0.03
filter V0
53255.69 17.875 0.006
53256.65 17.644 0.007
53257.66 17.476 0.007
53258.63 17.334 0.006
53259.63 17.209 0.005
53260.66 17.104 0.006
53261.6 17.028 0.006
53262.57 16.994 0.005
53263.6 16.949 0.007
53264.6 16.919 0.007
53265.65 16.91 0.005
53266.63 16.914 0.005
53267.62 16.929 0.007
53268.64 16.952 0.005
53270.59 17.015 0.005
53271.6 17.063 0.006
53272.65 17.125 0.006
53273.69 17.191 0.007
53274.64 17.267 0.008
53275.68 17.319 0.012
53276.65 17.415 0.014
53277.6 17.48 0.012
53278.61 17.551 0.011
53279.62 17.612 0.009
53280.61 17.692 0.008
53281.61 17.767 0.008
53287.62 18.165 0.008
53289.63 18.353 0.009
53290.61 18.429 0.01
53291.6 18.528 0.01
53292.6 18.607 0.011
53294.61 18.743 0.01
53295.64 18.834 0.01
53300.6 19.028 0.016
53301.59 19.111 0.025
53302.61 19.08 0.027
53303.6 19.174 0.035
53305.61 19.182 0.027
53308.61 19.262 0.028
53309.61 19.256 0.027
53310.6 19.315 0.017
53311.61 19.343 0.014
53321.59 19.599 0.02
53329.57 19.761 0.037
filter g
53255.69 17.861 0.005
53256.65 17.645 0.006
53257.66 17.454 0.005
53258.63 17.305 0.005
53259.63 17.179 0.005
53260.66 17.072 0.005
53261.6 17.006 0.006
53262.57 16.97 0.005
53263.6 16.93 0.006
53264.6 16.923 0.005
53265.65 16.931 0.005
53266.63 16.958 0.005
53267.62 16.998 0.005
53268.64 17.034 0.007
53271.6 17.237 0.005
53272.65 17.328 0.006
53273.69 17.419 0.009
53274.64 17.505 0.01
53275.68 17.639 0.014
53276.65 17.726 0.018
53277.6 17.833 0.016
