2009aa 0.0273 170.9261670000001 -22.270693999999988
filter B
54869.68 17.222 0.01
54870.83 17.007 0.009
54871.79 16.828 0.009
54872.79 16.724 0.009
54873.77 16.611 0.009
54874.71 16.544 0.008
54878.76 16.415 0.009
54879.79 16.423 0.005
54883.77 16.595 0.007
54884.73 16.669 0.012
54888.65 17.021 0.009
54898.68 18.246 0.019
54900.69 18.447 0.025
54902.67 18.643 0.036
54908.67 19.084 0.021
54911.74 19.325 0.025
54914.66 19.405 0.031
54915.65 19.42 0.028
54917.73 19.557 0.034
54928.6 19.764 0.057
54931.64 19.825 0.081
54938.65 20.003 0.048
filter V
54869.68 17.266 0.008
54870.83 17.044 0.008
54871.79 16.88 0.008
54872.79 16.748 0.008
54873.77 16.658 0.008
54874.71 16.595 0.007
54878.76 16.428 0.008
54879.79 16.417 0.006
54883.77 16.492 0.006
54884.73 16.513 0.008
54888.65 16.697 0.005
54898.68 17.396 0.01
54900.69 17.523 0.014
54902.67 17.653 0.014
54908.67 18.075 0.013
54911.74 18.282 0.014
54914.66 18.434 0.015
54915.65 18.461 0.015
54917.73 18.583 0.017
54928.6 18.858 0.026
54931.64 18.947 0.031
54938.65 19.125 0.016
filter g
54869.68 17.15 0.006
54870.83 16.918 0.007
54871.79 16.757 0.006
54872.79 16.633 0.006
54873.77 16.538 0.007
54874.71 16.471 0.005
54878.76 16.322 0.008
54879.79 16.32 0.004
54883.77 16.45 0.006
54884.73 16.498 0.008
54888.65 16.794 0.006
54898.68 17.814 0.01
54900.69 18.03 0.013
54902.67 18.201 0.018
54908.67 18.68 0.017
54911.74 18.866 0.02
54914.66 19.017 0.032
54915.65 19.069 0.026
54917.73 19.14 0.021
54928.6 19.337 0.029
54931.64 19.427 0.04
54938.65 19.571 0.025
filter i
54869.68 17.371 0.009
54870.83 17.164 0.009
54871.79 17.022 0.009
54872.79 16.945 0.008
54873.77 16.904 0.013
54874.71 16.874 0.009
54878.76 16.931 0.01
54879.79 16.995 0.008
54883.77 17.097 0.007
54884.73 17.148 0.009
54888.65 17.463 0.01
54898.68 17.507 0.009
54900.69 17.521 0.013
54902.67 17.469 0.014
54908.67 17.62 0.012
54911.74 17.821 0.013
54914.66 18.055 0.015
54915.65 18.125 0.016
54917.73 18.237 0.017
54928.6 18.727 0.025
54931.64 18.771 0.031
54938.65 19.076 0.025
filter r
54869.68 17.204 0.007
54870.83 16.979 0.007
54871.79 16.822 0.007
54872.79 16.727 0.006
54873.77 16.624 0.01
54874.71 16.562 0.006
54878.76 16.41 0.009
54879.79 16.403 0.005
54883.77 16.465 0.005
54884.73 16.504 0.007
54888.65 16.744 0.007
54898.68 17.147 0.006
54900.69 17.18 0.01
54902.67 17.273 0.01
54908.67 17.597 0.011
54911.74 17.809 0.011
54914.66 18.004 0.015
54915.65 18.043 0.014
54917.73 18.147 0.017
54928.6 18.516 0.021
54931.64 18.557 0.026
54938.65 18.84 0.02
