2009ag 0.0086 107.92004199999998 -26.685082999999995
filter B
54888.59 15.445 0.005
54896.64 15.734 0.005
54897.58 15.815 0.005
54898.56 15.906 0.008
54900.59 16.113 0.006
54902.58 16.329 0.007
54908.57 17.004 0.01
54911.6 17.324 0.007
54914.5 17.566 0.008
54915.49 17.658 0.008
54917.51 17.776 0.011
54920.5 17.978 0.01
54927.5 18.319 0.015
54928.49 18.34 0.019
54930.48 18.413 0.021
54931.48 18.417 0.022
54933.49 18.483 0.015
54937.5 18.581 0.016
filter V
54888.59 15.236 0.007
54896.64 15.266 0.005
54897.58 15.304 0.005
54898.56 15.338 0.007
54900.59 15.42 0.01
54902.58 15.548 0.006
54908.57 15.94 0.015
54911.6 16.119 0.006
54914.5 16.281 0.006
54915.49 16.333 0.006
54917.51 16.443 0.008
54920.5 16.616 0.005
54927.5 17.026 0.009
54928.49 17.076 0.01
54930.48 17.17 0.01
54931.48 17.182 0.012
54933.49 17.258 0.01
54937.5 17.374 0.013
filter g
54888.59 15.301 0.006
54896.64 15.477 0.005
54897.58 15.542 0.005
54898.56 15.593 0.005
54900.59 15.739 0.007
54902.58 15.9 0.006
54908.57 16.469 0.01
54911.6 16.763 0.005
54914.5 17.006 0.005
54915.49 17.079 0.009
54917.51 17.236 0.006
54920.5 17.42 0.01
54927.5 17.808 0.009
54928.49 17.817 0.012
54930.48 17.888 0.016
54931.48 17.929 0.015
54933.49 17.98 0.009
54937.5 18.096 0.01
filter i
54888.59 15.431 0.011
54896.64 15.608 0.005
54897.58 15.652 0.006
54898.56 15.698 0.008
54900.59 15.82 0.009
54902.58 15.911 0.009
54908.57 15.884 0.01
54911.6 15.856 0.005
54914.5 15.867 0.006
54915.49 15.858 0.007
54917.51 15.877 0.007
54920.5 15.943 0.005
54927.5 16.386 0.008
54928.49 16.439 0.009
54930.48 16.55 0.008
54931.48 16.584 0.009
54933.49 16.679 0.008
54937.5 16.845 0.009
filter r
54888.59 15.131 0.007
54896.64 15.134 0.005
54897.58 15.192 0.005
54898.56 15.218 0.006
54900.59 15.334 0.008
54902.58 15.452 0.008
54908.57 15.645 0.01
54911.6 15.741 0.005
54914.5 15.83 0.005
54915.49 15.854 0.009
54917.51 15.939 0.006
54920.5 16.095 0.005
54927.5 16.547 0.006
54928.49 16.592 0.007
54930.48 16.687 0.007
54931.48 16.735 0.009
54933.49 16.811 0.006
54937.5 16.959 0.008
