2009le 0.0178 32.32141700000001 -23.412444000000004
filter B
55155.62 16.364 0.008
55156.64 16.097 0.009
55157.6 15.925 0.006
55164.65 15.414 0.005
55165.56 15.418 0.008
55166.6 15.408 0.007
55167.63 15.418 0.007
55168.61 15.448 0.011
55169.58 15.481 0.008
filter V
55155.62 16.282 0.011
55156.64 16.066 0.008
55157.6 15.901 0.006
55164.65 15.328 0.007
55165.56 15.31 0.008
55166.6 15.281 0.008
55167.63 15.285 0.009
55168.61 15.261 0.011
55169.58 15.302 0.009
filter g
55155.62 16.274 0.008
55156.64 16.029 0.007
55157.6 15.833 0.01
55164.65 15.319 0.006
55165.56 15.304 0.013
55166.6 15.303 0.012
55167.63 15.323 0.013
55168.61 15.332 0.006
55169.58 15.334 0.014
filter i
55155.62 16.603 0.012
55156.64 16.344 0.011
55157.6 16.181 0.012
55164.65 15.87 0.01
55165.56 15.875 0.011
55166.6 15.912 0.013
55167.63 15.92 0.014
55168.61 15.945 0.01
55169.58 15.982 0.013
filter r
55155.62 16.289 0.01
55156.64 16.056 0.009
55157.6 15.869 0.012
55164.65 15.303 0.008
55165.56 15.27 0.01
55166.6 15.26 0.012
55167.63 15.266 0.014
55168.61 15.286 0.011
55169.58 15.277 0.012
