2022omn 0.05 341.862998320707 -25.66481865656566
filter g
59862.18231 19.513 0.778
59865.133629 19.375 0.297
59865.136829 20.664 1.031
59866.109294 21.3 1.418
59866.112451 22.091 2.846
59866.122724 20.882 1.463
59866.128337 19.719 0.364
59866.831604 20.131 0.49
59866.834428 20.722 0.818
59866.850399 21.055 1.245
