2022skw 0.07 28.936111178148085 -25.248743513616056
filter g
59885.043137 20.355 0.619
59886.162419 20.296 0.45
59886.205751 20.998 0.993
59889.156587 21.356 2.905
59890.187169 19.212 1.034
59890.189871 21.365 3.457
59890.22542 18.41 0.505
59890.90098 19.665 0.578
59890.903684 21.228 2.482
59890.944407 20.778 1.602
59893.193176 19.946 0.556
59894.17438 18.849 0.374
59894.196638 19.666 2.429
59894.915462 21.83 2.255
59894.919004 21.998 2.556
59894.928963 19.977 0.341
59897.172862 21.611 1.654
59898.147186 20.575 0.71
59898.180282 20.653 0.838
59901.149138 20.615 0.773
59901.166086 20.958 0.944
59902.192196 20.003 0.44
59902.195821 22.203 3.067
59902.215701 20.371 0.664
59905.156682 22.7 4.0
59905.162241 21.97 1.771
59905.173128 21.148 1.079
59906.106459 21.663 1.353
59909.098477 20.077 0.381
59909.108089 21.521 1.273
59910.141557 21.029 0.735
59911.844385 16.823 0.402
59911.84756 21.673 5.0
59911.887753 20.056 0.804
59913.133308 20.233 0.5
59913.136962 21.888 2.667
