2007bm 0.0062 171.259583 -9.798277999999998
filter B
54224.67 14.553 0.004
54227.65 14.618 0.003
54229.58 14.706 0.003
54231.66 14.851 0.004
54235.59 15.225 0.005
54239.61 15.71 0.004
54241.56 15.959 0.005
54249.56 16.802 0.014
54255.57 17.227 0.01
54259.56 17.42 0.01
filter V
54224.67 14.14 0.004
54227.65 14.129 0.003
54229.58 14.16 0.004
54231.66 14.233 0.005
54235.59 14.438 0.008
54239.61 14.73 0.004
54241.56 14.871 0.006
54249.56 15.335 0.005
54255.57 15.755 0.005
54259.56 15.991 0.006
filter g
54227.65 14.376 0.003
54229.58 14.437 0.004
54231.66 14.543 0.004
54239.61 15.183 0.005
54241.56 15.398 0.004
54249.56 16.15 0.008
54255.57 16.611 0.006
54259.56 16.816 0.008
filter i
54224.67 14.314 0.007
54227.65 14.403 0.005
54229.58 14.448 0.005
54231.66 14.577 0.007
54235.59 14.832 0.009
54239.61 14.859 0.007
54241.56 14.816 0.006
54249.56 14.746 0.004
54255.57 15.029 0.004
54259.56 15.333 0.007
filter r
54229.58 13.995 0.004
54231.66 14.098 0.006
54239.61 14.552 0.005
54241.56 14.611 0.006
54249.56 14.836 0.004
54255.57 15.237 0.004
54259.56 15.502 0.008
