2005be 0.035 224.88633 16.66989
filter B
53467.89 17.45 0.006
53468.85 17.539 0.006
53472.8 18.047 0.009
53473.81 18.197 0.008
53475.77 18.484 0.009
53476.78 18.632 0.013
53477.81 18.793 0.012
53481.76 19.239 0.02
53483.8 19.468 0.047
53484.76 19.569 0.148
53489.75 19.878 0.075
53490.77 19.958 0.033
53491.77 20.038 0.031
filter V0
53467.89 17.177 0.006
53468.85 17.245 0.006
53472.8 17.524 0.009
53473.81 17.604 0.008
53475.77 17.736 0.009
53476.78 17.841 0.01
53477.81 17.92 0.009
53481.76 18.246 0.016
53483.8 18.438 0.024
53484.76 18.421 0.045
53489.75 18.917 0.033
53490.77 18.966 0.014
53491.77 19.02 0.016
filter ATgr
60708.499686 22.564 4.381
60708.50251 20.995 0.962
60708.507673 20.065 0.521
60708.646507 19.368 0.107
60708.661133 21.035 0.73
60709.606882 22.456 3.643
60709.609706 19.775 0.29
60709.617289 20.401 0.374
60709.620094 21.542 1.156
60709.623411 19.837 0.282
60709.625765 21.993 1.522
60709.637233 22.002 1.463
60710.568492 20.796 0.561
60710.584549 23.006 3.294
60710.587721 20.282 0.357
filter g
53467.89 17.249 0.006
53468.85 17.319 0.007
53472.8 17.738 0.009
53473.81 17.866 0.007
53475.77 18.102 0.008
53476.78 18.252 0.009
53477.81 18.37 0.009
53481.76 18.864 0.016
53483.8 19.085 0.033
53489.75 19.524 0.03
53490.77 19.596 0.016
53491.77 19.593 0.014
filter i
53467.89 17.858 0.009
53468.85 17.971 0.01
53472.8 18.194 0.011
53473.81 18.191 0.01
53475.77 18.15 0.008
53476.78 18.106 0.011
53477.81 18.062 0.01
53481.76 17.986 0.014
53483.8 18.024 0.013
53489.75 18.548 0.016
53490.77 18.625 0.015
filter ATri
60697.557061 21.14 1.529
60697.572226 20.504 0.59
60700.591805 20.789 0.645
60704.628852 19.958 0.689
60708.626606 22.208 2.852
60708.637324 20.184 0.43
60710.552053 22.01 2.2
60710.659881 21.74 1.808
60711.548876 21.057 1.0
60712.585741 20.618 0.585
60712.599629 20.924 0.604
60714.561189 19.249 0.314
60714.575139 21.472 1.432
60715.669717 18.979 0.624
60717.597614 21.388 2.341
60718.520999 19.425 0.771
60718.547028 20.403 1.42
60720.567481 20.678 1.075
60720.584572 20.636 0.929
60720.587357 21.279 1.774
60724.582239 22.265 3.27
60724.596758 22.43 4.111
60725.571783 20.382 0.586
60726.601173 21.429 1.27
60726.629846 21.04 0.819
filter r
53467.89 17.171 0.006
53468.85 17.25 0.008
53472.8 17.529 0.009
53473.81 17.563 0.007
53475.77 17.625 0.008
53476.78 17.643 0.009
53477.81 17.668 0.008
53481.76 17.834 0.011
53483.8 17.988 0.014
53489.75 18.475 0.014
53490.77 18.526 0.01
53491.77 18.573 0.014
filter u
53467.89 18.312 0.021
53468.85 18.453 0.017
53472.8 19.125 0.022
53473.81 19.285 0.029
53475.77 19.535 0.037
53476.78 19.78 0.043
53477.81 20.005 0.044
