2009al 0.0221 162.8419580000001 8.578528
filter B
54897.7 16.309 0.009
54898.65 16.343 0.009
54908.63 17.07 0.01
54911.66 17.367 0.012
54917.64 17.985 0.013
54920.62 18.262 0.016
54927.61 18.887 0.053
54930.57 18.994 0.046
54931.57 19.089 0.052
54933.6 19.113 0.037
54937.64 19.171 0.023
54938.62 19.208 0.018
54946.61 19.342 0.021
54947.57 19.354 0.022
filter V
54897.7 16.147 0.006
54898.65 16.144 0.007
54908.63 16.517 0.01
54911.66 16.705 0.009
54914.61 16.887 0.009
54917.64 17.064 0.009
54920.62 17.261 0.012
54927.61 17.827 0.021
54930.57 17.927 0.022
54931.57 18.003 0.021
54933.6 18.08 0.014
54937.64 18.192 0.013
54938.62 18.251 0.012
54946.61 18.446 0.015
54947.57 18.443 0.013
filter g
54898.65 16.192 0.007
54908.63 16.757 0.008
54911.66 17.018 0.007
54914.61 17.289 0.008
54917.64 17.576 0.008
54920.62 17.85 0.011
54927.61 18.448 0.024
54930.57 18.643 0.033
54931.57 18.649 0.028
54933.6 18.695 0.018
54937.64 18.792 0.013
54938.62 18.824 0.012
54946.61 18.961 0.014
54947.57 19.0 0.013
filter i
54898.65 16.638 0.009
54908.63 17.064 0.01
54911.66 17.046 0.009
54914.61 16.966 0.013
54917.64 16.959 0.011
54920.62 16.948 0.012
54927.61 17.298 0.017
54930.57 17.494 0.014
54931.57 17.526 0.015
54933.6 17.64 0.011
54937.64 17.814 0.013
54938.62 17.869 0.013
54946.61 18.154 0.016
54947.57 18.203 0.015
filter r
54898.65 16.216 0.015
54908.63 16.558 0.011
54911.66 16.651 0.01
54914.61 16.708 0.012
54917.64 16.787 0.011
54920.62 16.907 0.016
54927.61 17.392 0.014
54930.57 17.562 0.014
54931.57 17.603 0.014
54933.6 17.689 0.012
54937.64 17.852 0.014
54938.62 17.865 0.011
54946.61 18.154 0.02
54947.57 18.139 0.013
