2008bc 0.0151 144.63012499999996 -63.97377800000001
filter B
54541.67 16.23 0.008
54542.56 16.092 0.005
54543.6 15.962 0.004
54545.68 15.77 0.007
54547.59 15.671 0.007
54548.58 15.661 0.004
54549.58 15.655 0.005
54551.69 15.691 0.004
54552.69 15.717 0.004
54558.56 15.992 0.007
54560.62 16.141 0.005
54562.61 16.325 0.006
54564.62 16.525 0.004
54566.63 16.748 0.006
54568.6 16.96 0.006
54569.72 17.074 0.005
54570.55 17.151 0.006
54573.56 17.448 0.008
54574.63 17.546 0.012
54575.6 17.661 0.011
54576.56 17.744 0.014
54582.58 18.21 0.009
54589.57 18.534 0.012
54592.54 18.626 0.013
54595.65 18.722 0.013
54606.5 18.922 0.109
54618.51 19.039 0.016
54626.48 19.166 0.019
54644.46 19.445 0.024
54646.46 19.477 0.02
filter V
54542.56 15.973 0.006
54543.6 15.848 0.006
54545.68 15.653 0.007
54547.59 15.542 0.009
54548.58 15.519 0.004
54549.58 15.501 0.006
54551.69 15.488 0.006
54552.69 15.502 0.004
54560.62 15.789 0.007
54564.62 16.042 0.005
54570.55 16.346 0.005
54573.56 16.476 0.006
54574.63 16.544 0.007
54575.6 16.594 0.01
54576.56 16.635 0.007
54582.58 17.007 0.007
54589.57 17.437 0.008
54592.54 17.537 0.009
54595.65 17.68 0.007
54606.5 17.946 0.014
54618.51 18.29 0.012
54626.48 18.469 0.012
54644.46 18.909 0.02
filter g
54541.67 16.116 0.007
54542.56 15.986 0.006
54543.6 15.857 0.004
54545.68 15.664 0.007
54547.59 15.571 0.008
54548.58 15.553 0.005
54549.58 15.532 0.006
54551.69 15.559 0.004
54552.69 15.568 0.004
54570.55 16.703 0.007
54571.53 16.786 0.007
54573.56 16.961 0.006
54574.63 17.06 0.006
54575.6 17.134 0.009
54576.56 17.225 0.008
54582.58 17.71 0.006
54595.65 18.262 0.007
54606.5 18.468 0.038
54618.51 18.669 0.013
54626.48 18.796 0.016
54644.46 19.162 0.056
54646.46 19.123 0.044
filter i
54542.56 16.124 0.009
54543.6 16.037 0.006
54545.68 15.934 0.011
54548.58 15.955 0.005
54549.58 15.998 0.006
54551.69 16.045 0.007
54552.69 16.132 0.005
54562.61 16.717 0.011
54569.72 16.815 0.008
54571.53 16.762 0.01
54573.56 16.691 0.008
54574.63 16.681 0.007
54576.56 16.604 0.009
54582.58 16.637 0.007
54589.57 17.105 0.008
54592.54 17.276 0.01
54595.65 17.44 0.008
54606.5 17.89 0.014
54618.51 18.384 0.022
54626.48 18.619 0.022
54644.46 19.177 0.049
54646.46 19.236 0.034
filter r
54543.6 15.775 0.007
54545.68 15.601 0.008
54547.59 15.524 0.011
54548.58 15.472 0.004
54549.58 15.441 0.006
54551.69 15.433 0.004
54552.69 15.479 0.004
54573.56 16.277 0.004
54574.63 16.301 0.005
54575.6 16.28 0.011
54576.56 16.321 0.008
54589.57 17.026 0.006
54618.51 18.044 0.013
54626.48 18.303 0.016
54644.46 18.854 0.031
54646.46 18.852 0.024
