2018baz 0.1 246.05579146198863 25.272056101364562
filter r
58216.3697453998 19.329526749717427 0.056759648474367076
58216.37879629992 19.39526661831083 0.058631925528905345
58216.38395830011 19.413927651555127 0.06421692731249569
58216.402708299924 19.39625342812698 0.07089393163488208
58216.40364579996 19.30005133201367 0.06883704110909339
58217.38435189985 19.214841309863754 0.048976892275748335
58217.411365699954 19.227469082244635 0.04770149702247024
58217.42586810002 19.236049914277785 0.04848312445977421
58217.44763890002 19.25076421653717 0.04791729884271056
58217.470104199834 19.207817532080192 0.05128099396802614
58217.482453700155 19.19862901025793 0.05052111066183281
58218.38951390004 19.3217251776947 0.05053489168589897
58218.40638889978 19.25105749965892 0.046641184849389374
58218.42994209984 19.4037654179888 0.0497268550428775
58218.44986109994 19.335550746839868 0.051942772741537566
58218.466678199824 19.275258547278128 0.05872362876080311
58218.48136569979 19.38099161284972 0.0682752440500258
58218.503287000116 19.236406708540112 0.05606534571832243
58219.380949100014 19.33204733480526 0.05460602132174568
58219.38188660005 19.37507533323761 0.05304999820974362
58219.403206000105 19.423744277164165 0.06776291870236875
58219.40608800016 19.43224293733658 0.06540735242268193
58219.424351899885 19.3963449723395 0.06603957058671961
58219.445208299905 19.462579697932643 0.07207585160089072
58219.47243059985 19.4036743499054 0.07619166248717898
58219.49804400001 19.529869060746638 0.11098879017346096
58219.51619210001 19.595792756428757 0.09473197399731381
58222.386435199995 19.5553315536999 0.07332108518435958
58222.38738430012 19.457650302314935 0.07123504364652149
58222.41047450015 19.542642004086943 0.07524703530197453
58222.43265049998 19.620974110171005 0.06879791018591455
58222.45168979978 19.581505948154184 0.06812122533417131
58222.452673600055 19.375748721242033 0.058301116104929364
58222.47597219981 19.60766517449687 0.06705066781011072
58222.48549770005 19.706634326398927 0.09008764612321375
58222.50863429997 19.63995106206922 0.08784037039157938
58224.4282176001 19.848443396625306 0.11910672248980761
58226.35765049979 19.760968416981026 0.07345345985165692
58226.37991899997 19.67670644853456 0.06793466413305813
58226.41832179995 19.875807039650446 0.07341963844204172
58226.45981479995 19.90798697291925 0.0876584664766085
58226.49966439977 19.943833468042413 0.10212200907219242
58227.39793979982 20.13802288288177 0.14300953609301273
58229.3976619998 20.20101316618189 0.10818652539349809
58229.39859949984 20.194483118150504 0.10909049415326283
58229.41871530004 20.32150732203684 0.12179029890657908
58230.421157400124 20.122466175347654 0.10884086537761434
58230.43894679984 20.336416619428775 0.1374653360370867
58231.33487269981 20.139919268450043 0.12837182075482964
58232.39950230019 20.380347658038108 0.1529366747521914
filter ATgr
58227.593276 18.68 0.222
filter ATri
58207.551119 18.979 0.218
58213.613011 18.737 0.167
58213.625652 19.031 0.196
58221.591839 19.196 0.193
58221.603622 19.255 0.192
58221.610121 19.17 0.156
