2008fr 0.0397 17.954749999999997 14.640832999999995
filter B
54740.72 17.22 0.009
54742.76 17.412 0.012
54744.7 17.514 0.014
54747.69 17.814 0.013
54749.67 18.02 0.014
54752.67 18.335 0.102
54755.66 18.735 0.032
54756.69 18.818 0.029
54759.65 19.109 0.016
54760.64 19.268 0.018
54765.66 19.7 0.031
54766.66 19.671 0.023
54772.64 19.929 0.025
54779.62 20.056 0.056
54783.63 20.194 0.133
54789.63 20.326 0.032
54793.56 20.373 0.03
54798.62 20.467 0.041
54801.64 20.448 0.035
54807.57 20.661 0.146
filter V
54740.72 17.114 0.009
54742.76 17.181 0.013
54744.7 17.281 0.01
54747.69 17.479 0.012
54749.67 17.585 0.011
54751.67 17.674 0.071
54752.67 17.855 0.043
54755.66 17.914 0.018
54756.69 17.971 0.018
54759.65 18.185 0.014
54760.64 18.218 0.012
54765.66 18.587 0.018
54766.66 18.546 0.014
54772.64 18.852 0.016
54779.62 19.201 0.032
54783.63 19.154 0.057
54789.63 19.402 0.021
54793.56 19.467 0.02
54798.62 19.61 0.024
54801.64 19.671 0.023
54807.57 19.974 0.062
filter g
54740.72 17.064 0.008
54744.7 17.38 0.009
54747.69 17.556 0.009
54749.67 17.777 0.009
54751.67 17.924 0.05
54755.66 18.337 0.02
54756.69 18.424 0.015
54759.65 18.666 0.01
54760.64 18.771 0.013
54765.66 19.196 0.013
54766.66 19.239 0.014
54772.64 19.486 0.016
54779.62 19.674 0.04
54783.63 19.854 0.088
54789.63 19.922 0.026
54793.56 19.975 0.022
54798.62 20.012 0.021
54801.64 20.089 0.022
54807.57 20.095 0.06
filter i
54740.72 17.803 0.01
54744.7 18.148 0.013
54747.69 18.367 0.013
54749.67 18.398 0.016
54755.66 18.305 0.021
54756.69 18.291 0.015
54759.65 18.22 0.011
54760.64 18.203 0.01
54765.66 18.256 0.016
54766.66 18.307 0.013
54772.64 18.605 0.015
54779.62 19.044 0.023
54783.63 19.254 0.049
54789.63 19.425 0.023
54793.56 19.579 0.025
54798.62 19.863 0.041
54801.64 19.889 0.041
54807.57 20.002 0.062
filter r
54740.72 17.134 0.007
54744.7 17.364 0.009
54747.69 17.534 0.009
54749.67 17.625 0.009
54751.67 17.708 0.063
54755.66 17.744 0.014
54756.69 17.775 0.012
54759.65 17.824 0.009
54760.64 17.877 0.009
54765.66 18.112 0.008
54766.66 18.146 0.009
54772.64 18.476 0.009
54779.62 18.751 0.017
54783.63 18.873 0.029
54789.63 19.094 0.013
54793.56 19.181 0.016
54798.62 19.288 0.017
54801.64 19.385 0.016
54807.57 19.577 0.036
