2009ds 0.0193 177.26712500000002 -9.729138999999998
filter B
54956.68 15.755 0.008
54959.57 15.635 0.007
54960.6 15.643 0.009
54963.55 15.677 0.007
54964.54 15.666 0.009
54966.57 15.736 0.009
54968.55 15.828 0.011
54972.56 16.099 0.015
54976.62 16.471 0.016
filter V
54956.68 15.662 0.007
54959.57 15.491 0.006
54960.6 15.518 0.011
54963.55 15.51 0.006
54964.54 15.5 0.013
54966.57 15.547 0.012
54968.55 15.626 0.016
54972.56 15.797 0.018
54976.62 16.073 0.018
filter g
54956.68 15.674 0.006
54959.57 15.546 0.006
54960.6 15.55 0.009
54963.55 15.553 0.008
54964.54 15.558 0.011
54966.57 15.607 0.015
54968.55 15.697 0.016
54972.56 15.889 0.016
54976.62 16.211 0.016
filter i
54956.68 16.105 0.016
54959.57 16.031 0.011
54960.6 16.038 0.019
54963.55 16.15 0.016
54964.54 16.153 0.027
54966.57 16.239 0.025
54968.55 16.225 0.033
54972.56 16.587 0.034
54976.62 16.9 0.039
filter r
54956.68 15.675 0.009
54959.57 15.521 0.007
54960.6 15.475 0.013
54963.55 15.474 0.011
54964.54 15.453 0.016
54966.57 15.511 0.019
54968.55 15.589 0.024
54972.56 15.832 0.022
54976.62 16.119 0.026
