2006hx 0.0455 18.488792 0.37166699999999997
filter B
54012.66 18.365 0.044
54013.66 18.297 0.028
54028.73 17.872 0.015
54036.7 18.644 0.018
54038.66 18.845 0.028
54040.67 19.133 0.033
54052.7 20.066 0.062
54060.6 20.846 0.093
filter V
54012.66 18.202 0.036
54013.66 18.04 0.02
54028.73 17.631 0.012
54036.7 18.034 0.015
54038.66 18.157 0.017
54040.67 18.4 0.033
54049.63 19.007 0.041
54052.7 19.102 0.026
54060.6 19.474 0.038
filter g
54012.66 18.395 0.066
54013.66 18.182 0.019
54028.73 17.795 0.019
54036.7 18.422 0.018
54038.66 18.612 0.019
54040.67 18.721 0.02
54049.63 19.673 0.032
54052.7 19.907 0.029
54060.6 20.258 0.039
54080.59 20.578 0.058
filter i
54013.66 18.093 0.027
54028.73 18.005 0.032
54036.7 18.416 0.045
54038.66 18.574 0.036
54040.67 18.524 0.04
54052.7 18.468 0.03
54060.6 18.967 0.028
54066.68 19.152 0.057
filter r
54013.66 18.386 0.034
54028.73 17.579 0.018
54036.7 18.004 0.017
54038.66 18.04 0.018
54040.67 18.103 0.026
54049.63 18.516 0.044
54052.7 18.681 0.034
54060.6 18.912 0.038
54066.68 19.338 0.049
54080.59 19.869 0.061
