2019oml 0.03299982950204838 45.084494991700005 18.74361216260001
filter g
58712.483298600186 19.8907 0.3554056118222425
58719.49740740005 17.715916 0.06588893260554393
58722.44109949982 17.447678 0.05020248977705733
58723.47549769981 17.397087 0.04758905777458951
58725.437372699846 17.355574 0.04539957471903792
58725.46361109987 17.375969 0.03867841566688143
58726.46277779993 17.36494 0.0450423824997624
58732.42134260014 17.570618 0.06418435037722318
58735.44131939998 17.816692 0.053336983780066224
58747.487071800046 18.964455 0.10654283181371167
58750.37702549994 19.286514 0.13835822017947158
58756.41292819986 19.872784 0.20430532616116254
58759.42053239979 19.875303 0.12876730996318128
58763.41084490018 20.037388 0.20147003388966964
58789.34384260001 20.4811 0.25345663917207667
58790.28280089982 20.8193 0.3395100878318805
58791.29679400008 20.6605 0.24966671045522013
filter r
58719.46459490014 17.583633 0.04919570280506288
58722.4868981 17.345705 0.04237255926170687
58725.4994907002 17.236944 0.03339523764635009
58732.47770830011 17.38392 0.04035479647599042
58735.48303239979 17.608738 0.05673401088626012
58738.5052894 17.849863 0.05386982160941939
58741.42100689979 17.927233 0.07419634579331198
58747.440567099955 18.069933 0.0665330126612941
58750.466805600096 18.156872 0.06459214736691782
58759.372546299826 18.676975 0.07044679673072325
58763.3745833002 18.806595 0.0849408286945597
58766.49120370019 19.057133 0.10838186968567226
58769.42076390004 18.898685 0.1326791963708682
58774.31446760008 19.2888 0.2500418983699582
58777.29285879992 19.471258 0.20687479692190047
58784.38106480008 19.9496 0.2462616334026397
58788.342800899874 19.781734 0.179503860748004
58789.269247699995 19.8677 0.18956763701189344
58791.33719909983 19.874 0.18743943352184228
58794.316736099776 19.966633 0.23068431716666568
filter ATgr
58699.570039 20.703115997617928 0.514296096991579
58699.582629 20.703115997617928 0.6285841185452632
58699.591662 nan 0.7516635263723077
58707.591392 nan 0.7238241365066667
58723.547174 17.43072258745272 0.028055199089405687
58723.550551 17.40850726093385 0.03298439103068355
58723.562227 17.321390577467067 0.02536766833551402
58723.568681 17.360124870858996 0.02628901222179177
58727.505501 17.31380682459817 0.030229314285661255
58727.511309 17.276662853219644 0.026778247202600896
58727.51461 17.34705929556241 0.03116946042373206
58727.525286 17.36804035820066 0.04237019335648781
58751.42801 18.847026752325153 0.10340344807238096
58751.431475 18.74825539911597 0.08497065950295654
58751.441273 18.66644578709441 0.0963153084867742
58751.455497 18.675237221401503 0.07944411254341463
58755.533076 18.92193481076876 0.12186834951387757
58755.536449 19.038793319624578 0.12337911417727274
58755.544218 18.9 0.10857362047600001
58755.55765 18.944321917401076 0.11309752132916669
58779.395814 19.674509799928714 0.265894580757551
58779.396271 19.816328861051034 0.2272471126241861
58779.402486 20.959771852360795 0.8685889638080001
58779.403061 19.674509799928714 0.2215788172979592
58779.407416 20.137125054200233 0.3392925639875
58779.414824 20.137125054200233 0.3392925639875
58779.417568 19.569015600442576 0.20106226014074075
58779.423819 20.00924374808178 0.33175272923222227
filter ATri
58713.548926 18.66644578709441 0.1926306169735484
58713.558925 18.955690986777878 0.29714885603957897
58713.562407 19.401648626366043 0.39637988427746035
58713.575052 19.051201868453454 0.2995134357958621
58721.511896 17.450541008457975 0.03428640646610527
58721.515743 17.52137500506781 0.042697491198426966
58721.521023 17.5122638785542 0.03629201798640669
58721.535799 17.462030387680848 0.04042634804957447
58733.49157 17.74026752753523 0.04850367925044674
58733.494805 17.707196863200842 0.03981032750786667
58733.509377 17.68215406130703 0.038902600170553754
58733.514921 17.692816040978116 0.03928650740907895
58737.509871 17.967719992574732 0.0690086570822034
58737.513113 17.95855760735872 0.07299066922756303
58737.520493 18.019543704721592 0.06755691940728889
58737.530609 17.913870797934457 0.09193733991919355
58739.476025 17.995680409956016 0.1132942126706087
58739.479979 17.96312913497474 0.0916233084185654
58739.494656 17.972330344320657 0.10164338938178724
58739.502486 18.099634284722363 0.13506766183617225
58753.587441 18.249821530037313 0.07755258605428572
58753.592135 18.2986268792935 0.07487835894896552
58753.597832 18.191746928241123 0.05654876066458334
58753.60992 18.39650718919887 0.07511382548654089
58757.63362 18.489117860538904 0.08180204282438357
58757.637075 18.542462999364762 0.10935472565928059
58757.642485 19.491430016092657 0.5803072818544828
58761.406825 18.889196565543394 0.15049808778851487
58761.408221 19.128787452803373 0.16084980811259258
58761.41006 19.076452685714266 0.16605377249270592
58761.411443 18.86790693823707 0.14757579482174757
58761.435824 18.796518287104437 0.1480549370127273
58761.436762 18.97879262861516 0.18679332555010755
58763.39651 19.287254899964356 0.34123137863885716
58763.399267 18.75773787165882 0.18095603412666666
58763.407988 19.026524983387716 0.24398566399101126
58763.420373 18.86790693823707 0.15811692302330096
58763.458281 19.30287727315686 0.20455899509971018
58765.409293 18.99053043163611 0.18882368778434783
58765.41828 19.051201868453454 0.19967562386390805
58765.42858 19.226920700672558 0.23475377400216219
58765.430676 19.894850021680092 0.325720861428
58765.434613 19.226920700672558 0.24942588487729733
58765.441228 19.155932271773896 0.21989594020455697
58765.454455 19.051201868453454 0.1622364443894253
58769.435829 18.558198582108982 0.17435179930452557
58769.439215 19.54909327626439 0.5329977732458182
58769.446252 18.92193481076876 0.3323682259469388
58769.458367 18.796518287104437 0.2961098740254546
58775.481236 19.38455006504028 0.8651960381681251
58775.492081 18.955690986777878 0.3657216689717895
58775.496068 19.226920700672558 0.6749171002562162
58777.469645 20.137125054200233 0.44108033318375006
58777.485107 19.76696871556164 0.3377845970364445
58777.492286 19.76696871556164 0.28952965460266666
58777.49942 19.841876774005247 0.33606120623523816
