2018bae 0.07 223.2063011 18.0802278
filter ATgr
60708.499686 19.51 0.203
60708.50251 19.483 0.225
60708.507673 20.232 0.343
60708.540759 19.27 0.167
60709.606882 19.855 0.243
60709.609706 19.872 0.225
60709.613508 19.984 0.261
60709.623411 19.924 0.227
60710.568492 19.896 0.249
60710.584549 19.626 0.201
60710.587721 19.351 0.162
60710.59603 19.514 0.172
filter ATri
60695.619409 18.358 0.095
60695.622235 18.276 0.089
60695.633519 18.581 0.155
60695.645694 18.319 0.091
60696.636596 18.154 0.064
60696.653433 18.266 0.076
60696.65856 18.388 0.091
60696.66694 18.181 0.091
60697.557061 18.351 0.13
60697.561438 18.373 0.089
60697.567683 18.659 0.115
60697.572226 18.063 0.063
60699.636356 18.266 0.067
60699.638201 15.984 0.009
60699.64331 18.446 0.073
60699.6568 18.236 0.071
60700.588956 18.313 0.075
60700.591805 18.406 0.079
60700.597361 18.327 0.06
60704.619997 18.685 0.109
60704.622787 18.387 0.117
60704.628852 18.444 0.17
60704.646411 18.521 0.218
60708.610128 18.992 0.129
60708.612025 19.472 0.19
60708.615296 19.3 0.159
60708.626606 20.111 0.346
60710.552053 19.158 0.153
60710.629118 19.109 0.148
60710.659881 19.51 0.178
60711.548876 18.898 0.141
60711.553283 19.305 0.169
60711.558111 18.963 0.146
60711.562569 20.016 0.375
60711.585394 19.231 0.166
60712.583445 19.181 0.139
60712.585741 18.712 0.081
60712.589813 19.145 0.13
60712.599629 19.326 0.153
60714.556626 20.47 0.739
60714.558436 19.601 0.305
60714.575139 20.117 0.455
60714.57883 19.102 0.155
60715.580119 -15.369 0.41
60715.593518 -18.038 0.721
60715.669717 19.452 0.714
60716.549889 19.621 0.296
60716.551741 19.36 0.309
60716.555438 20.204 0.555
60716.560645 19.805 0.457
60717.579753 19.704 0.471
60717.583436 19.306 0.267
60717.597614 19.033 0.234
60718.520999 19.443 0.473
60718.524186 19.438 0.482
60718.559009 19.789 0.428
60719.544189 19.155 0.283
60719.562087 20.501 0.978
60719.563931 19.451 0.339
60720.552405 19.613 0.391
60720.562 19.36 0.299
60720.572858 19.462 0.328
60720.573425 19.626 0.258
60720.578474 19.073 0.234
60720.58364 19.886 0.438
60721.566562 18.906 0.221
60721.56987 20.215 0.565
60722.583528 19.657 0.369
60722.585335 19.842 0.412
60722.5885 20.497 0.642
60722.594 20.697 0.855
60724.565418 19.69 0.281
60724.56775 19.471 0.206
60724.570511 20.473 0.689
60724.576015 20.877 0.812
