2006bh 0.0109 340.067083 -66.485083
filter B
53831.9 14.476 0.006
53832.92 14.447 0.006
53833.91 14.429 0.006
53835.93 14.493 0.006
53838.88 14.668 0.006
53841.92 14.955 0.006
53845.88 15.46 0.006
53846.88 15.595 0.006
53850.85 16.135 0.007
53853.92 16.49 0.008
53858.86 16.996 0.029
53861.87 17.216 0.01
53862.84 17.275 0.01
53866.84 17.466 0.014
53867.84 17.502 0.016
53870.85 17.587 0.018
53871.83 17.611 0.016
53872.82 17.644 0.016
53891.79 17.997 0.014
filter V
53831.9 14.51 0.006
53832.92 14.473 0.006
53833.91 14.452 0.006
53835.93 14.459 0.006
53838.88 14.535 0.006
53841.92 14.69 0.006
53845.88 14.982 0.006
53846.88 15.044 0.006
53850.85 15.326 0.006
53853.92 15.534 0.006
53858.86 15.942 0.008
53861.87 16.176 0.007
53862.84 16.261 0.007
53866.84 16.473 0.009
53867.84 16.518 0.009
53870.85 16.636 0.009
53871.83 16.669 0.009
53872.82 16.708 0.009
53891.79 17.275 0.009
filter g
53831.9 14.411 0.006
53832.92 14.402 0.006
53833.91 14.367 0.006
53838.88 14.547 0.006
53841.92 14.764 0.006
53845.88 15.153 0.006
53846.88 15.256 0.006
53850.85 15.709 0.006
53853.92 16.048 0.007
53858.86 16.544 0.006
53861.87 16.782 0.006
53862.84 16.857 0.007
53866.84 17.086 0.009
53867.84 17.097 0.01
53870.85 17.193 0.011
53871.83 17.221 0.009
53872.82 17.243 0.01
53891.79 17.632 0.008
filter i
53831.9 14.977 0.007
53832.92 15.013 0.008
53833.91 15.062 0.007
53835.93 15.126 0.012
53838.88 15.273 0.005
53841.92 15.601 0.007
53845.88 15.803 0.006
53846.88 15.792 0.007
53850.85 15.675 0.005
53853.92 15.607 0.008
53858.86 15.677 0.005
53861.87 15.944 0.005
53862.84 16.023 0.008
53866.84 16.33 0.008
53867.84 16.385 0.009
53870.85 16.549 0.008
53871.83 16.605 0.009
53872.82 16.657 0.01
53891.79 17.483 0.014
filter r
53831.9 14.51 0.006
53832.92 14.492 0.006
53833.91 14.455 0.005
53838.88 14.558 0.005
53841.92 14.815 0.005
53845.88 15.107 0.005
53846.88 15.14 0.005
53850.85 15.234 0.005
53853.92 15.307 0.006
53858.86 15.599 0.005
53861.87 15.859 0.005
53862.84 15.941 0.005
53866.84 16.208 0.005
53867.84 16.252 0.007
53870.85 16.38 0.006
53871.83 16.431 0.006
53872.82 16.469 0.008
53891.79 17.184 0.007
