2008ar 0.0261 186.15799999999993 10.838167
filter B
54527.79 16.768 0.011
54541.74 16.618 0.008
54542.75 16.68 0.008
54543.75 16.756 0.009
54545.75 16.928 0.011
54547.75 17.132 0.013
54551.78 17.61 0.013
54552.8 17.762 0.013
54558.7 18.394 0.018
54562.74 18.767 0.022
54564.72 18.884 0.016
54570.66 19.195 0.025
54571.72 19.3 0.037
54572.71 19.201 0.061
54576.67 19.391 0.068
54582.7 19.585 0.039
54592.69 19.689 0.03
54606.6 19.795 0.076
filter V
54527.79 16.769 0.009
54541.74 16.468 0.007
54542.75 16.505 0.008
54543.75 16.541 0.009
54545.75 16.639 0.009
54547.75 16.748 0.011
54551.78 16.987 0.009
54552.8 17.074 0.009
54558.7 17.433 0.012
54562.74 17.702 0.012
54564.72 17.81 0.012
54570.66 18.201 0.013
54571.72 18.293 0.021
54572.71 18.249 0.023
54576.67 18.455 0.027
54582.7 18.608 0.016
54592.69 18.835 0.018
54606.6 19.163 0.033
filter g
54527.79 16.675 0.009
54541.74 16.457 0.01
54542.75 16.518 0.008
54543.75 16.58 0.008
54545.75 16.716 0.009
54547.75 16.888 0.013
54551.78 17.278 0.01
54552.8 17.395 0.008
54558.7 17.942 0.01
54562.74 18.312 0.012
54564.72 18.45 0.011
54570.66 18.77 0.016
54571.72 18.861 0.021
54572.71 18.906 0.035
54576.67 19.051 0.036
54582.7 19.092 0.022
54592.69 19.318 0.017
54606.6 19.547 0.036
filter i
54527.79 17.119 0.011
54541.74 17.177 0.013
54542.75 17.212 0.009
54543.75 17.266 0.011
54545.75 17.416 0.013
54547.75 17.523 0.018
54551.78 17.577 0.019
54552.8 17.553 0.01
54558.7 17.443 0.012
54562.74 17.435 0.009
54564.72 17.451 0.012
54570.66 17.816 0.011
54571.72 17.884 0.013
54572.71 17.95 0.019
54576.67 18.215 0.023
54582.7 18.47 0.017
54592.69 18.838 0.025
54606.6 19.325 0.034
filter r
54527.79 16.765 0.009
54541.74 16.451 0.011
54542.75 16.501 0.009
54543.75 16.539 0.009
54545.75 16.674 0.009
54547.75 16.853 0.013
54551.78 16.936 0.011
54552.8 16.998 0.008
54558.7 17.095 0.011
54562.74 17.25 0.01
54564.72 17.341 0.009
54570.66 17.719 0.01
54571.72 17.779 0.01
54572.71 17.828 0.02
54576.67 18.017 0.017
54582.7 18.24 0.013
54592.69 18.536 0.015
54606.6 18.931 0.022
