2007nq 0.045 14.389875000000002 -1.3886110000000003
filter B
54397.65 17.557 0.014
54400.67 17.617 0.017
54403.6 17.732 0.009
54407.74 18.151 0.016
54409.64 18.423 0.014
54411.62 18.725 0.013
54413.63 19.036 0.021
54417.65 19.569 0.024
54421.62 20.066 0.036
54422.63 20.106 0.051
54423.62 20.234 0.065
54427.66 20.597 0.187
54430.62 20.693 0.166
54435.56 20.737 0.045
54440.59 20.906 0.05
54443.66 20.899 0.08
54445.62 20.962 0.059
54449.58 21.12 0.093
54466.56 21.239 0.07
54468.56 21.266 0.074
54472.54 21.344 0.091
filter V
54397.65 17.502 0.015
54400.67 17.468 0.013
54403.6 17.547 0.009
54407.74 17.776 0.011
54409.64 17.922 0.012
54411.62 18.069 0.011
54413.63 18.222 0.014
54417.65 18.606 0.014
54421.62 18.958 0.02
54422.63 19.065 0.024
54423.62 19.12 0.028
54427.66 19.325 0.049
54430.62 19.537 0.049
54435.56 19.791 0.022
54440.59 19.904 0.027
54443.66 20.029 0.038
54445.62 20.062 0.027
54449.58 20.189 0.048
54455.56 20.177 0.09
54456.57 20.301 0.104
54457.56 20.372 0.119
54466.56 20.567 0.038
54468.56 20.54 0.044
54472.54 20.617 0.053
54476.56 20.797 0.069
filter g
54397.65 17.437 0.013
54400.67 17.432 0.01
54403.6 17.561 0.007
54407.74 17.922 0.008
54409.64 18.102 0.009
54411.62 18.373 0.009
54413.63 18.662 0.011
54417.65 19.188 0.014
54421.62 19.599 0.023
54422.63 19.734 0.029
54423.62 19.838 0.034
54427.66 20.089 0.086
54430.62 20.26 0.073
54435.56 20.345 0.024
54440.59 20.474 0.024
54443.66 20.508 0.042
54445.62 20.613 0.03
54449.58 20.684 0.043
54455.56 20.751 0.111
54456.57 20.766 0.119
54466.56 20.884 0.045
54468.56 20.951 0.046
54476.56 21.066 0.058
filter i
54397.65 17.918 0.018
54400.67 17.954 0.017
54403.6 18.029 0.013
54407.74 18.455 0.016
54409.64 18.572 0.019
54411.62 18.588 0.017
54413.63 18.484 0.02
54417.65 18.356 0.016
54421.62 18.433 0.016
54422.63 18.491 0.018
54423.62 18.638 0.021
54427.66 18.926 0.035
54430.62 19.085 0.029
54435.56 19.42 0.028
54440.59 19.727 0.032
54443.66 19.751 0.058
54445.62 19.811 0.035
54449.58 20.008 0.038
54455.56 20.275 0.1
54456.57 20.341 0.083
54457.56 20.281 0.088
54458.55 20.322 0.079
54466.56 20.752 0.074
54468.56 20.658 0.073
54476.56 21.167 0.122
filter r
54397.65 17.496 0.013
54400.67 17.442 0.01
54403.6 17.496 0.009
54407.74 17.772 0.009
54409.64 17.887 0.012
54411.62 17.996 0.01
54413.63 18.055 0.009
54417.65 18.201 0.01
54421.62 18.435 0.012
54422.63 18.535 0.012
54423.62 18.608 0.014
54427.66 18.95 0.03
54430.62 19.134 0.027
54435.56 19.316 0.015
54440.59 19.457 0.018
54443.66 19.559 0.029
54445.62 19.636 0.019
54449.58 19.785 0.031
54455.56 19.97 0.058
54456.57 19.999 0.062
54457.56 19.975 0.056
54458.55 19.991 0.049
54466.56 20.349 0.034
54468.56 20.413 0.036
54476.56 20.625 0.045
