2022yv 0.035426 170.4280700309597 34.35833002063985
filter g
59625.394647 19.722 0.628
59625.401065 18.813 0.261
59629.449412 18.98 0.403
59629.451708 18.937 0.352
59629.454461 18.995 0.366
59629.466416 19.167 0.417
59629.635331 19.697 0.581
59630.535443 19.162 0.242
59630.538236 19.059 0.209
59630.571567 20.177 0.684
59630.580834 19.265 0.326
59631.438498 19.82 0.527
59631.45864 19.483 0.348
59631.460462 19.411 0.414
59631.463651 20.531 0.901
59632.492081 20.176 0.582
59632.494939 20.011 0.446
59632.523797 19.405 0.251
59632.530217 19.596 0.303
59633.464462 19.562 0.239
59633.466326 19.606 0.273
59633.471776 19.412 0.255
59633.48323 20.079 0.39
59633.504759 19.73 0.312
59633.53811 20.049 0.437
59633.541305 19.306 0.24
59633.548164 19.312 0.27
59634.571126 19.21 0.175
59634.579385 19.886 0.373
59634.582589 19.75 0.348
59634.595497 19.113 0.201
59635.450731 19.643 0.242
59635.453482 19.898 0.358
59635.478891 19.684 0.3
59635.48723 19.587 0.331
59636.440539 19.563 0.272
59636.44236 19.75 0.339
59636.448359 20.241 0.61
59636.454758 19.291 0.213
59639.487643 19.995 0.382
59639.491295 19.93 0.365
59639.523764 19.892 0.379
59639.529247 19.563 0.282
59640.469735 19.595 0.258
59640.472554 19.532 0.221
59640.487918 20.034 0.333
59640.493403 20.672 0.629
59641.595524 20.064 0.45
59641.599474 19.942 0.393
59641.632842 19.754 0.362
59641.63825 20.586 0.861
59643.473207 20.153 0.402
59643.501439 19.731 0.264
59643.530012 20.152 0.36
59643.555053 20.192 0.463
59644.407498 20.658 0.699
59644.439323 19.584 0.265
59644.442512 19.709 0.285
59645.392338 20.312 0.543
59645.395527 20.927 0.806
59645.414381 20.428 0.613
59645.419862 20.091 0.514
59647.402072 19.952 0.378
59647.40526 19.848 0.327
59647.417685 20.018 0.434
59649.388555 20.456 0.532
59649.403709 19.897 0.4
59649.408744 19.947 0.324
59649.454726 20.135 0.465
59649.463399 20.257 0.606
59649.466608 19.803 0.421
59649.471164 20.326 0.681
59649.472986 19.835 0.412
59649.483494 20.003 0.474
59651.398025 20.047 0.659
59651.406706 19.898 0.607
59651.423985 19.721 0.518
59651.430612 20.424 0.952
59658.445873 20.146 0.701
59658.449082 20.436 0.836
59658.456026 20.289 0.684
59659.425947 20.004 0.534
59659.42919 20.143 0.627
59659.435144 20.38 0.963
59659.441098 20.012 0.705
59660.383569 20.496 0.856
59660.386315 20.631 0.748
59660.410473 20.434 0.89
59661.429644 20.735 0.823
59661.436626 20.453 0.656
59661.451895 20.549 0.721
59664.426271 20.652 0.661
59664.430376 21.042 0.963
59664.436765 20.484 0.672
59664.450918 20.038 0.457
59665.426567 20.286 0.464
59665.432975 19.99 0.387
59665.444841 20.582 0.76
59667.409882 19.198 0.806
59667.414033 18.701 0.447
59667.430472 19.495 0.429
59671.39638 20.992 0.906
59671.43463 20.528 0.649
59672.394391 20.731 0.861
59672.418389 20.201 0.547
59672.423883 19.936 0.41
59679.439823 20.304 0.902
59687.363057 20.005 0.619
