2025gk 0.04 265.0755116 44.9069158
filter ATri
60697.643316 17.868 0.106
60697.657519 17.917 0.112
60697.664424 17.733 0.065
60709.633422 17.815 0.049
60709.637124 17.855 0.054
60709.658577 17.829 0.052
60709.67089 17.818 0.157
60710.624764 17.828 0.056
60711.62134 17.781 0.06
60711.624082 17.789 0.056
60711.630648 17.78 0.05
60711.64198 17.83 0.057
60716.587722 18.232 0.15
60716.589108 18.567 0.176
60716.590022 18.125 0.117
60716.59231 18.2 0.127
60716.607171 17.88 0.09
60716.607634 18.123 0.11
60716.617307 17.982 0.092
60716.617776 18.386 0.134
60719.616331 18.362 0.122
60719.619509 18.386 0.141
60719.636272 18.505 0.155
60719.652027 18.217 0.118
60723.606079 18.578 0.14
60723.619483 18.487 0.112
60723.623147 18.531 0.09
60723.638007 18.697 0.129
