2019so 0.015 190.65175 -40.74633
filter ATri
58497.612224 18.558 0.123
58497.623211 18.49 0.127
58497.632357 18.709 0.135
58497.643817 18.335 0.112
58499.575048 17.753 0.071
58499.582911 17.943 0.079
58499.590286 17.827 0.069
58503.61705 16.85 0.057
58503.627827 17.01 0.099
58503.629668 16.838 0.094
58503.641754 16.87 0.092
58507.537572 16.542 0.049
58507.54448 16.662 0.056
58507.551699 16.701 0.048
58507.554461 16.76 0.055
58507.557237 16.717 0.05
58507.563687 16.687 0.055
58507.565527 16.69 0.046
58507.573571 16.689 0.045
58511.574754 16.74 0.038
58511.593677 16.686 0.032
58519.59217 17.065 0.034
58519.614153 17.061 0.031
58523.575915 17.496 0.055
58523.586233 17.501 0.046
58523.588994 17.436 0.045
58527.548288 18.063 0.084
58531.561109 18.321 0.194
58539.577586 18.55 0.191
58543.519696 19.196 0.225
58543.52585 18.646 0.137
58543.550191 18.594 0.146
