2005iq 0.034 359.63541699999996 -18.709167000000004
filter B
53682.55 17.118 0.009
53683.56 17.018 0.009
53684.6 16.937 0.009
53687.55 16.841 0.011
53689.63 16.866 0.011
53690.58 16.902 0.009
53694.62 17.166 0.009
53695.61 17.254 0.009
53698.57 17.565 0.009
53699.6 17.672 0.009
53702.61 18.044 0.011
53706.64 18.587 0.018
53716.61 19.442 0.083
53721.58 19.754 0.06
53726.6 19.952 0.05
53730.59 20.137 0.031
53738.54 20.301 0.046
53755.55 20.574 0.061
filter V0
53682.55 17.187 0.009
53683.56 17.081 0.01
53684.6 17.001 0.01
53687.55 16.871 0.009
53689.63 16.864 0.011
53690.58 16.869 0.011
53694.62 17.022 0.009
53695.61 17.077 0.01
53698.57 17.27 0.008
53699.6 17.339 0.008
53702.61 17.542 0.011
53706.64 17.822 0.011
53716.61 18.543 0.028
53721.58 18.853 0.033
53726.6 19.106 0.028
53730.59 19.239 0.021
53738.54 19.443 0.022
53746.55 19.676 0.054
filter g
53682.55 17.036 0.006
53683.56 16.931 0.009
53684.6 16.859 0.009
53687.55 16.734 0.009
53689.63 16.761 0.009
53690.58 16.806 0.009
53694.62 16.988 0.009
53695.61 17.058 0.008
53698.57 17.305 0.005
53699.6 17.417 0.007
53702.61 17.744 0.009
53706.64 18.192 0.01
53716.61 19.103 0.043
53721.58 19.44 0.03
53726.6 19.617 0.023
53730.59 19.765 0.028
53738.54 19.815 0.072
53746.55 20.01 0.062
53750.55 20.219 0.12
53755.55 20.27 0.084
filter i
53682.55 17.425 0.011
53683.56 17.348 0.012
53684.6 17.328 0.013
53687.55 17.422 0.013
53689.63 17.497 0.017
53690.58 17.495 0.012
53694.62 17.782 0.014
53695.61 17.876 0.015
53698.57 18.177 0.017
53699.6 18.247 0.017
53702.61 18.318 0.013
53706.64 18.213 0.016
53716.61 18.15 0.021
53721.58 18.557 0.023
53726.6 18.915 0.026
53730.59 19.169 0.031
53738.54 19.458 0.033
53746.55 19.718 0.053
53750.55 19.9 0.084
filter r
53682.55 17.195 0.008
53683.56 17.099 0.01
53684.6 17.014 0.009
53687.55 16.904 0.011
53689.63 16.871 0.011
53690.58 16.9 0.01
53694.62 17.056 0.009
53695.61 17.133 0.008
53698.57 17.374 0.007
53699.6 17.439 0.007
53702.61 17.584 0.009
53706.64 17.671 0.009
53716.61 18.068 0.018
53721.58 18.47 0.015
53726.6 18.688 0.015
53730.59 18.883 0.018
53738.54 19.171 0.028
53746.55 19.412 0.031
53750.55 19.51 0.063
53755.55 19.704 0.046
