2024afrn 0.086 230.3134682 61.5168152
filter ATri
60695.640437 19.196 0.185
60695.660261 18.88 0.11
60695.672233 19.367 0.372
60695.674043 19.031 0.37
60697.519733 19.097 0.213
60697.524137 20.072 0.451
60697.527928 18.842 0.171
60697.541197 19.213 0.176
60699.649511 19.099 0.126
60699.656933 18.836 0.128
60699.661086 18.977 0.14
60699.668056 18.88 0.139
60709.588797 19.199 0.164
60709.592093 19.313 0.198
60709.598664 19.619 0.219
60709.609328 19.403 0.17
60710.529354 19.056 0.179
60710.534506 19.377 0.218
60711.577965 19.436 0.23
60711.581967 19.405 0.173
60711.595871 19.542 0.188
60711.603206 19.253 0.158
60719.621813 19.533 0.41
60719.625013 20.09 0.758
60719.630762 19.02 0.247
60723.588743 20.678 0.823
60723.610709 20.501 0.621
60723.614429 20.122 0.4
