2005ke 0.0049 53.76812499999999 -24.944110999999992
filter B
53689.69 16.631 0.011
53690.77 16.143 0.01
53694.76 15.219 0.009
53695.72 15.104 0.007
53698.72 14.901 0.006
53699.72 14.929 0.012
53702.71 15.128 0.012
53703.77 15.297 0.013
53706.72 15.767 0.014
53707.83 15.925 0.008
53712.71 16.574 0.012
53713.68 16.638 0.012
53716.67 16.845 0.009
53720.68 17.027 0.012
53721.66 17.094 0.011
53725.72 17.236 0.011
53730.72 17.383 0.011
53736.67 17.525 0.014
53737.68 17.559 0.013
53741.65 17.638 0.011
53746.68 17.733 0.017
53750.62 17.821 0.016
53755.64 17.943 0.015
53761.7 18.096 0.015
53763.59 18.098 0.016
53764.6 18.116 0.015
53765.59 18.155 0.021
53767.55 18.186 0.012
53771.57 18.251 0.016
53773.58 18.298 0.016
53775.42 18.339 0.02
53778.57 18.364 0.023
53784.55 18.522 0.016
53786.56 18.549 0.022
53798.54 18.81 0.022
53804.57 18.855 0.029
53809.54 19.09 0.084
53819.51 19.154 0.026
filter V
53761.7 17.319 0.011
53763.59 17.37 0.014
53764.6 17.412 0.013
53765.59 17.444 0.015
53767.55 17.49 0.009
53771.57 17.604 0.012
53773.58 17.662 0.015
53775.42 17.722 0.014
53778.57 17.802 0.018
53784.55 17.97 0.015
53786.56 18.053 0.016
53798.54 18.373 0.019
53804.57 18.509 0.025
53809.54 18.649 0.049
53819.51 18.989 0.029
filter V0
53689.69 16.247 0.01
53690.77 15.768 0.009
53694.76 14.755 0.008
53695.72 14.619 0.01
53698.72 14.3 0.006
53699.72 14.25 0.009
53702.71 14.253 0.011
53703.77 14.291 0.009
53706.72 14.562 0.011
53707.83 14.691 0.01
53712.71 15.193 0.01
53713.68 15.288 0.008
53716.67 15.527 0.006
53720.68 15.813 0.01
53721.66 15.879 0.01
53725.72 16.106 0.009
53730.72 16.335 0.009
53736.67 16.54 0.009
53737.68 16.569 0.01
53741.65 16.721 0.009
53746.68 16.87 0.011
filter g
53689.69 16.39 0.009
53690.77 15.916 0.009
53694.76 14.932 0.007
53695.72 14.813 0.007
53698.72 14.546 0.006
53699.72 14.524 0.008
53702.71 14.661 0.01
53703.77 14.759 0.007
53706.72 15.182 0.008
53707.83 15.364 0.008
53712.71 15.983 0.006
53713.68 16.078 0.007
53716.67 16.295 0.006
53720.68 16.526 0.009
53721.66 16.567 0.008
53725.72 16.754 0.006
53730.72 16.911 0.007
53736.67 17.069 0.01
53737.68 17.087 0.008
53741.65 17.189 0.007
53746.68 17.313 0.011
53750.62 17.383 0.011
53755.64 17.504 0.008
53761.7 17.645 0.009
53763.59 17.701 0.013
53764.6 17.715 0.011
53765.59 17.733 0.011
53767.55 17.765 0.009
53771.57 17.836 0.011
53773.58 17.885 0.013
53775.42 17.974 0.013
53778.57 18.029 0.016
53784.55 18.124 0.012
53786.56 18.194 0.014
53798.54 18.456 0.016
53804.57 18.588 0.028
53809.54 18.77 0.039
53819.51 18.922 0.02
filter i
53689.69 16.169 0.009
53690.77 15.752 0.009
53694.76 14.807 0.008
53695.72 14.695 0.008
53698.72 14.397 0.007
53699.72 14.346 0.01
53702.71 14.335 0.011
53703.77 14.335 0.007
53706.72 14.431 0.013
53707.83 14.468 0.006
53712.71 14.713 0.007
53713.68 14.787 0.008
53716.67 14.989 0.006
53720.68 15.34 0.009
53721.66 15.433 0.008
53725.72 15.735 0.006
53730.72 16.025 0.009
53736.67 16.319 0.008
53737.68 16.364 0.011
53741.65 16.544 0.008
53746.68 16.742 0.011
53750.62 16.91 0.009
53755.64 17.096 0.009
53761.7 17.31 0.011
53763.59 17.374 0.012
53764.6 17.407 0.011
53765.59 17.426 0.016
53767.55 17.476 0.01
53771.57 17.595 0.013
53773.58 17.661 0.015
53775.42 17.698 0.014
53778.57 17.777 0.017
53784.55 17.96 0.015
53786.56 18.0 0.018
53798.54 18.271 0.019
53804.57 18.426 0.028
53809.54 18.51 0.029
53819.51 18.688 0.027
filter r
53689.69 16.14 0.008
53690.77 15.672 0.008
53694.76 14.658 0.006
53695.72 14.52 0.008
53698.72 14.175 0.006
53703.77 14.075 0.006
53706.72 14.237 0.011
53707.83 14.311 0.006
53712.71 14.718 0.006
53713.68 14.818 0.007
53716.67 15.047 0.006
53720.68 15.405 0.008
53721.66 15.497 0.006
53725.72 15.773 0.006
53730.72 16.056 0.008
53736.67 16.346 0.008
53737.68 16.388 0.008
53741.65 16.578 0.007
53746.68 16.798 0.009
53750.62 16.961 0.009
53755.64 17.201 0.009
53761.7 17.47 0.009
53763.59 17.549 0.011
53764.6 17.594 0.012
53765.59 17.639 0.013
53767.55 17.736 0.009
53771.57 17.889 0.012
53773.58 17.99 0.014
53775.42 18.066 0.015
53778.57 18.195 0.016
53784.55 18.434 0.018
53786.56 18.508 0.017
53798.54 18.968 0.019
53804.57 19.226 0.055
53809.54 19.371 0.049
53819.51 19.741 0.038
