2024any 0.0082 47.241 -2.946061
filter ATgr
60695.080956 20.381 0.438
60695.091585 19.961 0.282
60695.09474 21.869 1.531
60695.106111 21.05 0.75
60696.302544 21.096 0.944
60696.305718 20.904 0.72
60696.316311 20.232 0.432
60696.321809 21.164 0.892
60699.037831 20.075 0.433
60699.041006 20.647 0.607
60699.046433 21.214 0.814
60699.056875 21.05 0.79
60700.314435 20.019 0.708
60703.032206 20.131 0.687
60703.035481 21.429 1.957
60703.037287 20.097 0.326
60703.040444 20.253 0.379
60703.046341 20.82 0.75
60703.058221 20.81 0.679
60703.059573 20.62 0.606
60707.03658 20.362 0.388
60707.04022 21.233 0.876
60707.058422 20.928 0.663
60708.268472 20.331 0.93
60708.269837 19.988 0.623
60708.273024 20.883 0.947
60708.278527 20.292 0.578
60708.28999 21.951 3.429
filter ATri
60696.926206 20.195 1.056
60696.928739 21.502 3.4
60698.285071 20.542 0.444
60698.290571 22.517 3.269
60698.302232 22.428 2.923
60700.79721 22.332 3.258
60700.806303 20.926 0.773
60704.785747 19.897 0.554
60704.789825 20.555 0.952
60704.813403 21.032 1.405
60712.259956 20.715 1.5
60712.263592 20.066 0.667
60712.271468 19.379 0.354
60712.281478 21.198 2.316
60714.223606 20.448 0.926
60714.246125 20.781 1.39
60714.260024 21.016 1.413
60715.02915 20.287 1.585
60715.036848 20.691 1.806
60716.28028 20.348 1.086
60716.296651 22.012 3.975
60716.772119 19.242 0.538
60716.793827 22.128 4.706
60718.335614 19.88 0.536
60718.341167 19.974 0.692
60718.353145 20.79 1.857
60719.061797 21.248 2.635
60719.066051 20.407 1.39
60719.072441 21.407 3.911
60719.089708 18.864 0.366
60720.265271 21.477 2.691
60720.270739 20.342 0.883
60720.80955 20.744 1.457
60723.084356 21.634 3.417
60723.091246 20.745 1.69
60723.114113 21.342 3.773
60724.257383 22.051 2.462
60724.260548 21.033 0.843
60724.27625 20.008 0.4
60724.276702 20.803 1.159
60724.282192 21.004 0.957
